Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,1000,Totalblan,,58.70%,43.50%,33.10%,24.70%,13.10%
2016-2020,1001,"Autauga, AL        ",2,54.80%,40.60%,30.00%,21.30%,11.30%
2016-2020,1003,"Baldwin, AL        ",3,59.40%,39.70%,26.80%,18.00%,9.50%
2016-2020,1005,"Barbour, AL        ",6,68.80%,55.10%,44.40%,35.30%,25.30%
2016-2020,1007,"Bibb, AL        ",1,73.10%,59.50%,48.20%,36.80%,19.10%
2016-2020,1009,"Blount, AL        ",1,70.50%,53.90%,39.50%,29.60%,17.20%
2016-2020,1011,"Bullock, AL        ",6,72.90%,59.00%,51.00%,39.50%,25.10%
2016-2020,1013,"Butler, AL        ",6,70.50%,55.00%,47.20%,32.20%,13.60%
2016-2020,1015,"Calhoun, AL        ",3,58.60%,43.30%,32.60%,26.10%,14.90%
2016-2020,1017,"Chambers, AL        ",6,67.40%,54.60%,45.70%,35.80%,17.40%
2016-2020,1019,"Cherokee, AL        ",6,69.80%,56.80%,46.50%,36.50%,17.20%
2016-2020,1021,"Chilton, AL        ",1,73.20%,54.00%,43.40%,33.80%,18.20%
2016-2020,1023,"Choctaw, AL        ",9,68.20%,55.30%,45.70%,35.00%,17.30%
2016-2020,1025,"Clarke, AL        ",7,62.70%,50.60%,39.70%,29.20%,17.40%
2016-2020,1027,"Clay, AL        ",9,66.80%,53.40%,46.20%,34.00%,18.70%
2016-2020,1029,"Cleburne, AL        ",8,73.10%,61.70%,50.20%,37.10%,17.80%
2016-2020,1031,"Coffee, AL        ",4,59.90%,43.40%,32.80%,26.80%,14.40%
2016-2020,1033,"Colbert, AL        ",3,56.30%,44.20%,34.80%,26.70%,14.30%
2016-2020,1035,"Conecuh, AL        ",7,71.20%,57.50%,47.30%,32.30%,15.00%
2016-2020,1037,"Coosa, AL        ",8,69.80%,56.90%,46.10%,34.30%,16.80%
2016-2020,1039,"Covington, AL        ",6,68.30%,55.70%,42.70%,31.60%,14.70%
2016-2020,1041,"Crenshaw, AL        ",8,73.90%,62.40%,48.70%,39.90%,21.20%
2016-2020,1043,"Cullman, AL        ",4,69.70%,53.40%,41.20%,29.60%,17.70%
2016-2020,1045,"Dale, AL        ",4,44.60%,35.10%,25.80%,22.20%,14.70%
2016-2020,1047,"Dallas, AL        ",4,58.60%,46.50%,40.40%,29.70%,16.10%
2016-2020,1049,"DeKalb, AL        ",6,72.50%,57.30%,47.00%,36.20%,22.00%
2016-2020,1051,"Elmore, AL        ",2,62.00%,42.30%,33.50%,22.40%,12.70%
2016-2020,1053,"Escambia, AL        ",6,65.40%,49.20%,40.10%,31.50%,19.60%
2016-2020,1055,"Etowah, AL        ",3,59.20%,45.10%,35.90%,25.90%,14.70%
2016-2020,1057,"Fayette, AL        ",6,69.80%,56.40%,43.40%,33.90%,15.80%
2016-2020,1059,"Franklin, AL        ",6,67.40%,54.90%,44.90%,37.90%,21.30%
2016-2020,1061,"Geneva, AL        ",3,68.10%,54.00%,44.60%,34.40%,18.20%
2016-2020,1063,"Greene, AL        ",8,73.20%,60.10%,46.20%,35.20%,19.10%
2016-2020,1065,"Hale, AL        ",3,74.20%,61.80%,45.60%,34.80%,19.30%
2016-2020,1067,"Henry, AL        ",3,70.20%,56.00%,41.50%,33.30%,19.50%
2016-2020,1069,"Houston, AL        ",3,57.30%,41.70%,31.70%,23.50%,13.10%
2016-2020,1071,"Jackson, AL        ",6,71.50%,52.20%,41.90%,33.00%,16.50%
2016-2020,1073,"Jefferson, AL        ",1,52.70%,35.30%,26.20%,19.10%,9.50%
2016-2020,1075,"Lamar, AL        ",8,73.90%,57.00%,47.10%,34.90%,17.00%
2016-2020,1077,"Lauderdale, AL        ",3,56.00%,42.40%,32.10%,23.60%,11.40%
2016-2020,1079,"Lawrence, AL        ",3,71.30%,57.10%,44.40%,34.40%,19.20%
2016-2020,1081,"Lee, AL        ",3,51.50%,37.90%,26.80%,18.60%,9.60%
2016-2020,1083,"Limestone, AL        ",2,62.40%,49.30%,36.90%,25.50%,14.70%
2016-2020,1085,"Lowndes, AL        ",2,73.60%,57.50%,43.30%,35.70%,17.80%
2016-2020,1087,"Macon, AL        ",6,61.00%,45.70%,38.10%,30.00%,16.40%
2016-2020,1089,"Madison, AL        ",2,37.00%,29.90%,19.80%,14.60%,8.30%
2016-2020,1091,"Marengo, AL        ",7,65.60%,51.80%,38.60%,28.10%,14.60%
2016-2020,1093,"Marion, AL        ",7,71.60%,57.70%,50.00%,36.80%,18.90%
2016-2020,1095,"Marshall, AL        ",4,65.90%,49.90%,38.50%,30.60%,16.70%
2016-2020,1097,"Mobile, AL        ",2,57.40%,38.30%,29.90%,23.30%,12.70%
2016-2020,1099,"Monroe, AL        ",7,67.30%,49.40%,40.80%,32.10%,16.50%
2016-2020,1101,"Montgomery, AL        ",2,45.70%,33.20%,24.70%,19.70%,12.70%
2016-2020,1103,"Morgan, AL        ",3,54.00%,40.10%,30.60%,23.70%,16.00%
2016-2020,1105,"Perry, AL        ",8,71.20%,56.90%,49.00%,37.60%,21.60%
2016-2020,1107,"Pickens, AL        ",3,68.40%,56.20%,43.80%,30.30%,17.10%
2016-2020,1109,"Pike, AL        ",6,62.60%,52.60%,41.00%,30.90%,12.60%
2016-2020,1111,"Randolph, AL        ",6,71.70%,58.80%,49.70%,38.10%,18.10%
2016-2020,1113,"Russell, AL        ",2,72.90%,57.20%,43.00%,33.50%,14.70%
2016-2020,1115,"St. Clair, AL        ",1,68.80%,50.10%,39.00%,28.70%,14.20%
2016-2020,1117,"Shelby, AL        ",1,63.90%,36.40%,21.80%,13.20%,6.80%
2016-2020,1119,"Sumter, AL        ",8,67.50%,53.50%,47.60%,35.20%,14.70%
2016-2020,1121,"Talladega, AL        ",4,64.30%,50.90%,39.30%,30.30%,18.20%
2016-2020,1123,"Tallapoosa, AL        ",6,66.90%,51.70%,42.20%,29.90%,18.80%
