Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,05000,Totalblan,,60.1%,44.5%,33.7%,24.7%,12.8%
2016-2020,05001,"Arkansas, AR        ",6,62.8%,51.2%,38.9%,27.6%,14.0%
2016-2020,05003,"Ashley, AR        ",7,60.2%,47.7%,37.2%,27.5%,14.8%
2016-2020,05005,"Baxter, AR        ",7,53.9%,42.7%,32.1%,22.5%,11.2%
2016-2020,05007,"Benton, AR        ",2,56.6%,38.2%,25.2%,19.6%,10.4%
2016-2020,05009,"Boone, AR        ",7,56.1%,40.3%,32.4%,23.2%,11.8%
2016-2020,05011,"Bradley, AR        ",7,67.4%,53.4%,43.9%,33.4%,16.7%
2016-2020,05013,"Calhoun, AR        ",9,68.7%,52.7%,36.7%,31.3%,16.0%
2016-2020,05015,"Carroll, AR        ",6,59.8%,42.9%,31.6%,28.2%,13.7%
2016-2020,05017,"Chicot, AR        ",7,72.3%,58.9%,48.8%,35.8%,21.8%
2016-2020,05019,"Clark, AR        ",7,58.4%,44.1%,35.1%,24.7%,11.1%
2016-2020,05021,"Clay, AR        ",7,76.7%,62.0%,52.1%,39.4%,16.5%
2016-2020,05023,"Cleburne, AR        ",6,73.3%,50.5%,39.0%,25.2%,13.4%
2016-2020,05025,"Cleveland, AR        ",3,69.2%,54.4%,40.1%,26.9%,10.5%
2016-2020,05027,"Columbia, AR        ",7,61.1%,47.4%,35.7%,25.9%,13.2%
2016-2020,05029,"Conway, AR        ",6,62.5%,49.1%,35.5%,26.8%,13.4%
2016-2020,05031,"Craighead, AR        ",3,60.8%,46.0%,32.5%,22.7%,10.6%
2016-2020,05033,"Crawford, AR        ",2,63.6%,47.5%,36.2%,28.5%,15.5%
2016-2020,05035,"Crittenden, AR        ",1,68.8%,53.8%,42.4%,30.8%,16.3%
2016-2020,05037,"Cross, AR        ",6,72.4%,56.5%,44.2%,31.7%,18.6%
2016-2020,05039,"Dallas, AR        ",6,68.0%,48.1%,40.8%,33.2%,12.8%
2016-2020,05041,"Desha, AR        ",6,68.5%,53.8%,43.5%,35.0%,19.9%
2016-2020,05043,"Drew, AR        ",6,65.4%,48.4%,36.9%,26.9%,13.3%
2016-2020,05045,"Faulkner, AR        ",2,51.5%,38.1%,27.6%,16.7%,7.9%
2016-2020,05047,"Franklin, AR        ",6,65.0%,48.9%,39.9%,28.9%,13.9%
2016-2020,05049,"Fulton, AR        ",9,73.0%,51.3%,45.1%,27.8%,15.6%
2016-2020,05051,"Garland, AR        ",3,55.1%,40.1%,29.8%,21.7%,10.6%
2016-2020,05053,"Grant, AR        ",2,65.7%,46.6%,31.1%,22.8%,9.8%
2016-2020,05055,"Greene, AR        ",4,71.2%,55.2%,41.5%,27.9%,11.0%
2016-2020,05057,"Hempstead, AR        ",6,63.3%,43.8%,38.0%,30.8%,16.0%
2016-2020,05059,"Hot Spring, AR        ",6,63.1%,46.0%,35.5%,26.7%,12.5%
2016-2020,05061,"Howard, AR        ",6,65.6%,51.9%,38.2%,29.3%,14.0%
2016-2020,05063,"Independence, AR        ",7,64.9%,49.8%,36.9%,24.5%,14.4%
2016-2020,05065,"Izard, AR        ",9,72.8%,48.9%,38.9%,26.7%,18.0%
2016-2020,05067,"Jackson, AR        ",6,71.6%,58.8%,48.4%,34.0%,16.8%
