Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,13000,Totalblan,,9.2%,14.6%,19.3%,24.3%,32.2%
2016-2020,13001,"Appling, GA        ",7,2.9%,6.5%,8.2%,8.4%,9.5%
2016-2020,13003,"Atkinson, GA        ",9,3.1%,5.0%,6.4%,6.9%,12.2%
2016-2020,13005,"Bacon, GA        ",7,3.8%,6.9%,6.6%,6.6%,9.3%
2016-2020,13007,"Baker, GA        ",3,2.8%,4.9%,9.4%,10.7%,21.4%
2016-2020,13009,"Baldwin, GA        ",4,7.5%,15.4%,13.3%,16.2%,24.3%
2016-2020,13011,"Banks, GA        ",8,3.2%,5.0%,6.4%,8.6%,15.8%
2016-2020,13013,"Barrow, GA        ",1,5.0%,7.5%,9.2%,10.9%,20.2%
2016-2020,13015,"Bartow, GA        ",1,4.7%,6.3%,9.0%,14.1%,19.8%
2016-2020,13017,"Ben Hill, GA        ",7,5.2%,8.1%,7.6%,9.5%,11.0%
2016-2020,13019,"Berrien, GA        ",6,2.6%,5.9%,7.5%,9.4%,13.2%
2016-2020,13021,"Bibb, GA        ",3,9.2%,13.0%,17.0%,21.3%,25.3%
2016-2020,13023,"Bleckley, GA        ",6,4.0%,9.0%,10.3%,12.5%,17.9%
2016-2020,13025,"Brantley, GA        ",3,2.3%,4.8%,5.8%,6.2%,6.9%
2016-2020,13027,"Brooks, GA        ",3,5.1%,7.5%,9.1%,11.3%,16.5%
2016-2020,13029,"Bryan, GA        ",2,4.2%,4.4%,11.8%,19.3%,33.0%
2016-2020,13031,"Bulloch, GA        ",4,10.8%,15.6%,19.9%,25.4%,27.6%
2016-2020,13033,"Burke, GA        ",2,4.9%,7.9%,9.6%,9.5%,14.5%
2016-2020,13035,"Butts, GA        ",1,5.5%,6.4%,7.2%,8.6%,11.1%
2016-2020,13037,"Calhoun, GA        ",8,5.4%,7.2%,10.1%,11.7%,11.8%
2016-2020,13039,"Camden, GA        ",4,5.9%,8.2%,13.5%,16.0%,22.5%
2016-2020,13043,"Candler, GA        ",7,7.6%,9.0%,9.9%,10.2%,11.4%
2016-2020,13045,"Carroll, GA        ",1,7.5%,11.2%,12.0%,16.5%,22.1%
2016-2020,13047,"Catoosa, GA        ",2,2.9%,7.3%,8.1%,13.8%,23.0%
2016-2020,13049,"Charlton, GA        ",6,5.5%,5.5%,6.4%,6.4%,12.8%
2016-2020,13051,"Chatham, GA        ",2,8.8%,14.1%,18.6%,25.0%,34.4%
2016-2020,13053,"Chattahoochee, GA        ",2,19.4%,20.4%,20.2%,25.0%,27.0%
2016-2020,13055,"Chattooga, GA        ",6,2.6%,5.9%,5.9%,7.7%,9.7%
2016-2020,13057,"Cherokee, GA        ",1,4.1%,9.7%,18.4%,27.0%,36.9%
2016-2020,13059,"Clarke, GA        ",3,27.8%,35.0%,37.5%,39.8%,45.4%
2016-2020,13061,"Clay, GA        ",9,7.7%,9.8%,11.2%,10.1%,16.9%
2016-2020,13063,"Clayton, GA        ",1,6.0%,10.3%,14.7%,16.6%,19.1%
2016-2020,13065,"Clinch, GA        ",6,4.1%,6.5%,6.7%,10.4%,10.8%
2016-2020,13067,"Cobb, GA        ",1,9.7%,23.0%,33.0%,39.8%,48.4%
2016-2020,13069,"Coffee, GA        ",7,5.3%,8.2%,11.1%,10.0%,12.2%
2016-2020,13071,"Colquitt, GA        ",6,4.3%,8.4%,10.0%,11.4%,13.7%
2016-2020,13073,"Columbia, GA        ",2,5.4%,15.4%,23.9%,32.0%,36.5%
2016-2020,13075,"Cook, GA        ",6,4.0%,5.7%,6.5%,8.1%,15.7%
2016-2020,13077,"Coweta, GA        ",1,7.1%,9.8%,13.3%,20.6%,33.3%
2016-2020,13079,"Crawford, GA        ",3,2.6%,6.5%,5.7%,6.8%,10.6%
2016-2020,13081,"Crisp, GA        ",6,7.7%,9.0%,10.0%,12.8%,13.7%
2016-2020,13083,"Dade, GA        ",2,3.5%,7.8%,8.0%,10.9%,15.8%
2016-2020,13085,"Dawson, GA        ",1,2.5%,4.4%,8.6%,18.1%,33.6%
2016-2020,13087,"Decatur, GA        ",6,4.4%,8.4%,11.7%,12.1%,14.0%
