Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,13000,Totalblan,,59.4%,43.6%,29.1%,21.4%,12.1%
2016-2020,13001,"Appling, GA        ",7,72.6%,58.4%,42.8%,32.7%,22.8%
2016-2020,13003,"Atkinson, GA        ",9,78.0%,64.9%,48.5%,43.7%,32.3%
2016-2020,13005,"Bacon, GA        ",7,79.9%,58.3%,41.9%,32.3%,17.6%
2016-2020,13007,"Baker, GA        ",3,79.2%,71.0%,46.4%,34.0%,16.8%
2016-2020,13009,"Baldwin, GA        ",4,71.7%,47.2%,35.3%,27.4%,13.5%
2016-2020,13011,"Banks, GA        ",8,82.1%,60.5%,43.4%,34.6%,24.9%
2016-2020,13013,"Barrow, GA        ",1,74.2%,62.3%,41.2%,26.7%,13.5%
2016-2020,13015,"Bartow, GA        ",1,72.2%,60.1%,41.3%,28.2%,13.8%
2016-2020,13017,"Ben Hill, GA        ",7,72.9%,56.9%,43.2%,34.2%,16.4%
2016-2020,13019,"Berrien, GA        ",6,77.5%,58.9%,42.5%,34.0%,20.4%
2016-2020,13021,"Bibb, GA        ",3,57.4%,44.2%,31.8%,22.8%,13.6%
2016-2020,13023,"Bleckley, GA        ",6,73.8%,53.0%,39.7%,28.3%,10.4%
2016-2020,13025,"Brantley, GA        ",3,68.8%,52.1%,35.9%,27.5%,19.5%
2016-2020,13027,"Brooks, GA        ",3,73.6%,60.5%,41.3%,32.5%,16.1%
2016-2020,13029,"Bryan, GA        ",2,77.8%,58.1%,31.5%,21.0%,7.2%
2016-2020,13031,"Bulloch, GA        ",4,62.0%,48.1%,32.4%,22.1%,11.8%
2016-2020,13033,"Burke, GA        ",2,79.7%,61.4%,44.7%,35.1%,18.6%
2016-2020,13035,"Butts, GA        ",1,71.6%,56.4%,41.6%,30.2%,19.9%
2016-2020,13037,"Calhoun, GA        ",8,78.3%,65.3%,47.8%,34.5%,24.5%
2016-2020,13039,"Camden, GA        ",4,61.8%,48.5%,20.5%,16.7%,8.2%
2016-2020,13043,"Candler, GA        ",7,75.1%,59.3%,46.8%,43.1%,21.6%
2016-2020,13045,"Carroll, GA        ",1,68.3%,53.1%,39.5%,28.9%,15.0%
2016-2020,13047,"Catoosa, GA        ",2,60.0%,44.3%,36.2%,24.0%,11.1%
2016-2020,13049,"Charlton, GA        ",6,68.5%,56.4%,43.8%,34.9%,19.8%
