Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,22000,Totalblan,,9.0%,13.9%,16.1%,18.7%,24.9%
2016-2020,22001,"Acadia, LA        ",2,4.8%,7.4%,8.4%,9.4%,15.2%
2016-2020,22003,"Allen, LA        ",6,3.5%,7.4%,6.7%,9.3%,12.3%
2016-2020,22005,"Ascension, LA        ",2,4.3%,7.7%,9.3%,14.5%,27.6%
2016-2020,22007,"Assumption, LA        ",6,3.6%,6.5%,6.7%,7.4%,12.9%
2016-2020,22009,"Avoyelles, LA        ",6,4.1%,6.5%,7.4%,8.3%,12.3%
2016-2020,22011,"Beauregard, LA        ",6,7.3%,11.4%,13.0%,13.8%,18.3%
2016-2020,22013,"Bienville, LA        ",6,5.0%,8.7%,9.3%,11.5%,12.3%
2016-2020,22015,"Bossier, LA        ",2,7.7%,12.8%,15.5%,18.1%,25.4%
2016-2020,22017,"Caddo, LA        ",2,11.3%,16.1%,18.2%,20.6%,24.5%
2016-2020,22019,"Calcasieu, LA        ",3,9.1%,13.6%,14.7%,16.9%,21.9%
2016-2020,22021,"Caldwell, LA        ",8,4.4%,7.5%,9.3%,8.8%,14.6%
2016-2020,22023,"Cameron, LA        ",3,3.8%,6.9%,7.9%,7.9%,16.6%
2016-2020,22025,"Catahoula, LA        ",9,5.6%,6.1%,8.7%,9.4%,15.4%
2016-2020,22027,"Claiborne, LA        ",6,7.0%,9.8%,10.1%,12.4%,12.8%
2016-2020,22029,"Concordia, LA        ",7,5.3%,9.1%,9.1%,9.6%,13.3%
2016-2020,22031,"De Soto, LA        ",2,6.4%,8.4%,9.5%,10.2%,14.2%
2016-2020,22033,"East Baton Rouge, LA        ",2,16.6%,23.7%,27.5%,30.8%,36.6%
2016-2020,22035,"East Carroll, LA        ",7,5.5%,9.8%,10.3%,12.3%,9.3%
2016-2020,22037,"East Feliciana, LA        ",2,4.4%,8.0%,8.9%,11.3%,13.2%
2016-2020,22039,"Evangeline, LA        ",6,3.3%,6.6%,8.3%,9.5%,12.7%
2016-2020,22041,"Franklin, LA        ",7,6.8%,8.2%,10.3%,9.8%,13.2%
2016-2020,22043,"Grant, LA        ",3,4.6%,7.4%,9.6%,9.8%,10.0%
2016-2020,22045,"Iberia, LA        ",2,5.8%,9.7%,9.0%,11.2%,15.3%
2016-2020,22047,"Iberville, LA        ",2,3.9%,7.7%,8.9%,9.6%,16.0%
2016-2020,22049,"Jackson, LA        ",6,5.8%,8.8%,9.2%,12.9%,13.5%
2016-2020,22051,"Jefferson, LA        ",1,11.0%,16.2%,18.8%,21.5%,27.6%
2016-2020,22053,"Jefferson Davis, LA        ",6,5.9%,8.7%,8.0%,9.9%,18.4%
2016-2020,22055,"Lafayette, LA        ",2,13.5%,20.5%,22.5%,25.5%,33.1%
2016-2020,22057,"Lafourche, LA        ",3,5.7%,9.7%,10.0%,12.4%,16.9%
2016-2020,22059,"La Salle, LA        ",6,4.5%,10.0%,7.9%,11.2%,15.6%
2016-2020,22061,"Lincoln, LA        ",4,18.7%,23.7%,26.2%,31.8%,35.2%
2016-2020,22063,"Livingston, LA        ",2,4.8%,8.1%,8.7%,11.4%,19.6%
2016-2020,22065,"Madison, LA        ",7,7.2%,9.1%,9.2%,11.0%,15.1%
2016-2020,22067,"Morehouse, LA        ",6,5.7%,7.6%,10.5%,9.7%,12.5%
2016-2020,22069,"Natchitoches, LA        ",6,10.4%,16.0%,16.4%,18.4%,19.9%
2016-2020,22071,"Orleans, LA        ",1,10.8%,17.7%,22.4%,25.8%,38.0%
2016-2020,22073,"Ouachita, LA        ",3,10.6%,15.3%,18.9%,22.7%,25.1%
2016-2020,22075,"Plaquemines, LA        ",1,4.7%,5.7%,7.5%,10.8%,18.2%
2016-2020,22077,"Pointe Coupee, LA        ",2,3.9%,8.0%,9.7%,12.8%,15.3%
2016-2020,22079,"Rapides, LA        ",3,9.0%,11.9%,14.6%,16.5%,21.7%
2016-2020,22081,"Red River, LA        ",8,4.1%,6.8%,8.7%,8.7%,13.1%
2016-2020,22083,"Richland, LA        ",6,6.8%,7.6%,10.7%,12.8%,15.7%
2016-2020,22085,"Sabine, LA        ",6,5.0%,7.1%,8.3%,11.1%,13.1%
2016-2020,22087,"St. Bernard, LA        ",1,3.7%,5.7%,7.3%,8.9%,13.9%
2016-2020,22089,"St. Charles, LA        ",1,5.9%,10.3%,14.8%,17.5%,28.3%
2016-2020,22091,"St. Helena, LA        ",2,5.3%,8.6%,7.7%,11.2%,16.5%
2016-2020,22093,"St. James, LA        ",1,5.6%,8.2%,8.1%,10.1%,16.8%
