Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,22000,Totalblan,,57.8%,42.3%,31.7%,25.2%,14.1%
2016-2020,22001,"Acadia, LA        ",2,71.1%,59.9%,45.4%,35.3%,19.3%
2016-2020,22003,"Allen, LA        ",6,70.9%,54.4%,42.9%,36.8%,18.2%
2016-2020,22005,"Ascension, LA        ",2,62.2%,42.0%,31.5%,20.4%,10.4%
2016-2020,22007,"Assumption, LA        ",6,77.4%,61.8%,49.6%,40.6%,24.3%
2016-2020,22009,"Avoyelles, LA        ",6,73.6%,61.1%,49.5%,40.2%,20.7%
2016-2020,22011,"Beauregard, LA        ",6,55.7%,42.0%,29.4%,25.0%,13.0%
2016-2020,22013,"Bienville, LA        ",6,72.3%,54.7%,37.4%,28.1%,16.1%
2016-2020,22015,"Bossier, LA        ",2,44.5%,30.9%,21.1%,17.0%,9.9%
2016-2020,22017,"Caddo, LA        ",2,50.2%,38.4%,26.6%,21.3%,13.2%
2016-2020,22019,"Calcasieu, LA        ",3,51.7%,41.5%,29.7%,23.0%,12.6%
2016-2020,22021,"Caldwell, LA        ",8,67.3%,54.8%,42.9%,34.6%,18.9%
2016-2020,22023,"Cameron, LA        ",3,67.6%,55.6%,38.9%,31.9%,11.4%
2016-2020,22025,"Catahoula, LA        ",9,69.6%,57.9%,46.1%,38.6%,25.1%
2016-2020,22027,"Claiborne, LA        ",6,74.0%,58.0%,39.1%,34.3%,21.0%
2016-2020,22029,"Concordia, LA        ",7,65.1%,51.3%,43.1%,35.4%,19.4%
2016-2020,22031,"De Soto, LA        ",2,68.1%,53.7%,36.0%,29.7%,17.3%
2016-2020,22033,"East Baton Rouge, LA        ",2,40.9%,27.7%,19.5%,16.1%,9.8%
2016-2020,22035,"East Carroll, LA        ",7,74.0%,61.0%,50.9%,42.1%,29.1%
2016-2020,22037,"East Feliciana, LA        ",2,71.8%,52.7%,41.8%,29.3%,20.5%
2016-2020,22039,"Evangeline, LA        ",6,76.0%,62.7%,51.8%,44.5%,23.3%
2016-2020,22041,"Franklin, LA        ",7,69.5%,58.7%,46.3%,38.6%,23.8%
2016-2020,22043,"Grant, LA        ",3,65.8%,52.8%,37.2%,26.9%,16.2%
2016-2020,22045,"Iberia, LA        ",2,66.2%,50.4%,40.7%,33.1%,18.1%
2016-2020,22047,"Iberville, LA        ",2,72.9%,52.4%,41.0%,34.3%,20.2%
2016-2020,22049,"Jackson, LA        ",6,67.2%,50.3%,36.1%,26.4%,17.1%
2016-2020,22051,"Jefferson, LA        ",1,47.4%,31.6%,24.0%,20.7%,13.6%
2016-2020,22053,"Jefferson Davis, LA        ",6,64.6%,52.7%,40.1%,30.6%,18.1%
2016-2020,22055,"Lafayette, LA        ",2,51.7%,35.8%,26.7%,20.2%,10.9%
2016-2020,22057,"Lafourche, LA        ",3,68.7%,53.9%,43.8%,33.7%,19.9%
2016-2020,22059,"La Salle, LA        ",6,63.8%,47.9%,39.0%,31.5%,19.9%
2016-2020,22061,"Lincoln, LA        ",4,49.5%,35.3%,25.5%,19.6%,11.2%
2016-2020,22063,"Livingston, LA        ",2,60.6%,43.5%,33.3%,22.8%,12.9%
2016-2020,22065,"Madison, LA        ",7,73.8%,55.7%,46.7%,36.6%,24.9%
2016-2020,22067,"Morehouse, LA        ",6,68.6%,53.4%,42.2%,33.4%,18.7%
2016-2020,22069,"Natchitoches, LA        ",6,64.4%,46.0%,35.0%,27.3%,12.1%
2016-2020,22071,"Orleans, LA        ",1,57.7%,40.8%,31.9%,25.3%,12.3%
