Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,24000,Totalblan,,13.9%,20.4%,26.5%,31.4%,40.9%
2016-2020,24001,"Allegany, MD        ",3,6.7%,9.3%,11.8%,14.1%,19.3%
2016-2020,24003,"Anne Arundel, MD        ",1,12.6%,19.0%,24.6%,30.6%,43.0%
2016-2020,24005,"Baltimore, MD        ",1,12.7%,18.8%,25.0%,30.6%,39.8%
2016-2020,24009,"Calvert, MD        ",1,6.8%,11.8%,17.6%,22.5%,34.2%
2016-2020,24011,"Caroline, MD        ",6,5.5%,9.1%,10.8%,12.1%,19.0%
2016-2020,24013,"Carroll, MD        ",1,6.7%,14.3%,19.6%,24.8%,37.0%
2016-2020,24015,"Cecil, MD        ",1,6.1%,11.0%,12.1%,16.4%,25.3%
2016-2020,24017,"Charles, MD        ",1,6.7%,12.4%,16.2%,20.0%,30.0%
2016-2020,24019,"Dorchester, MD        ",6,4.8%,8.2%,10.9%,12.0%,19.9%
2016-2020,24021,"Frederick, MD        ",1,10.0%,16.9%,22.0%,30.0%,41.7%
2016-2020,24023,"Garrett, MD        ",6,3.9%,7.9%,9.5%,13.8%,23.5%
2016-2020,24025,"Harford, MD        ",1,12.9%,17.1%,21.5%,27.3%,36.9%
2016-2020,24027,"Howard, MD        ",1,20.5%,38.5%,46.9%,52.9%,62.7%
2016-2020,24029,"Kent, MD        ",6,8.8%,12.6%,16.9%,21.7%,36.3%
2016-2020,24031,"Montgomery, MD        ",1,33.2%,42.8%,49.9%,54.6%,59.2%
2016-2020,24033,"Prince George's, MD        ",1,17.1%,21.1%,25.5%,27.2%,34.4%
2016-2020,24035,"Queen Anne's, MD        ",1,6.1%,12.4%,19.9%,25.4%,36.5%
2016-2020,24037,"St. Mary's, MD        ",3,10.3%,14.0%,16.8%,22.6%,32.0%
2016-2020,24039,"Somerset, MD        ",2,3.5%,8.2%,9.6%,11.6%,15.8%
2016-2020,24041,"Talbot, MD        ",6,10.3%,18.1%,23.0%,27.8%,39.7%
2016-2020,24043,"Washington, MD        ",2,6.6%,9.5%,11.4%,14.6%,22.4%
2016-2020,24045,"Wicomico, MD        ",2,8.7%,14.2%,18.5%,21.9%,28.0%
2016-2020,24047,"Worcester, MD        ",2,5.6%,11.5%,14.8%,21.6%,29.8%
2016-2020,24510,"Baltimore, MD        ",1,7.2%,11.3%,15.5%,19.1%,32.9%
