Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,24000,Totalblan,,47.7%,32.6%,21.6%,16.2%,9.4%
2016-2020,24001,"Allegany, MD        ",3,51.3%,40.7%,29.0%,20.1%,10.2%
2016-2020,24003,"Anne Arundel, MD        ",1,44.9%,29.5%,18.9%,13.6%,6.8%
2016-2020,24005,"Baltimore, MD        ",1,47.2%,31.7%,21.6%,15.7%,8.4%
2016-2020,24009,"Calvert, MD        ",1,60.0%,35.4%,20.7%,13.1%,5.7%
2016-2020,24011,"Caroline, MD        ",6,68.8%,53.0%,33.2%,25.0%,15.7%
2016-2020,24013,"Carroll, MD        ",1,63.9%,38.2%,21.5%,14.7%,6.9%
2016-2020,24015,"Cecil, MD        ",1,58.8%,41.6%,27.8%,18.8%,10.0%
2016-2020,24017,"Charles, MD        ",1,49.2%,31.0%,19.0%,14.2%,6.4%
2016-2020,24019,"Dorchester, MD        ",6,71.5%,55.1%,35.3%,25.8%,13.0%
2016-2020,24021,"Frederick, MD        ",1,57.4%,36.6%,19.6%,12.9%,7.4%
2016-2020,24023,"Garrett, MD        ",6,64.0%,46.1%,31.6%,20.8%,9.8%
2016-2020,24025,"Harford, MD        ",1,46.8%,30.9%,18.4%,13.3%,6.9%
2016-2020,24027,"Howard, MD        ",1,39.1%,16.9%,8.9%,6.9%,4.5%
2016-2020,24029,"Kent, MD        ",6,62.8%,46.1%,28.6%,21.2%,10.7%
2016-2020,24031,"Montgomery, MD        ",1,20.5%,12.7%,9.4%,9.7%,8.6%
2016-2020,24033,"Prince George's, MD        ",1,32.9%,22.6%,16.8%,15.1%,12.8%
2016-2020,24035,"Queen Anne's, MD        ",1,66.7%,44.3%,23.2%,15.8%,6.8%
2016-2020,24037,"St. Mary's, MD        ",3,45.9%,32.8%,22.9%,14.7%,9.6%
2016-2020,24039,"Somerset, MD        ",2,78.5%,55.3%,38.8%,30.5%,16.5%
2016-2020,24041,"Talbot, MD        ",6,60.8%,40.3%,23.5%,15.6%,8.8%
2016-2020,24043,"Washington, MD        ",2,54.1%,40.2%,30.7%,22.2%,11.9%
2016-2020,24045,"Wicomico, MD        ",2,59.1%,43.7%,27.9%,19.3%,12.3%
2016-2020,24047,"Worcester, MD        ",2,67.7%,47.2%,29.2%,18.3%,7.8%
2016-2020,24510,"Baltimore, MD        ",1,65.7%,51.6%,39.3%,31.6%,14.5%
