Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,28000,Totalblan,,8.1%,12.3%,14.7%,16.9%,22.8%
2016-2020,28001,"Adams, MS        ",5,8.7%,12.5%,14.8%,17.5%,17.8%
2016-2020,28003,"Alcorn, MS        ",7,5.5%,8.7%,9.6%,11.7%,17.9%
2016-2020,28005,"Amite, MS        ",8,5.5%,7.8%,8.7%,9.4%,12.0%
2016-2020,28007,"Attala, MS        ",6,5.1%,8.6%,10.0%,11.6%,15.2%
2016-2020,28009,"Benton, MS        ",1,3.9%,6.1%,7.8%,7.8%,10.1%
2016-2020,28011,"Bolivar, MS        ",7,8.0%,14.1%,15.2%,18.8%,25.4%
2016-2020,28013,"Calhoun, MS        ",9,4.3%,7.3%,8.2%,10.2%,11.3%
2016-2020,28015,"Carroll, MS        ",9,4.4%,7.3%,10.3%,10.9%,14.5%
2016-2020,28017,"Chickasaw, MS        ",7,5.2%,8.1%,9.5%,9.5%,12.5%
2016-2020,28019,"Choctaw, MS        ",9,4.5%,7.0%,10.8%,11.2%,20.3%
2016-2020,28021,"Claiborne, MS        ",8,10.9%,17.0%,16.1%,18.9%,20.7%
2016-2020,28023,"Clarke, MS        ",9,4.8%,6.5%,8.2%,9.6%,12.9%
2016-2020,28025,"Clay, MS        ",7,8.1%,10.6%,12.9%,14.6%,20.3%
2016-2020,28027,"Coahoma, MS        ",7,8.9%,12.1%,14.7%,16.2%,17.7%
2016-2020,28029,"Copiah, MS        ",2,6.2%,8.4%,9.4%,11.6%,16.8%
2016-2020,28031,"Covington, MS        ",8,5.6%,7.4%,8.6%,11.4%,14.7%
2016-2020,28033,"DeSoto, MS        ",1,5.3%,7.6%,9.5%,14.3%,24.8%
2016-2020,28035,"Forrest, MS        ",3,13.2%,17.7%,19.8%,22.8%,27.7%
2016-2020,28037,"Franklin, MS        ",9,4.6%,6.1%,7.4%,10.5%,12.6%
2016-2020,28039,"George, MS        ",6,5.5%,6.5%,8.3%,9.1%,14.1%
2016-2020,28041,"Greene, MS        ",8,4.6%,7.1%,6.0%,8.0%,11.0%
2016-2020,28043,"Grenada, MS        ",7,6.5%,10.0%,10.8%,13.5%,19.8%
2016-2020,28045,"Hancock, MS        ",2,8.8%,10.8%,14.3%,17.3%,26.0%
2016-2020,28047,"Harrison, MS        ",2,9.5%,13.9%,16.3%,18.4%,23.7%
2016-2020,28049,"Hinds, MS        ",2,15.9%,23.3%,26.4%,27.2%,30.2%
2016-2020,28051,"Holmes, MS        ",6,6.1%,10.3%,9.7%,11.2%,11.7%
2016-2020,28053,"Humphreys, MS        ",6,4.8%,9.1%,10.4%,11.6%,14.7%
2016-2020,28055,"Issaquena, MS        ",8,2.4%,5.7%,5.6%,7.1%,3.4%
2016-2020,28057,"Itawamba, MS        ",7,3.5%,5.7%,6.7%,8.8%,13.9%
2016-2020,28059,"Jackson, MS        ",2,8.8%,11.3%,14.4%,16.5%,22.5%
2016-2020,28061,"Jasper, MS        ",9,4.5%,8.5%,9.8%,9.8%,14.9%
2016-2020,28063,"Jefferson, MS        ",8,3.6%,8.2%,10.3%,10.6%,19.1%
2016-2020,28065,"Jefferson Davis, MS        ",8,7.4%,7.9%,8.9%,10.4%,14.2%
2016-2020,28067,"Jones, MS        ",4,7.3%,10.1%,12.2%,14.0%,20.7%
2016-2020,28069,"Kemper, MS        ",9,3.6%,7.4%,7.9%,10.3%,12.4%
2016-2020,28071,"Lafayette, MS        ",4,18.5%,23.1%,29.2%,31.1%,47.1%
2016-2020,28073,"Lamar, MS        ",3,5.0%,13.7%,20.9%,26.8%,33.2%
2016-2020,28075,"Lauderdale, MS        ",5,8.0%,10.9%,13.3%,16.2%,21.1%
2016-2020,28077,"Lawrence, MS        ",8,4.8%,7.7%,9.2%,12.0%,17.7%
2016-2020,28079,"Leake, MS        ",6,4.7%,6.6%,9.2%,11.6%,15.9%
2016-2020,28081,"Lee, MS        ",5,8.8%,12.5%,15.0%,18.1%,26.9%
2016-2020,28083,"Leflore, MS        ",5,8.6%,13.2%,15.7%,15.9%,18.8%
2016-2020,28085,"Lincoln, MS        ",6,6.9%,10.1%,11.6%,12.4%,15.8%
2016-2020,28087,"Lowndes, MS        ",5,10.8%,15.1%,18.6%,20.5%,24.0%
2016-2020,28089,"Madison, MS        ",2,6.4%,16.6%,29.3%,37.9%,50.0%
2016-2020,28091,"Marion, MS        ",6,6.6%,8.3%,8.4%,11.5%,12.9%
2016-2020,28093,"Marshall, MS        ",1,6.9%,9.3%,9.4%,9.0%,13.9%
2016-2020,28095,"Monroe, MS        ",7,4.8%,6.8%,8.4%,10.9%,16.3%
2016-2020,28097,"Montgomery, MS        ",7,4.6%,6.8%,9.5%,11.0%,18.9%
2016-2020,28099,"Neshoba, MS        ",7,5.3%,8.9%,10.1%,11.4%,13.6%
2016-2020,28101,"Newton, MS        ",7,5.4%,8.6%,9.7%,12.1%,16.5%
2016-2020,28103,"Noxubee, MS        ",7,5.5%,8.8%,7.9%,10.9%,11.9%
2016-2020,28105,"Oktibbeha, MS        ",5,20.5%,28.3%,31.7%,34.8%,42.9%
2016-2020,28107,"Panola, MS        ",6,4.7%,7.7%,8.7%,10.8%,16.3%
2016-2020,28109,"Pearl River, MS        ",6,7.1%,9.5%,11.4%,13.9%,14.6%
2016-2020,28111,"Perry, MS        ",3,4.1%,6.8%,7.1%,7.7%,10.2%
2016-2020,28113,"Pike, MS        ",6,6.6%,11.6%,12.8%,12.5%,16.0%
2016-2020,28115,"Pontotoc, MS        ",7,4.8%,7.0%,8.1%,11.4%,18.2%
2016-2020,28117,"Prentiss, MS        ",7,4.6%,6.9%,8.4%,9.9%,14.0%
2016-2020,28119,"Quitman, MS        ",6,5.8%,8.2%,9.0%,10.6%,11.1%
2016-2020,28121,"Rankin, MS        ",2,5.0%,14.1%,19.0%,23.8%,30.3%
2016-2020,28123,"Scott, MS        ",6,4.5%,8.2%,9.4%,8.6%,11.3%
2016-2020,28125,"Sharkey, MS        ",8,7.4%,13.3%,12.4%,12.6%,18.6%
2016-2020,28127,"Simpson, MS        ",2,4.9%,7.4%,8.7%,10.9%,17.4%
2016-2020,28129,"Smith, MS        ",8,3.9%,7.4%,7.6%,9.1%,13.0%
2016-2020,28131,"Stone, MS        ",6,6.3%,11.4%,12.4%,12.4%,15.2%
2016-2020,28133,"Sunflower, MS        ",7,6.5%,11.3%,12.4%,12.0%,16.5%
2016-2020,28135,"Tallahatchie, MS        ",7,5.1%,8.6%,7.9%,10.9%,11.4%
