Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,37000,Totalblan,,8.5%,13.2%,17.4%,22.5%,32.0%
2016-2020,37001,"Alamance, NC        ",3,8.5%,11.8%,14.6%,19.2%,25.3%
2016-2020,37003,"Alexander, NC        ",2,3.3%,6.8%,7.9%,9.3%,14.2%
2016-2020,37005,"Alleghany, NC        ",9,3.3%,5.1%,9.0%,11.7%,20.8%
2016-2020,37007,"Anson, NC        ",6,4.0%,6.9%,7.3%,9.2%,11.1%
2016-2020,37009,"Ashe, NC        ",7,3.6%,6.0%,8.1%,12.1%,20.0%
2016-2020,37011,"Avery, NC        ",8,6.1%,9.5%,12.4%,14.5%,23.7%
2016-2020,37013,"Beaufort, NC        ",6,5.9%,8.6%,10.8%,16.0%,20.7%
2016-2020,37015,"Bertie, NC        ",7,5.2%,6.5%,8.0%,8.8%,14.5%
2016-2020,37017,"Bladen, NC        ",6,3.4%,7.0%,7.7%,11.3%,18.2%
2016-2020,37019,"Brunswick, NC        ",2,4.0%,8.0%,10.7%,16.1%,29.5%
2016-2020,37021,"Buncombe, NC        ",2,10.0%,14.6%,19.1%,25.3%,41.4%
2016-2020,37023,"Burke, NC        ",2,5.6%,8.8%,10.6%,12.8%,16.7%
2016-2020,37025,"Cabarrus, NC        ",1,5.5%,8.6%,12.3%,19.1%,33.5%
2016-2020,37027,"Caldwell, NC        ",2,5.2%,7.7%,8.9%,10.4%,15.8%
2016-2020,37029,"Camden, NC        ",8,4.3%,4.9%,10.1%,16.2%,19.9%
2016-2020,37031,"Carteret, NC        ",4,6.2%,12.1%,16.2%,19.8%,28.5%
2016-2020,37033,"Caswell, NC        ",8,3.7%,5.1%,6.6%,8.3%,15.8%
2016-2020,37035,"Catawba, NC        ",2,8.4%,11.3%,14.2%,17.0%,23.1%
2016-2020,37037,"Chatham, NC        ",2,6.1%,13.0%,19.5%,27.6%,43.7%
2016-2020,37039,"Cherokee, NC        ",9,3.9%,6.2%,8.0%,11.0%,21.9%
2016-2020,37041,"Chowan, NC        ",6,7.1%,7.8%,12.2%,16.4%,21.7%
2016-2020,37043,"Clay, NC        ",9,5.2%,9.8%,12.6%,15.4%,27.0%
2016-2020,37045,"Cleveland, NC        ",4,6.0%,9.2%,11.1%,13.3%,19.5%
2016-2020,37047,"Columbus, NC        ",6,4.8%,8.1%,9.1%,10.1%,12.9%
2016-2020,37049,"Craven, NC        ",3,8.3%,11.7%,15.1%,19.3%,25.0%
2016-2020,37051,"Cumberland, NC        ",2,10.0%,14.2%,16.6%,19.1%,25.6%
2016-2020,37053,"Currituck, NC        ",1,2.9%,4.9%,8.2%,13.3%,25.2%
2016-2020,37055,"Dare, NC        ",4,6.2%,15.4%,21.4%,27.7%,38.3%
2016-2020,37057,"Davidson, NC        ",2,5.2%,8.3%,10.0%,12.8%,18.9%
2016-2020,37059,"Davie, NC        ",2,4.4%,9.9%,14.7%,17.6%,24.3%
2016-2020,37061,"Duplin, NC        ",6,4.5%,6.9%,6.6%,10.5%,14.6%
2016-2020,37063,"Durham, NC        ",2,15.6%,24.1%,33.4%,40.1%,49.5%
2016-2020,37065,"Edgecombe, NC        ",3,5.8%,7.5%,8.1%,8.5%,16.2%
2016-2020,37067,"Forsyth, NC        ",2,11.8%,18.3%,24.1%,28.7%,33.9%
2016-2020,37069,"Franklin, NC        ",1,4.3%,7.0%,9.2%,13.2%,21.2%
2016-2020,37071,"Gaston, NC        ",1,5.7%,8.7%,10.8%,14.2%,22.1%
2016-2020,37073,"Gates, NC        ",1,3.0%,7.1%,7.4%,10.5%,12.5%
2016-2020,37075,"Graham, NC        ",9,4.0%,6.0%,10.0%,11.2%,13.3%
2016-2020,37077,"Granville, NC        ",4,4.6%,7.1%,9.6%,13.0%,23.8%
2016-2020,37079,"Greene, NC        ",8,4.7%,6.1%,8.9%,8.2%,10.4%
2016-2020,37081,"Guilford, NC        ",2,12.8%,19.7%,24.8%,30.3%,36.6%
2016-2020,37083,"Halifax, NC        ",4,5.2%,7.8%,8.6%,11.1%,14.7%
2016-2020,37085,"Harnett, NC        ",4,4.8%,8.8%,9.5%,12.8%,22.1%
2016-2020,37087,"Haywood, NC        ",2,5.2%,9.2%,12.8%,16.0%,27.8%
2016-2020,37089,"Henderson, NC        ",2,8.7%,15.2%,19.5%,24.1%,31.5%
2016-2020,37091,"Hertford, NC        ",6,6.8%,10.4%,10.7%,11.1%,16.0%
2016-2020,37093,"Hoke, NC        ",2,4.4%,8.9%,8.4%,10.9%,18.4%
2016-2020,37095,"Hyde, NC        ",9,5.5%,8.6%,7.7%,10.6%,10.5%
2016-2020,37097,"Iredell, NC        ",1,5.8%,9.2%,11.8%,17.4%,29.7%
2016-2020,37099,"Jackson, NC        ",6,8.3%,15.5%,19.7%,25.5%,28.4%
2016-2020,37101,"Johnston, NC        ",1,4.2%,7.1%,11.1%,15.9%,24.0%
2016-2020,37103,"Jones, NC        ",3,4.3%,5.8%,8.1%,9.5%,14.2%
2016-2020,37105,"Lee, NC        ",4,7.5%,11.5%,14.3%,17.2%,20.5%
2016-2020,37107,"Lenoir, NC        ",4,7.4%,10.3%,11.5%,13.3%,15.5%
2016-2020,37109,"Lincoln, NC        ",1,5.0%,8.3%,10.5%,13.0%,23.1%
2016-2020,37111,"McDowell, NC        ",6,4.5%,7.9%,8.1%,9.0%,18.4%
2016-2020,37113,"Macon, NC        ",7,4.6%,10.4%,13.2%,16.2%,23.9%
2016-2020,37115,"Madison, NC        ",2,4.8%,9.4%,11.3%,16.1%,30.1%
2016-2020,37117,"Martin, NC        ",6,4.2%,8.3%,9.5%,11.6%,15.1%
2016-2020,37119,"Mecklenburg, NC        ",1,13.9%,21.2%,28.3%,37.1%,45.8%
2016-2020,37121,"Mitchell, NC        ",7,5.2%,8.1%,9.2%,12.2%,22.1%
2016-2020,37123,"Montgomery, NC        ",6,4.8%,7.1%,7.8%,10.0%,16.3%
2016-2020,37125,"Moore, NC        ",4,8.0%,15.4%,19.9%,26.8%,38.7%
2016-2020,37127,"Nash, NC        ",3,5.9%,11.1%,13.7%,17.2%,21.2%
2016-2020,37129,"New Hanover, NC        ",2,9.7%,16.3%,21.2%,31.0%,42.2%
2016-2020,37131,"Northampton, NC        ",9,5.3%,6.1%,8.8%,10.8%,15.1%
2016-2020,37133,"Onslow, NC        ",3,9.0%,11.4%,13.4%,14.8%,23.6%
2016-2020,37135,"Orange, NC        ",2,31.8%,41.3%,46.1%,51.5%,60.8%
2016-2020,37137,"Pamlico, NC        ",3,2.5%,8.1%,11.6%,14.7%,21.5%
2016-2020,37139,"Pasquotank, NC        ",4,8.5%,12.9%,14.4%,16.4%,23.3%
2016-2020,37141,"Pender, NC        ",2,3.4%,7.2%,11.6%,13.6%,29.0%
2016-2020,37143,"Perquimans, NC        ",8,5.9%,6.1%,8.8%,12.3%,19.6%
2016-2020,37145,"Person, NC        ",2,4.5%,7.2%,7.6%,10.3%,15.7%
2016-2020,37147,"Pitt, NC        ",3,10.6%,17.7%,21.9%,26.4%,32.1%
2016-2020,37149,"Polk, NC        ",8,10.5%,17.1%,20.1%,25.7%,32.7%
2016-2020,37151,"Randolph, NC        ",2,4.7%,7.6%,9.1%,11.1%,16.1%
2016-2020,37153,"Richmond, NC        ",5,4.9%,8.0%,7.9%,10.1%,17.8%
2016-2020,37155,"Robeson, NC        ",4,6.5%,8.7%,11.0%,11.4%,14.0%
2016-2020,37157,"Rockingham, NC        ",2,4.6%,8.0%,8.8%,10.8%,15.2%
2016-2020,37159,"Rowan, NC        ",1,6.6%,10.5%,11.7%,14.2%,19.8%
2016-2020,37161,"Rutherford, NC        ",4,5.3%,8.2%,9.8%,12.5%,19.2%
2016-2020,37163,"Sampson, NC        ",6,4.4%,7.0%,8.1%,11.1%,14.4%
2016-2020,37165,"Scotland, NC        ",6,9.2%,11.2%,13.6%,15.9%,15.5%
2016-2020,37167,"Stanly, NC        ",6,5.4%,8.2%,9.4%,12.7%,17.6%
2016-2020,37169,"Stokes, NC        ",2,2.6%,5.4%,7.3%,9.3%,13.4%
2016-2020,37171,"Surry, NC        ",4,4.8%,6.3%,9.4%,12.0%,17.9%
2016-2020,37173,"Swain, NC        ",8,6.3%,8.8%,9.9%,13.9%,20.6%
2016-2020,37175,"Transylvania, NC        ",6,9.8%,14.1%,17.9%,23.7%,33.8%
2016-2020,37177,"Tyrrell, NC        ",9,3.0%,6.3%,7.6%,10.6%,10.6%
2016-2020,37179,"Union, NC        ",1,5.3%,9.1%,13.2%,21.3%,36.0%
2016-2020,37181,"Vance, NC        ",4,6.2%,7.8%,9.5%,10.7%,17.5%
2016-2020,37183,"Wake, NC        ",1,17.1%,26.6%,35.3%,43.9%,54.0%
2016-2020,37185,"Warren, NC        ",8,4.2%,6.3%,7.1%,11.6%,15.3%
2016-2020,37187,"Washington, NC        ",7,6.0%,8.5%,8.7%,11.6%,12.8%
2016-2020,37189,"Watauga, NC        ",5,12.1%,20.9%,27.4%,33.2%,42.7%
