Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,37000,Totalblan,,61.5%,45.2%,30.0%,21.9%,11.5%
2016-2020,37001,"Alamance, NC        ",3,61.4%,46.0%,32.1%,23.5%,12.5%
2016-2020,37003,"Alexander, NC        ",2,73.9%,56.1%,41.0%,31.3%,16.6%
2016-2020,37005,"Alleghany, NC        ",9,71.9%,61.5%,47.4%,32.0%,21.3%
2016-2020,37007,"Anson, NC        ",6,69.8%,53.1%,39.2%,29.8%,18.9%
2016-2020,37009,"Ashe, NC        ",7,74.2%,59.0%,44.4%,31.4%,13.7%
2016-2020,37011,"Avery, NC        ",8,68.7%,50.4%,37.8%,29.4%,14.3%
2016-2020,37013,"Beaufort, NC        ",6,65.2%,49.5%,34.1%,25.0%,11.7%
2016-2020,37015,"Bertie, NC        ",7,76.0%,62.1%,45.1%,36.2%,21.2%
2016-2020,37017,"Bladen, NC        ",6,72.3%,56.1%,43.6%,29.4%,16.8%
2016-2020,37019,"Brunswick, NC        ",2,70.5%,48.5%,30.8%,21.7%,8.0%
2016-2020,37021,"Buncombe, NC        ",2,53.3%,40.6%,25.5%,18.1%,8.3%
2016-2020,37023,"Burke, NC        ",2,67.6%,54.0%,39.9%,32.4%,17.6%
2016-2020,37025,"Cabarrus, NC        ",1,69.7%,51.0%,32.6%,21.8%,9.4%
2016-2020,37027,"Caldwell, NC        ",2,69.4%,55.6%,43.2%,33.8%,18.6%
2016-2020,37029,"Camden, NC        ",8,74.8%,55.4%,33.8%,17.9%,12.6%
2016-2020,37031,"Carteret, NC        ",4,59.7%,42.9%,24.5%,17.9%,7.9%
2016-2020,37033,"Caswell, NC        ",8,75.0%,59.0%,45.0%,30.8%,17.9%
2016-2020,37035,"Catawba, NC        ",2,60.4%,48.2%,33.3%,25.2%,13.6%
2016-2020,37037,"Chatham, NC        ",2,65.8%,48.5%,30.0%,22.1%,10.9%
2016-2020,37039,"Cherokee, NC        ",9,72.1%,56.4%,40.1%,26.7%,11.2%
2016-2020,37041,"Chowan, NC        ",6,67.8%,54.9%,36.7%,26.9%,16.1%
2016-2020,37043,"Clay, NC        ",9,75.7%,53.6%,37.1%,23.5%,11.9%
2016-2020,37045,"Cleveland, NC        ",4,66.2%,52.6%,36.5%,27.8%,14.2%
2016-2020,37047,"Columbus, NC        ",6,70.3%,55.8%,40.6%,31.4%,16.0%
2016-2020,37049,"Craven, NC        ",3,52.6%,39.1%,24.1%,17.9%,11.1%
2016-2020,37051,"Cumberland, NC        ",2,44.9%,30.4%,19.7%,15.0%,8.5%
2016-2020,37053,"Currituck, NC        ",1,73.6%,49.6%,32.3%,22.4%,9.1%
2016-2020,37055,"Dare, NC        ",4,66.5%,35.3%,19.0%,11.4%,5.6%
2016-2020,37057,"Davidson, NC        ",2,70.0%,52.8%,35.8%,28.0%,15.1%
2016-2020,37059,"Davie, NC        ",2,71.3%,49.5%,30.4%,21.9%,10.2%
2016-2020,37061,"Duplin, NC        ",6,66.4%,56.3%,43.6%,34.2%,21.3%
2016-2020,37063,"Durham, NC        ",2,52.8%,34.9%,21.1%,17.0%,10.4%
2016-2020,37065,"Edgecombe, NC        ",3,69.9%,54.4%,41.5%,34.4%,17.0%
2016-2020,37067,"Forsyth, NC        ",2,54.4%,37.3%,22.4%,18.0%,11.0%
2016-2020,37069,"Franklin, NC        ",1,74.8%,56.8%,37.6%,26.4%,13.5%
2016-2020,37071,"Gaston, NC        ",1,71.0%,53.9%,39.1%,28.6%,14.4%
2016-2020,37073,"Gates, NC        ",1,76.7%,57.1%,39.1%,28.6%,11.1%
2016-2020,37075,"Graham, NC        ",9,76.6%,60.0%,43.1%,31.6%,18.0%
2016-2020,37077,"Granville, NC        ",4,71.5%,55.6%,38.0%,27.0%,13.9%
2016-2020,37079,"Greene, NC        ",8,72.6%,57.5%,40.8%,34.6%,23.7%
2016-2020,37081,"Guilford, NC        ",2,55.2%,36.7%,23.9%,17.0%,10.4%
2016-2020,37083,"Halifax, NC        ",4,70.4%,57.4%,46.1%,34.6%,20.9%
2016-2020,37085,"Harnett, NC        ",4,71.6%,52.6%,36.0%,25.0%,11.9%
2016-2020,37087,"Haywood, NC        ",2,64.3%,48.4%,32.0%,22.3%,11.5%
2016-2020,37089,"Henderson, NC        ",2,56.9%,38.5%,23.8%,16.8%,8.6%
2016-2020,37091,"Hertford, NC        ",6,66.4%,54.5%,41.9%,34.4%,15.9%
2016-2020,37093,"Hoke, NC        ",2,70.6%,52.5%,44.3%,26.5%,12.5%
