Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,45000,Totalblan,,62.2%,46.3%,31.7%,23.7%,11.7%
2016-2020,45001,"Abbeville, SC        ",6,71.5%,57.5%,41.1%,29.9%,17.1%
2016-2020,45003,"Aiken, SC        ",2,56.6%,45.1%,29.3%,22.3%,10.8%
2016-2020,45005,"Allendale, SC        ",6,70.2%,56.8%,47.7%,40.0%,22.9%
2016-2020,45007,"Anderson, SC        ",2,68.3%,52.7%,36.0%,26.6%,14.4%
2016-2020,45009,"Bamberg, SC        ",7,72.5%,56.8%,40.8%,35.3%,20.6%
2016-2020,45011,"Barnwell, SC        ",6,71.1%,54.7%,40.1%,32.5%,17.7%
2016-2020,45013,"Beaufort, SC        ",3,49.7%,28.0%,16.6%,12.2%,6.6%
2016-2020,45015,"Berkeley, SC        ",2,60.7%,38.6%,24.6%,19.8%,10.9%
2016-2020,45017,"Calhoun, SC        ",2,73.1%,52.5%,38.1%,27.2%,13.6%
2016-2020,45019,"Charleston, SC        ",2,49.6%,36.4%,24.5%,18.5%,7.6%
2016-2020,45021,"Cherokee, SC        ",4,73.1%,57.0%,42.8%,33.3%,18.5%
2016-2020,45023,"Chester, SC        ",1,72.9%,58.4%,43.1%,32.9%,16.3%
2016-2020,45025,"Chesterfield, SC        ",6,71.5%,59.4%,46.1%,34.8%,22.2%
2016-2020,45027,"Clarendon, SC        ",6,78.3%,58.3%,45.1%,34.7%,19.8%
2016-2020,45029,"Colleton, SC        ",6,73.8%,54.9%,38.3%,30.4%,12.4%
2016-2020,45031,"Darlington, SC        ",3,67.8%,53.0%,37.7%,30.7%,16.9%
2016-2020,45033,"Dillon, SC        ",6,70.4%,60.7%,47.5%,39.3%,21.4%
2016-2020,45035,"Dorchester, SC        ",2,56.0%,35.7%,23.3%,17.8%,11.0%
2016-2020,45037,"Edgefield, SC        ",2,72.4%,58.7%,37.4%,28.6%,17.2%
2016-2020,45039,"Fairfield, SC        ",2,73.0%,56.7%,41.9%,33.0%,13.8%
2016-2020,45041,"Florence, SC        ",3,64.4%,48.5%,35.7%,26.9%,14.1%
2016-2020,45043,"Georgetown, SC        ",4,71.4%,49.4%,36.1%,24.8%,10.8%
2016-2020,45045,"Greenville, SC        ",2,57.8%,43.9%,28.4%,20.5%,10.9%
2016-2020,45047,"Greenwood, SC        ",4,64.5%,50.8%,35.9%,26.9%,14.5%
2016-2020,45049,"Hampton, SC        ",6,72.1%,57.3%,41.1%,33.1%,18.7%
2016-2020,45051,"Horry, SC        ",2,62.8%,41.5%,25.7%,18.9%,9.4%
2016-2020,45053,"Jasper, SC        ",3,75.0%,53.8%,45.5%,34.8%,13.5%
2016-2020,45055,"Kershaw, SC        ",2,59.7%,48.4%,32.2%,24.6%,10.8%
2016-2020,45057,"Lancaster, SC        ",1,69.4%,53.8%,40.0%,30.2%,12.7%
2016-2020,45059,"Laurens, SC        ",2,73.8%,59.7%,42.6%,32.3%,17.9%
2016-2020,45061,"Lee, SC        ",6,72.1%,60.2%,46.5%,38.6%,18.2%
2016-2020,45063,"Lexington, SC        ",2,55.8%,35.8%,22.7%,17.0%,10.1%
2016-2020,45065,"McCormick, SC        ",8,76.6%,57.9%,47.5%,33.9%,16.3%
2016-2020,45067,"Marion, SC        ",6,68.3%,56.4%,44.7%,32.0%,20.8%
2016-2020,45069,"Marlboro, SC        ",6,74.9%,60.3%,49.1%,39.1%,22.4%
2016-2020,45071,"Newberry, SC        ",6,68.9%,54.2%,37.9%,30.9%,16.0%
2016-2020,45073,"Oconee, SC        ",4,74.0%,54.0%,36.6%,26.1%,14.3%
2016-2020,45075,"Orangeburg, SC        ",4,67.4%,50.7%,37.6%,28.5%,14.0%
2016-2020,45077,"Pickens, SC        ",2,64.4%,49.5%,34.6%,26.3%,13.8%
2016-2020,45079,"Richland, SC        ",2,46.7%,32.6%,20.6%,14.8%,8.4%
2016-2020,45081,"Saluda, SC        ",2,71.3%,57.6%,40.2%,30.7%,20.7%
2016-2020,45083,"Spartanburg, SC        ",2,64.8%,50.5%,37.0%,26.9%,12.9%
2016-2020,45085,"Sumter, SC        ",3,57.6%,45.6%,30.2%,25.7%,13.0%
2016-2020,45087,"Union, SC        ",2,72.2%,58.6%,45.0%,33.1%,15.8%
2016-2020,45089,"Williamsburg, SC        ",6,74.1%,56.5%,44.4%,34.5%,16.7%
2016-2020,45091,"York, SC        ",1,66.3%,47.4%,32.5%,22.8%,8.8%
