Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,47000,Totalblan,,7.9%,12.6%,16.0%,19.6%,28.2%
2016-2020,47001,"Anderson, TN        ",2,14.5%,18.2%,18.6%,20.8%,22.8%
2016-2020,47003,"Bedford, TN        ",4,5.2%,7.5%,10.5%,11.1%,18.1%
2016-2020,47005,"Benton, TN        ",7,3.2%,5.5%,7.4%,6.3%,12.8%
2016-2020,47007,"Bledsoe, TN        ",8,2.7%,5.9%,5.4%,7.1%,11.4%
2016-2020,47009,"Blount, TN        ",2,7.9%,11.3%,14.3%,17.9%,24.6%
2016-2020,47011,"Bradley, TN        ",3,5.4%,10.5%,11.9%,15.9%,23.5%
2016-2020,47013,"Campbell, TN        ",2,3.0%,6.1%,6.6%,7.0%,13.0%
2016-2020,47015,"Cannon, TN        ",1,2.7%,6.1%,6.9%,8.4%,16.3%
2016-2020,47017,"Carroll, TN        ",6,4.0%,7.2%,7.3%,11.1%,18.7%
2016-2020,47019,"Carter, TN        ",3,5.5%,8.2%,10.8%,12.8%,18.5%
2016-2020,47021,"Cheatham, TN        ",1,3.0%,6.6%,10.5%,15.1%,20.5%
2016-2020,47023,"Chester, TN        ",3,3.7%,7.7%,8.7%,11.2%,15.9%
2016-2020,47025,"Claiborne, TN        ",6,4.2%,6.9%,8.0%,8.9%,17.4%
2016-2020,47027,"Clay, TN        ",9,3.8%,5.3%,7.8%,6.8%,13.0%
2016-2020,47029,"Cocke, TN        ",6,2.7%,5.3%,5.5%,6.2%,11.3%
2016-2020,47031,"Coffee, TN        ",4,10.8%,13.3%,15.3%,17.5%,21.2%
2016-2020,47033,"Crockett, TN        ",3,3.3%,5.5%,6.4%,9.1%,15.2%
2016-2020,47035,"Cumberland, TN        ",4,4.6%,8.6%,10.2%,13.7%,17.5%
2016-2020,47037,"Davidson, TN        ",1,12.1%,19.5%,24.4%,30.5%,43.3%
2016-2020,47039,"Decatur, TN        ",9,3.1%,4.9%,4.8%,7.3%,14.3%
2016-2020,47041,"DeKalb, TN        ",6,3.4%,6.1%,8.4%,11.3%,18.9%
2016-2020,47043,"Dickson, TN        ",1,3.3%,7.5%,9.2%,11.3%,17.2%
2016-2020,47045,"Dyer, TN        ",5,3.9%,6.6%,9.4%,12.0%,18.6%
2016-2020,47047,"Fayette, TN        ",1,4.0%,6.9%,8.0%,12.8%,22.5%
