Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,47000,Totalblan,,58.2%,43.8%,32.9%,24.1%,11.8%
2016-2020,47001,"Anderson, TN        ",2,45.3%,37.8%,27.6%,21.1%,11.4%
2016-2020,47003,"Bedford, TN        ",4,60.8%,51.5%,42.4%,30.3%,16.5%
2016-2020,47005,"Benton, TN        ",7,69.2%,53.6%,43.7%,34.2%,16.6%
2016-2020,47007,"Bledsoe, TN        ",8,74.3%,60.4%,47.9%,34.0%,21.6%
2016-2020,47009,"Blount, TN        ",2,54.2%,42.9%,31.5%,21.6%,10.6%
2016-2020,47011,"Bradley, TN        ",3,61.6%,47.0%,35.6%,26.7%,12.9%
2016-2020,47013,"Campbell, TN        ",2,78.5%,62.5%,52.5%,41.3%,20.8%
2016-2020,47015,"Cannon, TN        ",1,73.9%,55.4%,45.4%,32.8%,15.9%
2016-2020,47017,"Carroll, TN        ",6,69.7%,56.7%,44.7%,32.1%,12.8%
2016-2020,47019,"Carter, TN        ",3,63.1%,53.0%,42.5%,30.9%,14.9%
2016-2020,47021,"Cheatham, TN        ",1,65.9%,50.4%,35.0%,24.6%,13.4%
2016-2020,47023,"Chester, TN        ",3,73.4%,55.6%,45.4%,32.2%,14.7%
2016-2020,47025,"Claiborne, TN        ",6,76.0%,61.2%,49.2%,39.7%,19.6%
2016-2020,47027,"Clay, TN        ",9,81.8%,65.7%,51.5%,41.6%,19.3%
2016-2020,47029,"Cocke, TN        ",6,74.0%,59.9%,49.6%,38.8%,18.2%
2016-2020,47031,"Coffee, TN        ",4,53.8%,43.9%,34.9%,26.3%,13.1%
2016-2020,47033,"Crockett, TN        ",3,69.4%,55.0%,42.8%,34.9%,16.2%
2016-2020,47035,"Cumberland, TN        ",4,73.4%,55.6%,40.2%,27.5%,12.9%
2016-2020,47037,"Davidson, TN        ",1,49.2%,33.9%,24.1%,18.5%,10.3%
2016-2020,47039,"Decatur, TN        ",9,72.2%,57.5%,47.1%,36.4%,15.3%
2016-2020,47041,"DeKalb, TN        ",6,73.6%,59.8%,49.7%,35.4%,20.5%
2016-2020,47043,"Dickson, TN        ",1,69.3%,52.0%,38.5%,27.4%,14.4%
2016-2020,47045,"Dyer, TN        ",5,71.7%,57.0%,44.7%,33.7%,14.3%
2016-2020,47047,"Fayette, TN        ",1,76.8%,58.0%,44.5%,29.4%,12.2%
2016-2020,47049,"Fentress, TN        ",9,81.2%,66.4%,55.1%,42.7%,19.3%
