Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,51000,Totalblan,,12.3%,19.1%,24.5%,29.5%,39.5%
2016-2020,51001,"Accomack, VA        ",8,4.6%,8.0%,9.2%,13.5%,19.7%
2016-2020,51003,"Albemarle, VA        ",3,21.1%,32.7%,39.4%,47.7%,58.7%
2016-2020,51005,"Alleghany, VA        ",6,6.0%,8.4%,9.3%,13.6%,14.6%
2016-2020,51007,"Amelia, VA        ",1,5.5%,7.0%,7.2%,9.8%,18.2%
2016-2020,51009,"Amherst, VA        ",2,5.0%,9.1%,10.7%,13.1%,21.3%
2016-2020,51011,"Appomattox, VA        ",2,4.3%,7.3%,8.7%,10.5%,21.5%
2016-2020,51013,"Arlington, VA        ",1,29.6%,42.5%,52.3%,60.2%,75.8%
2016-2020,51015,"Augusta, VA        ",3,6.3%,9.7%,11.7%,15.4%,22.3%
2016-2020,51017,"Bath, VA        ",8,3.9%,8.8%,12.8%,11.1%,17.4%
2016-2020,51019,"Bedford, VA        ",2,3.9%,10.3%,15.6%,20.9%,30.9%
2016-2020,51021,"Bland, VA        ",8,1.3%,5.2%,4.6%,9.2%,13.4%
2016-2020,51023,"Botetourt, VA        ",2,4.9%,10.9%,13.6%,19.6%,26.9%
2016-2020,51025,"Brunswick, VA        ",6,4.5%,7.9%,7.0%,10.8%,14.8%
2016-2020,51027,"Buchanan, VA        ",9,2.9%,5.1%,6.4%,8.0%,11.8%
2016-2020,51029,"Buckingham, VA        ",3,5.0%,6.7%,7.9%,8.5%,12.6%
2016-2020,51031,"Campbell, VA        ",2,7.2%,9.7%,12.9%,14.6%,23.5%
2016-2020,51033,"Caroline, VA        ",1,4.7%,6.3%,8.3%,12.1%,21.8%
2016-2020,51035,"Carroll, VA        ",7,2.3%,5.8%,6.5%,9.5%,14.8%
2016-2020,51036,"Charles City, VA        ",1,4.3%,8.4%,8.4%,10.5%,16.2%
2016-2020,51037,"Charlotte, VA        ",8,4.1%,6.7%,6.5%,10.3%,13.9%
2016-2020,51041,"Chesterfield, VA        ",1,13.5%,23.4%,29.2%,32.6%,40.1%
2016-2020,51043,"Clarke, VA        ",1,9.7%,15.7%,18.6%,23.9%,34.7%
2016-2020,51045,"Craig, VA        ",2,3.5%,8.3%,7.7%,10.8%,21.7%
2016-2020,51047,"Culpeper, VA        ",1,6.6%,11.4%,14.9%,15.7%,25.2%
2016-2020,51049,"Cumberland, VA        ",8,4.8%,7.2%,11.2%,11.8%,16.5%
2016-2020,51051,"Dickenson, VA        ",9,3.1%,4.5%,6.0%,6.7%,11.4%
2016-2020,51053,"Dinwiddie, VA        ",1,4.1%,6.6%,8.4%,11.0%,17.8%
