Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,51000,Totalblan,,52.2%,37.6%,24.8%,18.5%,9.7%
2016-2020,51001,"Accomack, VA        ",8,69.3%,58.8%,40.5%,32.1%,17.5%
2016-2020,51003,"Albemarle, VA        ",3,47.9%,29.9%,18.5%,12.6%,7.3%
2016-2020,51005,"Alleghany, VA        ",6,60.0%,50.0%,32.6%,22.5%,10.6%
2016-2020,51007,"Amelia, VA        ",1,78.0%,59.3%,43.7%,31.7%,14.4%
2016-2020,51009,"Amherst, VA        ",2,70.7%,57.6%,41.1%,29.4%,13.4%
2016-2020,51011,"Appomattox, VA        ",2,71.1%,56.7%,38.9%,29.3%,12.2%
2016-2020,51013,"Arlington, VA        ",1,22.4%,13.4%,12.5%,12.2%,5.1%
2016-2020,51015,"Augusta, VA        ",3,61.2%,48.5%,31.0%,21.8%,11.3%
2016-2020,51017,"Bath, VA        ",8,66.0%,52.4%,32.7%,26.0%,12.5%
2016-2020,51019,"Bedford, VA        ",2,69.9%,49.9%,31.2%,19.9%,8.2%
2016-2020,51021,"Bland, VA        ",8,84.6%,53.1%,37.4%,29.1%,11.4%
2016-2020,51023,"Botetourt, VA        ",2,61.7%,42.3%,27.1%,18.6%,6.4%
2016-2020,51025,"Brunswick, VA        ",6,80.2%,64.6%,49.5%,36.8%,23.0%
2016-2020,51027,"Buchanan, VA        ",9,80.1%,66.6%,57.5%,47.1%,27.4%
2016-2020,51029,"Buckingham, VA        ",3,74.9%,64.3%,46.4%,37.2%,17.5%
2016-2020,51031,"Campbell, VA        ",2,57.1%,49.2%,33.9%,26.6%,11.2%
2016-2020,51033,"Caroline, VA        ",1,75.0%,57.2%,41.2%,28.7%,12.0%
2016-2020,51035,"Carroll, VA        ",7,79.8%,62.8%,50.3%,35.7%,19.1%
2016-2020,51036,"Charles City, VA        ",1,78.2%,58.1%,43.6%,34.3%,18.5%
2016-2020,51037,"Charlotte, VA        ",8,72.9%,64.1%,47.9%,36.8%,16.1%
2016-2020,51041,"Chesterfield, VA        ",1,49.2%,27.0%,15.8%,11.9%,7.4%
2016-2020,51043,"Clarke, VA        ",1,59.0%,42.7%,25.0%,17.9%,8.3%
2016-2020,51045,"Craig, VA        ",2,71.0%,50.2%,31.6%,23.4%,8.5%
2016-2020,51047,"Culpeper, VA        ",1,62.9%,49.9%,33.3%,26.3%,12.9%
2016-2020,51049,"Cumberland, VA        ",8,75.4%,60.6%,42.4%,36.2%,14.2%
2016-2020,51051,"Dickenson, VA        ",9,79.9%,66.5%,52.9%,41.1%,21.8%
2016-2020,51053,"Dinwiddie, VA        ",1,72.6%,60.1%,40.8%,30.0%,15.5%
2016-2020,51057,"Essex, VA        ",6,62.0%,53.6%,35.3%,26.5%,17.2%
2016-2020,51059,"Fairfax, VA        ",1,21.2%,11.5%,8.6%,9.3%,7.3%
2016-2020,51061,"Fauquier, VA        ",1,57.3%,39.7%,21.1%,15.5%,8.1%
2016-2020,51063,"Floyd, VA        ",3,74.9%,59.9%,39.8%,29.9%,11.0%
2016-2020,51065,"Fluvanna, VA        ",3,69.5%,48.2%,31.5%,20.0%,7.5%
2016-2020,51067,"Franklin, VA        ",2,71.9%,54.4%,40.1%,27.8%,11.6%
2016-2020,51069,"Frederick, VA        ",3,63.2%,46.6%,29.9%,21.4%,11.6%
2016-2020,51071,"Giles, VA        ",3,60.7%,47.4%,35.5%,24.1%,10.0%
2016-2020,51073,"Gloucester, VA        ",1,60.8%,43.9%,26.0%,18.3%,10.9%
2016-2020,51075,"Goochland, VA        ",1,74.0%,52.9%,33.3%,21.2%,6.9%
2016-2020,51077,"Grayson, VA        ",9,73.0%,61.7%,48.9%,35.9%,16.9%
2016-2020,51079,"Greene, VA        ",3,72.6%,50.8%,36.5%,21.6%,12.1%
2016-2020,51081,"Greensville, VA        ",6,80.4%,67.2%,50.0%,37.9%,21.9%
2016-2020,51083,"Halifax, VA        ",6,75.0%,63.7%,48.4%,36.1%,17.6%
2016-2020,51085,"Hanover, VA        ",1,63.7%,40.3%,22.5%,13.4%,6.1%
2016-2020,51087,"Henrico, VA        ",1,45.0%,30.7%,18.7%,13.4%,7.5%
2016-2020,51089,"Henry, VA        ",4,67.4%,56.6%,46.1%,35.1%,19.8%
2016-2020,51091,"Highland, VA        ",8,62.6%,46.7%,38.2%,27.2%,10.1%
2016-2020,51093,"Isle of Wight, VA        ",1,71.3%,52.0%,34.6%,23.8%,11.1%
