Textbox12,fips,county,ruc_code,rate_1970,rate_1980,rate_1990,rate_2000,rate_2010
2016-2020,54000,Totalblan,,6.8%,10.4%,12.3%,14.8%,21.3%
2016-2020,54001,"Barbour, WV        ",6,5.3%,8.3%,10.1%,11.8%,13.9%
2016-2020,54003,"Berkeley, WV        ",2,5.8%,10.6%,11.9%,15.1%,22.8%
2016-2020,54005,"Boone, WV        ",3,3.4%,4.4%,6.4%,7.2%,11.6%
2016-2020,54007,"Braxton, WV        ",8,4.1%,8.1%,8.1%,9.2%,14.0%
2016-2020,54009,"Brooke, WV        ",3,6.3%,9.6%,12.2%,13.4%,20.2%
2016-2020,54011,"Cabell, WV        ",2,10.1%,13.9%,18.9%,20.9%,27.1%
2016-2020,54013,"Calhoun, WV        ",8,3.6%,5.3%,6.8%,9.3%,12.2%
2016-2020,54015,"Clay, WV        ",3,1.9%,5.2%,6.2%,7.3%,10.3%
2016-2020,54017,"Doddridge, WV        ",9,4.7%,9.6%,10.3%,10.2%,16.6%
2016-2020,54019,"Fayette, WV        ",3,4.0%,7.4%,8.8%,10.7%,15.2%
2016-2020,54021,"Gilmer, WV        ",7,9.5%,11.4%,14.2%,17.1%,17.0%
2016-2020,54023,"Grant, WV        ",7,4.5%,7.7%,8.6%,11.4%,12.6%
2016-2020,54025,"Greenbrier, WV        ",6,4.8%,10.5%,11.5%,13.6%,20.1%
2016-2020,54027,"Hampshire, WV        ",3,7.0%,10.2%,9.0%,11.3%,12.3%
2016-2020,54029,"Hancock, WV        ",3,5.0%,7.6%,8.9%,11.5%,16.3%
2016-2020,54031,"Hardy, WV        ",6,3.9%,5.6%,7.3%,9.4%,13.9%
2016-2020,54033,"Harrison, WV        ",5,7.6%,10.9%,13.5%,16.3%,23.1%
2016-2020,54035,"Jackson, WV        ",6,6.3%,8.7%,8.7%,12.4%,18.0%
2016-2020,54037,"Jefferson, WV        ",1,10.4%,16.3%,16.2%,21.6%,31.6%
2016-2020,54039,"Kanawha, WV        ",3,9.9%,15.3%,17.6%,20.6%,26.4%
2016-2020,54041,"Lewis, WV        ",7,3.9%,7.5%,8.2%,11.2%,15.7%
2016-2020,54043,"Lincoln, WV        ",2,3.2%,4.8%,4.7%,5.9%,7.8%
2016-2020,54045,"Logan, WV        ",6,4.4%,5.6%,6.3%,8.8%,12.3%
2016-2020,54047,"McDowell, WV        ",7,3.0%,5.2%,4.6%,5.6%,6.8%
2016-2020,54049,"Marion, WV        ",4,7.1%,11.1%,12.5%,16.0%,23.1%
2016-2020,54051,"Marshall, WV        ",3,4.0%,7.4%,9.7%,10.7%,18.6%
2016-2020,54053,"Mason, WV        ",6,4.4%,7.0%,6.8%,8.8%,17.0%
2016-2020,54055,"Mercer, WV        ",4,7.5%,10.1%,11.6%,13.8%,20.1%
2016-2020,54057,"Mineral, WV        ",3,5.0%,7.1%,10.4%,11.7%,17.6%
2016-2020,54059,"Mingo, WV        ",7,4.2%,6.4%,6.6%,7.3%,10.0%
2016-2020,54061,"Monongalia, WV        ",3,17.3%,23.9%,28.1%,32.4%,43.7%
2016-2020,54063,"Monroe, WV        ",8,5.5%,7.9%,8.0%,8.2%,15.5%
2016-2020,54065,"Morgan, WV        ",8,4.9%,9.6%,11.8%,11.2%,18.6%
2016-2020,54067,"Nicholas, WV        ",6,3.7%,6.0%,8.0%,9.8%,17.7%
2016-2020,54069,"Ohio, WV        ",3,8.8%,13.2%,18.4%,23.1%,31.6%
2016-2020,54071,"Pendleton, WV        ",8,3.2%,8.0%,8.2%,10.8%,17.9%
2016-2020,54073,"Pleasants, WV        ",6,7.0%,7.7%,8.5%,9.7%,10.7%
2016-2020,54075,"Pocahontas, WV        ",9,5.0%,9.5%,9.7%,11.8%,13.6%
2016-2020,54077,"Preston, WV        ",3,4.3%,6.9%,8.3%,10.8%,16.2%
2016-2020,54079,"Putnam, WV        ",2,4.4%,10.6%,13.3%,19.7%,26.3%
2016-2020,54081,"Raleigh, WV        ",3,5.0%,9.1%,10.7%,12.7%,19.9%
2016-2020,54083,"Randolph, WV        ",7,6.7%,10.2%,11.9%,13.6%,15.7%
2016-2020,54085,"Ritchie, WV        ",8,2.7%,5.7%,6.0%,7.1%,11.8%
2016-2020,54087,"Roane, WV        ",6,4.2%,6.7%,6.6%,9.0%,13.0%
2016-2020,54089,"Summers, WV        ",6,4.2%,6.4%,8.5%,10.1%,16.0%
2016-2020,54091,"Taylor, WV        ",6,4.8%,7.5%,8.1%,11.3%,18.8%
2016-2020,54093,"Tucker, WV        ",8,5.6%,7.8%,8.6%,10.6%,19.5%
2016-2020,54095,"Tyler, WV        ",9,4.8%,7.2%,9.0%,8.5%,16.2%
2016-2020,54097,"Upshur, WV        ",7,8.6%,11.6%,12.0%,13.8%,16.2%
2016-2020,54099,"Wayne, WV        ",2,4.0%,6.9%,9.0%,11.9%,17.5%
2016-2020,54101,"Webster, WV        ",9,2.6%,5.6%,5.6%,8.7%,10.5%
2016-2020,54103,"Wetzel, WV        ",6,7.1%,9.2%,10.4%,10.4%,12.6%
2016-2020,54105,"Wirt, WV        ",3,2.0%,6.9%,8.0%,9.9%,10.6%
2016-2020,54107,"Wood, WV        ",3,7.2%,11.4%,13.5%,15.2%,22.0%
2016-2020,54109,"Wyoming, WV        ",6,3.0%,5.1%,6.2%,7.1%,11.8%
