Textbox1,Textbox77,fips,name,ruc_code,estBase040190,Apr-00,ESTIMATESBASE2010,ESTIMATESBASE20201,current_year,percentChange
Pop. 2021,Change 2020-21,1000,Alabama,,"4,040,389","4,447,207","4,779,736","5,024,279","5,039,877",0.30%
Pop. 2021,Change 2020-21,1001,Autauga,2,"34,222","43,751","54,571","58,805","59,095",0.50%
Pop. 2021,Change 2020-21,1003,Baldwin,3,"98,280","140,416","182,265","231,767","239,294",3.20%
Pop. 2021,Change 2020-21,1005,Barbour,6,"25,417","29,042","27,457","25,223","24,964",-1.00%
Pop. 2021,Change 2020-21,1007,Bibb,1,"16,598","19,856","22,915","22,293","22,477",0.80%
Pop. 2021,Change 2020-21,1009,Blount,1,"39,248","50,982","57,322","59,134","59,041",-0.20%
Pop. 2021,Change 2020-21,1011,Bullock,6,"11,042","11,603","10,914","10,357","10,320",-0.40%
Pop. 2021,Change 2020-21,1013,Butler,6,"21,892","21,394","20,947","19,051","18,884",-0.90%
Pop. 2021,Change 2020-21,1015,Calhoun,3,"116,032","111,882","118,572","116,441","115,972",-0.40%
Pop. 2021,Change 2020-21,1017,Chambers,6,"36,876","36,600","34,215","34,772","34,541",-0.70%
Pop. 2021,Change 2020-21,1019,Cherokee,6,"19,543","23,909","25,989","24,971","24,996",0.10%
Pop. 2021,Change 2020-21,1021,Chilton,1,"32,458","39,604","43,643","45,014","45,274",0.60%
Pop. 2021,Change 2020-21,1023,Choctaw,9,"16,018","15,953","13,859","12,665","12,533",-1.00%
Pop. 2021,Change 2020-21,1025,Clarke,7,"27,240","27,870","25,833","23,087","22,760",-1.40%
Pop. 2021,Change 2020-21,1027,Clay,9,"13,252","14,240","13,932","14,236","14,190",-0.30%
Pop. 2021,Change 2020-21,1029,Cleburne,8,"12,730","14,141","14,972","15,056","15,103",0.30%
Pop. 2021,Change 2020-21,1031,Coffee,4,"40,240","43,639","49,948","53,465","54,174",1.30%
Pop. 2021,Change 2020-21,1033,Colbert,3,"51,666","54,979","54,428","57,227","57,474",0.40%
Pop. 2021,Change 2020-21,1035,Conecuh,7,"14,054","14,077","13,228","11,597","11,328",-2.30%
Pop. 2021,Change 2020-21,1037,Coosa,8,"11,063","11,842","11,539","10,387","10,450",0.60%
Pop. 2021,Change 2020-21,1039,Covington,6,"36,478","37,640","37,765","37,570","37,524",-0.10%
Pop. 2021,Change 2020-21,1041,Crenshaw,8,"13,635","13,657","13,906","13,194","13,083",-0.80%
Pop. 2021,Change 2020-21,1043,Cullman,4,"67,613","77,426","80,406","87,866","89,496",1.90%
Pop. 2021,Change 2020-21,1045,Dale,4,"49,633","49,120","50,251","49,326","49,342",0.00%
Pop. 2021,Change 2020-21,1047,Dallas,4,"48,130","46,361","43,820","38,462","37,619",-2.20%
Pop. 2021,Change 2020-21,1049,DeKalb,6,"54,651","64,436","71,109","71,608","71,813",0.30%
Pop. 2021,Change 2020-21,1051,Elmore,2,"49,210","65,819","79,303","87,977","89,304",1.50%
Pop. 2021,Change 2020-21,1053,Escambia,6,"35,518","38,452","38,319","36,757","36,699",-0.20%
Pop. 2021,Change 2020-21,1055,Etowah,3,"99,840","103,448","104,430","103,436","103,162",-0.30%
Pop. 2021,Change 2020-21,1057,Fayette,6,"17,962","18,522","17,241","16,321","16,148",-1.10%
