Textbox1,Textbox77,fips,name,ruc_code,estBase040190,Apr-00,ESTIMATESBASE2010,ESTIMATESBASE20201,current_year,percentChange
Pop. 2021,Change 2020-21,5000,Arkansas,,"2,350,624","2,673,293","2,915,918","3,011,524","3,025,891",0.50%
Pop. 2021,Change 2020-21,5001,Arkansas,6,"21,653","20,751","19,019","17,149","16,722",-2.50%
Pop. 2021,Change 2020-21,5003,Ashley,7,"24,319","24,217","21,853","19,062","18,674",-2.00%
Pop. 2021,Change 2020-21,5005,Baxter,7,"31,186","38,365","41,513","41,627","42,144",1.20%
Pop. 2021,Change 2020-21,5007,Benton,2,"97,530","153,323","221,339","284,333","293,692",3.30%
Pop. 2021,Change 2020-21,5009,Boone,7,"28,297","33,940","36,903","37,373","37,830",1.20%
Pop. 2021,Change 2020-21,5011,Bradley,7,"11,793","12,618","11,508","10,545","10,408",-1.30%
Pop. 2021,Change 2020-21,5013,Calhoun,9,"5,826","5,731","5,368","4,739","4,741",0.00%
Pop. 2021,Change 2020-21,5015,Carroll,6,"18,623","25,345","27,446","28,260","28,435",0.60%
Pop. 2021,Change 2020-21,5017,Chicot,7,"15,713","14,101","11,800","10,208","10,019",-1.90%
Pop. 2021,Change 2020-21,5019,Clark,7,"21,437","23,541","22,995","21,446","21,321",-0.60%
Pop. 2021,Change 2020-21,5021,Clay,7,"18,107","17,594","16,083","14,552","14,350",-1.40%
Pop. 2021,Change 2020-21,5023,Cleburne,6,"19,411","24,005","25,970","24,711","25,015",1.20%
Pop. 2021,Change 2020-21,5025,Cleveland,3,"7,781","8,562","8,689","7,550","7,514",-0.50%
Pop. 2021,Change 2020-21,5027,Columbia,7,"25,691","25,612","24,552","22,801","22,672",-0.60%
Pop. 2021,Change 2020-21,5029,Conway,6,"19,151","20,320","21,273","20,715","20,873",0.80%
Pop. 2021,Change 2020-21,5031,Craighead,3,"68,956","82,139","96,443","111,231","112,218",0.90%
Pop. 2021,Change 2020-21,5033,Crawford,2,"42,493","53,252","61,948","60,133","60,378",0.40%
Pop. 2021,Change 2020-21,5035,Crittenden,1,"49,939","50,855","50,902","48,163","47,525",-1.30%
Pop. 2021,Change 2020-21,5037,Cross,6,"19,225","19,529","17,870","16,833","16,681",-0.90%
Pop. 2021,Change 2020-21,5039,Dallas,6,"9,614","9,196","8,116","6,482","6,308",-2.70%
