Textbox1,Textbox77,fips,name,ruc_code,estBase040190,Apr-00,ESTIMATESBASE2010,ESTIMATESBASE20201,current_year,percentChange
Pop. 2021,Change 2020-21,12000,Florida,,"12,938,071","15,982,571","18,801,310","21,538,187","21,781,128",1.10%
Pop. 2021,Change 2020-21,12001,Alachua,2,"181,596","217,964","247,336","278,468","279,238",0.30%
Pop. 2021,Change 2020-21,12003,Baker,1,"18,486","22,255","27,115","28,259","28,715",1.60%
Pop. 2021,Change 2020-21,12005,Bay,3,"126,994","148,270","168,852","175,216","179,168",2.30%
Pop. 2021,Change 2020-21,12007,Bradford,6,"22,515","26,096","28,520","28,303","28,540",0.80%
Pop. 2021,Change 2020-21,12009,Brevard,2,"398,978","476,299","543,376","606,612","616,628",1.70%
Pop. 2021,Change 2020-21,12011,Broward,1,"1,255,531","1,622,974","1,748,066","1,944,375","1,930,983",-0.70%
Pop. 2021,Change 2020-21,12013,Calhoun,6,"11,011","13,002","14,625","13,648","13,641",-0.10%
Pop. 2021,Change 2020-21,12015,Charlotte,3,"110,975","141,620","159,978","186,847","194,843",4.30%
Pop. 2021,Change 2020-21,12017,Citrus,3,"93,513","118,106","141,236","153,843","158,083",2.80%
Pop. 2021,Change 2020-21,12019,Clay,1,"105,986","140,788","190,865","218,245","222,361",1.90%
Pop. 2021,Change 2020-21,12021,Collier,2,"152,099","251,412","321,520","375,752","385,980",2.70%
Pop. 2021,Change 2020-21,12023,Columbia,4,"42,613","56,413","67,531","69,698","70,385",1.00%
Pop. 2021,Change 2020-21,12027,DeSoto,6,"23,865","32,204","34,862","33,976","34,408",1.30%
Pop. 2021,Change 2020-21,12029,Dixie,6,"10,585","13,758","16,422","16,759","17,102",2.00%
Pop. 2021,Change 2020-21,12031,Duval,1,"672,971","778,896","864,263","995,567","999,935",0.40%
Pop. 2021,Change 2020-21,12033,Escambia,2,"262,445","294,415","297,619","321,905","322,390",0.20%
Pop. 2021,Change 2020-21,12035,Flagler,2,"28,701","49,818","95,696","115,378","120,932",4.80%
Pop. 2021,Change 2020-21,12037,Franklin,6,"8,967","9,827","11,549","12,451","12,572",1.00%
Pop. 2021,Change 2020-21,12039,Gadsden,2,"41,116","45,017","46,389","43,826","43,714",-0.30%
Pop. 2021,Change 2020-21,12041,Gilchrist,2,"9,667","14,429","16,939","17,864","18,360",2.80%
Pop. 2021,Change 2020-21,12043,Glades,6,"7,591","10,531","12,884","12,126","12,234",0.90%
Pop. 2021,Change 2020-21,12045,Gulf,3,"11,504","14,548","15,863","14,192","14,363",1.20%
Pop. 2021,Change 2020-21,12047,Hamilton,6,"10,930","13,321","14,799","14,004","13,993",-0.10%
Pop. 2021,Change 2020-21,12049,Hardee,6,"19,499","26,854","27,731","25,327","25,425",0.40%
Pop. 2021,Change 2020-21,12051,Hendry,4,"25,773","36,184","39,140","39,619","40,313",1.80%
Pop. 2021,Change 2020-21,12053,Hernando,1,"101,115","130,795","172,778","194,515","200,638",3.10%
Pop. 2021,Change 2020-21,12055,Highlands,3,"68,432","87,391","98,786","101,235","103,296",2.00%
Pop. 2021,Change 2020-21,12057,Hillsborough,1,"834,054","998,994","1,229,226","1,459,762","1,478,194",1.30%
Pop. 2021,Change 2020-21,12059,Holmes,6,"15,778","18,564","19,927","19,653","19,784",0.70%
Pop. 2021,Change 2020-21,12061,Indian River,3,"90,208","112,877","138,028","159,788","163,662",2.40%
Pop. 2021,Change 2020-21,12063,Jackson,6,"41,375","46,781","49,746","47,319","47,694",0.80%
Pop. 2021,Change 2020-21,12065,Jefferson,2,"11,296","12,876","14,761","14,510","14,555",0.30%
Pop. 2021,Change 2020-21,12067,Lafayette,9,"5,578","7,019","8,870","8,226","8,382",1.90%
Pop. 2021,Change 2020-21,12069,Lake,1,"152,104","210,418","297,052","383,956","395,804",3.10%
Pop. 2021,Change 2020-21,12071,Lee,2,"335,113","440,910","618,754","760,822","787,976",3.60%
Pop. 2021,Change 2020-21,12073,Leon,2,"192,493","239,509","275,487","292,198","292,817",0.20%
Pop. 2021,Change 2020-21,12075,Levy,6,"25,912","34,448","40,801","42,915","44,158",2.90%
Pop. 2021,Change 2020-21,12077,Liberty,8,"5,569","7,011","8,365","7,974","7,900",-0.90%
Pop. 2021,Change 2020-21,12079,Madison,6,"16,569","18,720","19,224","17,968","18,288",1.80%
Pop. 2021,Change 2020-21,12081,Manatee,2,"211,707","263,996","322,833","399,710","412,703",3.30%
Pop. 2021,Change 2020-21,12083,Marion,2,"194,835","258,873","331,298","375,908","385,915",2.70%
Pop. 2021,Change 2020-21,12085,Martin,2,"100,900","126,777","146,318","158,431","159,942",1.00%
Pop. 2021,Change 2020-21,12086,Miami-Dade,1,"1,937,194","2,253,793","2,496,435","2,701,767","2,662,777",-1.40%
Pop. 2021,Change 2020-21,12087,Monroe,4,"78,024","79,602","73,090","82,874","82,170",-0.80%
Pop. 2021,Change 2020-21,12089,Nassau,1,"43,941","57,645","73,314","90,352","94,189",4.20%
Pop. 2021,Change 2020-21,12091,Okaloosa,3,"143,777","170,520","180,822","211,668","213,255",0.70%
Pop. 2021,Change 2020-21,12093,Okeechobee,4,"29,627","35,869","39,996","39,644","40,266",1.60%
Pop. 2021,Change 2020-21,12095,Orange,1,"677,491","896,123","1,145,956","1,429,908","1,422,746",-0.50%
Pop. 2021,Change 2020-21,12097,Osceola,1,"107,728","172,520","268,685","388,656","403,282",3.80%
Pop. 2021,Change 2020-21,12099,Palm Beach,1,"863,503","1,131,189","1,320,134","1,492,191","1,497,987",0.40%
Pop. 2021,Change 2020-21,12101,Pasco,1,"281,131","344,749","464,697","561,891","584,067",3.90%
Pop. 2021,Change 2020-21,12103,Pinellas,1,"851,659","921,500","916,542","959,107","956,615",-0.30%
Pop. 2021,Change 2020-21,12105,Polk,2,"405,382","483,888","602,095","725,046","753,520",3.90%
Pop. 2021,Change 2020-21,12107,Putnam,4,"65,070","70,418","74,364","73,321","74,167",1.20%
Pop. 2021,Change 2020-21,12109,St. Johns,1,"83,829","123,237","190,039","273,425","292,466",7.00%
Pop. 2021,Change 2020-21,12111,St. Lucie,2,"150,171","192,679","277,789","329,226","343,579",4.40%
Pop. 2021,Change 2020-21,12113,Santa Rosa,2,"81,961","117,752","151,372","188,000","193,998",3.20%
Pop. 2021,Change 2020-21,12115,Sarasota,2,"277,776","326,002","379,448","434,006","447,057",3.00%
Pop. 2021,Change 2020-21,12117,Seminole,1,"287,521","365,448","422,718","470,856","470,093",-0.20%
Pop. 2021,Change 2020-21,12119,Sumter,3,"31,577","53,337","93,420","129,752","135,638",4.50%
Pop. 2021,Change 2020-21,12121,Suwannee,6,"26,780","34,881","41,551","43,474","44,485",2.30%
Pop. 2021,Change 2020-21,12123,Taylor,6,"17,111","19,253","22,570","21,796","21,815",0.10%
Pop. 2021,Change 2020-21,12125,Union,6,"10,252","13,428","15,535","16,147","16,335",1.20%
Pop. 2021,Change 2020-21,12127,Volusia,2,"370,737","443,385","494,593","553,543","564,412",2.00%
Pop. 2021,Change 2020-21,12129,Wakulla,2,"14,202","22,857","30,776","33,764","34,690",2.70%
Pop. 2021,Change 2020-21,12131,Walton,3,"27,759","40,561","55,043","75,305","80,069",6.30%
Pop. 2021,Change 2020-21,12133,Washington,6,"16,919","20,975","24,896","25,318","25,436",0.50%
