Textbox1,Textbox77,fips,name,ruc_code,estBase040190,Apr-00,ESTIMATESBASE2010,ESTIMATESBASE20201,current_year,percentChange
Pop. 2021,Change 2020-21,22000,Louisiana,,"4,221,826","4,469,035","4,533,372","4,657,757","4,624,047",-0.70%
Pop. 2021,Change 2020-21,22001,Acadia,2,"55,882","58,833","61,773","57,576","57,288",-0.50%
Pop. 2021,Change 2020-21,22003,Allen,6,"21,226","25,441","25,764","22,750","22,687",-0.30%
Pop. 2021,Change 2020-21,22005,Ascension,2,"58,214","76,639","107,215","126,500","128,369",1.50%
Pop. 2021,Change 2020-21,22007,Assumption,6,"22,753","23,343","23,421","21,039","20,689",-1.70%
Pop. 2021,Change 2020-21,22009,Avoyelles,6,"39,159","41,501","42,073","39,693","39,236",-1.20%
Pop. 2021,Change 2020-21,22011,Beauregard,6,"30,083","32,948","35,654","36,549","36,584",0.10%
Pop. 2021,Change 2020-21,22013,Bienville,6,"16,232","15,753","14,353","12,981","12,776",-1.60%
Pop. 2021,Change 2020-21,22015,Bossier,2,"86,088","99,355","116,979","128,746","129,144",0.30%
Pop. 2021,Change 2020-21,22017,Caddo,2,"248,253","251,129","254,969","237,848","233,092",-2.00%
Pop. 2021,Change 2020-21,22019,Calcasieu,3,"168,134","183,606","192,768","216,785","205,282",-5.30%
Pop. 2021,Change 2020-21,22021,Caldwell,8,"9,806","10,554","10,132","9,645","9,571",-0.80%
Pop. 2021,Change 2020-21,22023,Cameron,3,"9,260","9,965","6,839","5,617","5,080",-9.60%
Pop. 2021,Change 2020-21,22025,Catahoula,9,"11,065","10,905","10,407","8,906","8,805",-1.10%
Pop. 2021,Change 2020-21,22027,Claiborne,6,"17,405","16,850","17,195","14,170","14,038",-0.90%
Pop. 2021,Change 2020-21,22029,Concordia,7,"20,828","20,221","20,822","18,687","18,376",-1.70%
Pop. 2021,Change 2020-21,22031,De Soto,2,"25,668","25,489","26,656","26,812","26,919",0.40%
Pop. 2021,Change 2020-21,22033,East Baton Rouge,2,"380,105","412,899","440,171","456,781","453,301",-0.80%
Pop. 2021,Change 2020-21,22035,East Carroll,7,"9,709","9,415","7,759","7,459","7,220",-3.20%
Pop. 2021,Change 2020-21,22037,East Feliciana,2,"19,211","21,348","20,267","19,539","19,338",-1.00%
Pop. 2021,Change 2020-21,22039,Evangeline,6,"33,274","35,502","33,984","32,350","32,215",-0.40%
Pop. 2021,Change 2020-21,22041,Franklin,7,"22,387","21,264","20,767","19,774","19,668",-0.50%
Pop. 2021,Change 2020-21,22043,Grant,3,"17,526","18,697","22,309","22,169","22,236",0.30%
Pop. 2021,Change 2020-21,22045,Iberia,2,"68,297","73,277","73,240","69,929","68,975",-1.40%
Pop. 2021,Change 2020-21,22047,Iberville,2,"31,049","33,319","33,387","30,241","29,824",-1.40%
Pop. 2021,Change 2020-21,22049,Jackson,6,"15,859","15,408","16,274","15,031","14,876",-1.00%
Pop. 2021,Change 2020-21,22051,Jefferson,1,"448,306","455,406","432,552","440,781","433,688",-1.60%
Pop. 2021,Change 2020-21,22053,Jefferson Davis,6,"30,722","31,432","31,594","32,250","32,345",0.30%
Pop. 2021,Change 2020-21,22055,Lafayette,2,"164,762","190,234","221,578","241,753","244,205",1.00%
Pop. 2021,Change 2020-21,22057,Lafourche,3,"85,860","89,745","96,318","97,557","97,504",-0.10%
Pop. 2021,Change 2020-21,22059,La Salle,6,"13,662","14,276","14,890","14,791","14,834",0.30%
Pop. 2021,Change 2020-21,22061,Lincoln,4,"41,745","42,503","46,735","48,396","48,152",-0.50%
Pop. 2021,Change 2020-21,22063,Livingston,2,"70,523","91,889","128,026","142,282","145,830",2.50%
Pop. 2021,Change 2020-21,22065,Madison,7,"12,463","13,724","12,093","10,017","9,799",-2.20%
Pop. 2021,Change 2020-21,22067,Morehouse,6,"31,938","31,037","27,979","25,629","25,025",-2.40%
Pop. 2021,Change 2020-21,22069,Natchitoches,6,"37,254","39,077","39,566","37,515","37,026",-1.30%
Pop. 2021,Change 2020-21,22071,Orleans,1,"496,938","484,692","343,829","383,997","376,971",-1.80%
Pop. 2021,Change 2020-21,22073,Ouachita,3,"142,191","147,256","153,720","160,368","158,768",-1.00%
Pop. 2021,Change 2020-21,22075,Plaquemines,1,"25,575","26,749","23,042","23,515","23,303",-0.90%
Pop. 2021,Change 2020-21,22077,Pointe Coupee,2,"22,540","22,761","22,802","20,758","20,356",-1.90%
Pop. 2021,Change 2020-21,22079,Rapides,3,"131,556","126,390","131,613","130,023","128,654",-1.10%
Pop. 2021,Change 2020-21,22081,Red River,8,"9,526","9,621","9,091","7,620","7,564",-0.70%
Pop. 2021,Change 2020-21,22083,Richland,6,"20,629","20,989","20,725","20,043","19,805",-1.20%
Pop. 2021,Change 2020-21,22085,Sabine,6,"22,646","23,434","24,233","22,155","22,135",-0.10%
Pop. 2021,Change 2020-21,22087,St. Bernard,1,"66,631","67,230","35,897","43,764","44,258",1.10%
Pop. 2021,Change 2020-21,22089,St. Charles,1,"42,437","48,019","52,780","52,549","52,282",-0.50%
Pop. 2021,Change 2020-21,22091,St. Helena,2,"9,874","10,553","11,203","10,920","10,912",-0.10%
Pop. 2021,Change 2020-21,22093,St. James,1,"20,879","21,193","22,102","20,192","19,742",-2.20%
Pop. 2021,Change 2020-21,22095,St. John the Baptist,1,"39,996","43,181","45,924","42,477","42,094",-0.90%
Pop. 2021,Change 2020-21,22097,St. Landry,4,"80,312","87,662","83,384","82,540","82,071",-0.60%
Pop. 2021,Change 2020-21,22099,St. Martin,2,"44,097","48,535","52,160","51,767","51,540",-0.40%
Pop. 2021,Change 2020-21,22101,St. Mary,4,"58,086","53,539","54,650","49,406","48,232",-2.40%
Pop. 2021,Change 2020-21,22103,St. Tammany,1,"144,500","191,270","233,740","264,570","269,388",1.80%
Pop. 2021,Change 2020-21,22105,Tangipahoa,3,"85,709","100,481","121,097","133,157","135,217",1.50%
Pop. 2021,Change 2020-21,22107,Tensas,9,"7,103","6,608","5,252","4,147","4,043",-2.50%
Pop. 2021,Change 2020-21,22109,Terrebonne,3,"96,982","104,772","111,860","109,580","108,708",-0.80%
Pop. 2021,Change 2020-21,22111,Union,3,"20,796","22,798","22,721","21,107","21,091",-0.10%
