Textbox1,Textbox77,fips,name,ruc_code,estBase040190,Apr-00,ESTIMATESBASE2010,ESTIMATESBASE20201,current_year,percentChange
Pop. 2021,Change 2020-21,45000,South Carolina,,"3,486,310","4,012,023","4,625,364","5,118,425","5,190,705",1.40%
Pop. 2021,Change 2020-21,45001,Abbeville,6,"23,862","26,153","25,417","24,295","24,299",0.00%
Pop. 2021,Change 2020-21,45003,Aiken,2,"120,991","142,556","160,099","168,808","170,776",1.20%
Pop. 2021,Change 2020-21,45005,Allendale,6,"11,727","11,199","10,419","8,039","7,858",-2.30%
Pop. 2021,Change 2020-21,45007,Anderson,2,"145,177","165,734","187,126","203,718","206,908",1.60%
Pop. 2021,Change 2020-21,45009,Bamberg,7,"16,902","16,704","15,987","13,311","13,189",-0.90%
Pop. 2021,Change 2020-21,45011,Barnwell,6,"20,293","23,491","22,621","20,589","20,580",0.00%
Pop. 2021,Change 2020-21,45013,Beaufort,3,"86,425","120,931","162,233","187,117","191,748",2.50%
Pop. 2021,Change 2020-21,45015,Berkeley,2,"128,658","142,747","177,843","229,861","236,701",3.00%
Pop. 2021,Change 2020-21,45017,Calhoun,2,"12,753","15,132","15,175","14,119","14,165",0.30%
Pop. 2021,Change 2020-21,45019,Charleston,2,"295,159","309,921","350,209","408,235","413,024",1.20%
Pop. 2021,Change 2020-21,45021,Cherokee,4,"44,506","52,532","55,342","56,216","56,052",-0.30%
Pop. 2021,Change 2020-21,45023,Chester,1,"32,170","34,112","33,140","32,294","32,209",-0.30%
Pop. 2021,Change 2020-21,45025,Chesterfield,6,"38,575","42,765","46,734","43,273","43,268",0.00%
Pop. 2021,Change 2020-21,45027,Clarendon,6,"28,450","32,460","34,971","31,144","31,024",-0.40%
Pop. 2021,Change 2020-21,45029,Colleton,6,"34,377","38,259","38,892","38,604","38,462",-0.40%
Pop. 2021,Change 2020-21,45031,Darlington,3,"61,851","67,444","68,681","62,905","62,755",-0.20%
Pop. 2021,Change 2020-21,45033,Dillon,6,"29,114","30,735","32,062","28,292","28,087",-0.70%
Pop. 2021,Change 2020-21,45035,Dorchester,2,"83,060","96,353","136,555","161,540","163,327",1.10%
Pop. 2021,Change 2020-21,45037,Edgefield,2,"18,360","24,588","26,985","25,657","26,153",1.90%
Pop. 2021,Change 2020-21,45039,Fairfield,2,"22,295","23,388","23,956","20,948","20,690",-1.20%
Pop. 2021,Change 2020-21,45041,Florence,3,"114,344","125,709","136,885","137,059","136,504",-0.40%
Pop. 2021,Change 2020-21,45043,Georgetown,4,"46,302","55,823","60,158","63,404","63,921",0.80%
Pop. 2021,Change 2020-21,45045,Greenville,2,"320,127","379,648","451,225","525,534","533,834",1.60%
Pop. 2021,Change 2020-21,45047,Greenwood,4,"59,567","66,309","69,661","69,351","69,241",-0.20%
Pop. 2021,Change 2020-21,45049,Hampton,6,"18,186","21,373","21,090","18,561","18,180",-2.10%
Pop. 2021,Change 2020-21,45051,Horry,2,"144,053","196,558","269,291","351,029","365,579",4.10%
Pop. 2021,Change 2020-21,45053,Jasper,3,"15,487","20,672","24,777","28,791","30,324",5.30%
Pop. 2021,Change 2020-21,45055,Kershaw,2,"43,599","52,649","61,697","65,403","66,130",1.10%
Pop. 2021,Change 2020-21,45057,Lancaster,1,"54,516","61,404","76,652","96,016","100,336",4.50%
Pop. 2021,Change 2020-21,45059,Laurens,2,"58,132","69,407","66,537","67,539","67,803",0.40%
Pop. 2021,Change 2020-21,45061,Lee,6,"18,437","20,089","19,220","16,531","16,280",-1.50%
Pop. 2021,Change 2020-21,45063,Lexington,2,"167,526","216,031","262,391","293,991","300,137",2.10%
Pop. 2021,Change 2020-21,45065,McCormick,8,"8,868","9,934","10,233","9,526","9,760",2.50%
Pop. 2021,Change 2020-21,45067,Marion,6,"33,899","35,475","33,062","29,183","28,784",-1.40%
Pop. 2021,Change 2020-21,45069,Marlboro,6,"29,716","28,820","28,933","26,667","26,382",-1.10%
Pop. 2021,Change 2020-21,45071,Newberry,6,"33,172","35,979","37,508","37,719","37,996",0.70%
Pop. 2021,Change 2020-21,45073,Oconee,4,"57,494","66,199","74,273","78,607","79,203",0.80%
Pop. 2021,Change 2020-21,45075,Orangeburg,4,"84,804","91,511","92,501","84,223","82,962",-1.50%
Pop. 2021,Change 2020-21,45077,Pickens,2,"93,896","110,755","119,224","131,404","132,229",0.60%
Pop. 2021,Change 2020-21,45079,Richland,2,"286,321","320,836","384,504","416,147","418,307",0.50%
Pop. 2021,Change 2020-21,45081,Saluda,2,"16,441","19,180","19,875","18,862","18,821",-0.20%
Pop. 2021,Change 2020-21,45083,Spartanburg,2,"226,793","253,957","284,307","327,997","335,864",2.40%
Pop. 2021,Change 2020-21,45085,Sumter,3,"101,276","104,687","107,456","105,556","104,758",-0.80%
Pop. 2021,Change 2020-21,45087,Union,2,"30,337","29,939","28,961","27,244","27,016",-0.80%
Pop. 2021,Change 2020-21,45089,Williamsburg,6,"36,815","37,219","34,423","31,026","30,484",-1.70%
Pop. 2021,Change 2020-21,45091,York,1,"131,497","164,656","226,073","282,090","288,595",2.30%
