Textbox1,Textbox77,fips,name,ruc_code,estBase040190,Apr-00,ESTIMATESBASE2010,ESTIMATESBASE20201,current_year,percentChange
Pop. 2021,Change 2020-21,47000,Tennessee,,"4,877,203","5,689,427","6,346,105","6,910,840","6,975,218",0.90%
Pop. 2021,Change 2020-21,47001,Anderson,2,"68,250","71,470","75,129","77,123","77,576",0.60%
Pop. 2021,Change 2020-21,47003,Bedford,4,"30,411","37,608","45,058","50,237","51,119",1.80%
Pop. 2021,Change 2020-21,47005,Benton,7,"14,524","16,534","16,489","15,864","15,872",0.10%
Pop. 2021,Change 2020-21,47007,Bledsoe,8,"9,669","12,349","12,876","14,913","15,234",2.20%
Pop. 2021,Change 2020-21,47009,Blount,2,"85,962","105,824","123,010","135,280","137,605",1.70%
Pop. 2021,Change 2020-21,47011,Bradley,3,"73,712","87,973","98,963","108,620","110,162",1.40%
Pop. 2021,Change 2020-21,47013,Campbell,2,"35,079","39,839","40,716","39,272","39,578",0.80%
Pop. 2021,Change 2020-21,47015,Cannon,1,"10,467","12,836","13,801","14,506","14,553",0.30%
Pop. 2021,Change 2020-21,47017,Carroll,6,"27,514","29,446","28,522","28,440","28,432",0.00%
Pop. 2021,Change 2020-21,47019,Carter,3,"51,505","56,731","57,424","56,356","56,134",-0.40%
Pop. 2021,Change 2020-21,47021,Cheatham,1,"27,140","35,843","39,105","41,072","41,523",1.10%
Pop. 2021,Change 2020-21,47023,Chester,3,"12,819","15,540","17,131","17,341","17,504",0.90%
Pop. 2021,Change 2020-21,47025,Claiborne,6,"26,137","29,861","32,213","32,043","32,267",0.70%
Pop. 2021,Change 2020-21,47027,Clay,9,"7,238","7,960","7,861","7,581","7,555",-0.30%
Pop. 2021,Change 2020-21,47029,Cocke,6,"29,141","33,548","35,662","35,999","36,418",1.20%
Pop. 2021,Change 2020-21,47031,Coffee,4,"40,343","48,052","52,796","57,889","59,032",2.00%
Pop. 2021,Change 2020-21,47033,Crockett,3,"13,378","14,529","14,586","13,911","13,979",0.50%
