Textbox1,Textbox77,fips,name,ruc_code,estBase040190,Apr-00,ESTIMATESBASE2010,ESTIMATESBASE20201,current_year,percentChange
Pop. 2021,Change 2020-21,51000,Virginia,,"6,189,197","7,079,057","8,001,024","8,631,393","8,642,274",0.10%
Pop. 2021,Change 2020-21,51001,Accomack,8,"31,703","38,301","33,164","33,413","33,246",-0.50%
Pop. 2021,Change 2020-21,51003,Albemarle,3,"68,177","83,024","98,970","112,395","113,535",1.00%
Pop. 2021,Change 2020-21,51005,Alleghany,6,"12,815","17,235","16,250","15,223","14,986",-1.60%
Pop. 2021,Change 2020-21,51007,Amelia,1,"8,787","11,378","12,690","13,265","13,268",0.00%
Pop. 2021,Change 2020-21,51009,Amherst,2,"28,578","31,888","32,353","31,307","31,273",-0.10%
Pop. 2021,Change 2020-21,51011,Appomattox,2,"12,300","13,703","14,973","16,119","16,353",1.50%
Pop. 2021,Change 2020-21,51013,Arlington,1,"170,895","189,211","207,627","238,643","232,965",-2.40%
Pop. 2021,Change 2020-21,51015,Augusta,3,"54,557","65,385","73,750","77,487","77,563",0.10%
Pop. 2021,Change 2020-21,51017,Bath,8,"4,799","5,040","4,731","4,209","4,114",-2.30%
Pop. 2021,Change 2020-21,51019,Bedford,2,"45,553","60,226","68,676","79,462","80,131",0.80%
Pop. 2021,Change 2020-21,51021,Bland,8,"6,514","6,869","6,824","6,270","6,173",-1.50%
Pop. 2021,Change 2020-21,51023,Botetourt,2,"24,992","30,554","33,148","33,596","33,866",0.80%
Pop. 2021,Change 2020-21,51025,Brunswick,6,"15,987","18,395","17,434","15,849","15,940",0.60%
Pop. 2021,Change 2020-21,51027,Buchanan,9,"31,333","26,968","24,098","20,355","19,816",-2.60%
Pop. 2021,Change 2020-21,51029,Buckingham,3,"12,873","15,614","17,146","16,824","16,947",0.70%
Pop. 2021,Change 2020-21,51031,Campbell,2,"47,499","50,997","54,842","55,696","55,492",-0.40%
Pop. 2021,Change 2020-21,51033,Caroline,1,"19,217","22,122","28,545","30,887","31,332",1.40%
Pop. 2021,Change 2020-21,51035,Carroll,7,"26,519","29,205","30,042","29,155","29,048",-0.40%
Pop. 2021,Change 2020-21,51036,Charles City,1,"6,282","6,932","7,256","6,773","6,594",-2.60%
Pop. 2021,Change 2020-21,51037,Charlotte,8,"11,688","12,471","12,586","11,529","11,448",-0.70%
Pop. 2021,Change 2020-21,51041,Chesterfield,1,"209,599","259,879","316,236","364,548","370,688",1.70%
Pop. 2021,Change 2020-21,51043,Clarke,1,"12,101","12,638","14,034","14,783","14,881",0.70%
Pop. 2021,Change 2020-21,51045,Craig,2,"4,372","5,076","5,190","4,892","4,865",-0.60%
Pop. 2021,Change 2020-21,51047,Culpeper,1,"27,791","34,260","46,689","52,552","53,596",2.00%
Pop. 2021,Change 2020-21,51049,Cumberland,8,"7,825","9,002","10,052","9,675","9,681",0.10%
Pop. 2021,Change 2020-21,51051,Dickenson,9,"17,620","16,380","15,903","14,124","13,787",-2.40%
Pop. 2021,Change 2020-21,51053,Dinwiddie,1,"22,279","24,540","28,001","27,947","27,912",-0.10%
Pop. 2021,Change 2020-21,51057,Essex,6,"8,689","9,991","11,151","10,599","10,573",-0.20%
Pop. 2021,Change 2020-21,51059,Fairfax,1,"818,310","969,987","1,081,726","1,150,309","1,139,720",-0.90%
Pop. 2021,Change 2020-21,51061,Fauquier,1,"48,700","55,145","65,203","72,972","73,815",1.20%
Pop. 2021,Change 2020-21,51063,Floyd,3,"11,965","13,840","15,279","15,476","15,566",0.60%
Pop. 2021,Change 2020-21,51065,Fluvanna,3,"12,429","20,012","25,691","27,249","27,723",1.70%
Pop. 2021,Change 2020-21,51067,Franklin,2,"39,549","47,311","56,159","54,477","54,938",0.80%
Pop. 2021,Change 2020-21,51069,Frederick,3,"45,723","59,226","78,305","91,419","93,717",2.50%
Pop. 2021,Change 2020-21,51071,Giles,3,"16,366","16,682","17,286","16,787","16,562",-1.30%
Pop. 2021,Change 2020-21,51073,Gloucester,1,"30,131","34,772","36,858","38,711","39,069",0.90%
Pop. 2021,Change 2020-21,51075,Goochland,1,"14,163","16,866","21,717","24,727","25,488",3.10%
Pop. 2021,Change 2020-21,51077,Grayson,9,"16,278","16,803","15,533","15,333","15,359",0.20%
Pop. 2021,Change 2020-21,51079,Greene,3,"10,297","15,231","18,403","20,552","20,968",2.00%
Pop. 2021,Change 2020-21,51081,Greensville,6,"8,553","11,585","12,243","11,391","11,437",0.40%
Pop. 2021,Change 2020-21,51083,Halifax,6,"36,030","37,350","36,241","34,022","33,738",-0.80%
Pop. 2021,Change 2020-21,51085,Hanover,1,"63,306","86,331","99,863","109,979","111,603",1.50%
Pop. 2021,Change 2020-21,51087,Henrico,1,"217,878","263,195","306,935","334,389","333,554",-0.20%
Pop. 2021,Change 2020-21,51089,Henry,4,"56,942","57,944","54,151","50,948","50,248",-1.40%
Pop. 2021,Change 2020-21,51091,Highland,8,"2,635","2,531","2,321","2,232","2,226",-0.30%
Pop. 2021,Change 2020-21,51093,Isle of Wight,1,"25,053","29,724","35,270","38,606","39,278",1.70%
Pop. 2021,Change 2020-21,51095,James City,1,"34,779","48,096","67,009","78,254","79,882",2.10%
Pop. 2021,Change 2020-21,51097,King and Queen,8,"6,289","6,624","6,945","6,608","6,662",0.80%
Pop. 2021,Change 2020-21,51099,King George,6,"13,527","16,811","23,584","26,723","27,489",2.90%
Pop. 2021,Change 2020-21,51101,King William,1,"10,913","13,155","15,935","17,810","18,171",2.00%
Pop. 2021,Change 2020-21,51103,Lancaster,9,"10,896","11,557","11,391","10,919","10,928",0.10%
Pop. 2021,Change 2020-21,51105,Lee,8,"24,496","23,583","25,587","22,173","21,983",-0.90%
Pop. 2021,Change 2020-21,51107,Loudoun,1,"86,185","169,599","312,311","420,959","427,592",1.60%
Pop. 2021,Change 2020-21,51109,Louisa,8,"20,325","25,691","33,153","37,596","38,848",3.30%
Pop. 2021,Change 2020-21,51111,Lunenburg,9,"11,419","13,152","12,914","11,936","11,926",-0.10%
Pop. 2021,Change 2020-21,51113,Madison,8,"11,949","12,509","13,308","13,837","13,942",0.80%
Pop. 2021,Change 2020-21,51115,Mathews,1,"8,348","9,160","8,978","8,533","8,546",0.20%
Pop. 2021,Change 2020-21,51117,Mecklenburg,7,"29,241","32,387","32,727","30,319","30,248",-0.20%
Pop. 2021,Change 2020-21,51119,Middlesex,8,"8,653","9,895","10,959","10,625","10,781",1.50%
Pop. 2021,Change 2020-21,51121,Montgomery,3,"73,913","83,632","94,392","99,721","98,473",-1.30%
Pop. 2021,Change 2020-21,51125,Nelson,3,"12,778","14,440","15,020","14,775","14,790",0.10%
Pop. 2021,Change 2020-21,51127,New Kent,1,"10,466","13,472","18,429","22,945","23,897",4.10%
Pop. 2021,Change 2020-21,51131,Northampton,8,"13,061","13,096","12,389","12,282","12,085",-1.60%
Pop. 2021,Change 2020-21,51133,Northumberland,9,"10,524","12,257","12,330","11,839","12,029",1.60%
Pop. 2021,Change 2020-21,51135,Nottoway,6,"14,993","15,738","15,853","15,642","15,594",-0.30%
Pop. 2021,Change 2020-21,51137,Orange,6,"21,421","25,870","33,481","36,254","37,188",2.60%
Pop. 2021,Change 2020-21,51139,Page,6,"21,690","23,151","24,042","23,709","23,807",0.40%
Pop. 2021,Change 2020-21,51141,Patrick,8,"17,473","19,429","18,490","17,608","17,602",0.00%
Pop. 2021,Change 2020-21,51143,Pittsylvania,4,"55,672","61,790","63,506","60,501","59,972",-0.90%
Pop. 2021,Change 2020-21,51145,Powhatan,1,"15,328","22,377","28,046","30,333","31,136",2.60%
Pop. 2021,Change 2020-21,51147,Prince Edward,6,"17,320","19,719","23,368","21,849","21,932",0.40%
Pop. 2021,Change 2020-21,51149,Prince George,1,"27,390","33,112","35,725","43,010","42,880",-0.30%
Pop. 2021,Change 2020-21,51153,Prince William,1,"214,954","281,317","402,002","482,204","484,472",0.50%
Pop. 2021,Change 2020-21,51155,Pulaski,3,"34,496","35,129","34,872","33,800","33,759",-0.10%
Pop. 2021,Change 2020-21,51157,Rappahannock,1,"6,622","6,994","7,373","7,348","7,407",0.80%
Pop. 2021,Change 2020-21,51159,Richmond,9,"7,273","8,813","9,254","8,923","9,017",1.10%
Pop. 2021,Change 2020-21,51161,Roanoke,2,"79,278","85,700","92,376","96,929","96,589",-0.40%
Pop. 2021,Change 2020-21,51163,Rockbridge,6,"18,350","20,785","22,307","22,650","22,641",0.00%
Pop. 2021,Change 2020-21,51165,Rockingham,3,"57,482","67,825","76,314","83,757","84,394",0.80%
Pop. 2021,Change 2020-21,51167,Russell,7,"28,667","29,250","28,897","25,781","25,550",-0.90%
