Textbox1,Textbox77,fips,name,ruc_code,estBase040190,Apr-00,ESTIMATESBASE2010,ESTIMATESBASE20201,current_year,percentChange
Pop. 2021,Change 2020-21,54000,West Virginia,,"1,793,477","1,808,193","1,852,994","1,793,716","1,782,959",-0.60%
Pop. 2021,Change 2020-21,54001,Barbour,6,"15,699","15,555","16,589","15,465","15,468",0.00%
Pop. 2021,Change 2020-21,54003,Berkeley,2,"59,253","75,899","104,169","122,076","126,069",3.30%
Pop. 2021,Change 2020-21,54005,Boone,3,"25,870","25,548","24,629","21,809","21,312",-2.30%
Pop. 2021,Change 2020-21,54007,Braxton,8,"12,998","14,697","14,523","12,447","12,247",-1.60%
Pop. 2021,Change 2020-21,54009,Brooke,3,"26,992","25,427","24,069","22,559","22,140",-1.90%
Pop. 2021,Change 2020-21,54011,Cabell,2,"96,827","96,783","96,319","94,350","93,418",-1.00%
Pop. 2021,Change 2020-21,54013,Calhoun,8,"7,885","7,587","7,627","6,229","6,176",-0.90%
Pop. 2021,Change 2020-21,54015,Clay,3,"9,983","10,336","9,386","8,051","7,892",-2.00%
Pop. 2021,Change 2020-21,54017,Doddridge,9,"6,994","7,366","8,202","7,808","7,735",-0.90%
Pop. 2021,Change 2020-21,54019,Fayette,3,"47,952","47,591","46,039","40,488","39,927",-1.40%
Pop. 2021,Change 2020-21,54021,Gilmer,7,"7,669","7,155","8,693","7,408","7,377",-0.40%
Pop. 2021,Change 2020-21,54023,Grant,7,"10,428","11,292","11,937","10,976","10,983",0.10%
Pop. 2021,Change 2020-21,54025,Greenbrier,6,"34,693","34,448","35,480","32,977","32,608",-1.10%
Pop. 2021,Change 2020-21,54027,Hampshire,3,"16,498","20,171","23,964","23,093","23,302",0.90%
Pop. 2021,Change 2020-21,54029,Hancock,3,"35,233","32,682","30,676","29,095","28,656",-1.50%
Pop. 2021,Change 2020-21,54031,Hardy,6,"10,977","12,647","14,025","14,299","14,160",-1.00%
Pop. 2021,Change 2020-21,54033,Harrison,5,"69,371","68,635","69,099","65,921","65,158",-1.20%
Pop. 2021,Change 2020-21,54035,Jackson,6,"25,938","28,002","29,211","27,791","27,738",-0.20%
Pop. 2021,Change 2020-21,54037,Jefferson,1,"35,926","42,246","53,498","57,701","58,370",1.20%
Pop. 2021,Change 2020-21,54039,Kanawha,3,"207,619","200,111","193,063","180,745","177,952",-1.50%
Pop. 2021,Change 2020-21,54041,Lewis,7,"17,223","16,914","16,372","17,033","16,892",-0.80%
Pop. 2021,Change 2020-21,54043,Lincoln,2,"21,382","22,107","21,720","20,463","20,126",-1.60%
Pop. 2021,Change 2020-21,54045,Logan,6,"43,032","37,705","36,743","32,567","31,909",-2.00%
Pop. 2021,Change 2020-21,54047,McDowell,7,"35,233","27,331","22,113","19,111","18,363",-3.90%
Pop. 2021,Change 2020-21,54049,Marion,4,"57,249","56,603","56,418","56,205","56,001",-0.40%
Pop. 2021,Change 2020-21,54051,Marshall,3,"37,356","35,529","33,107","30,591","30,115",-1.60%
Pop. 2021,Change 2020-21,54053,Mason,6,"25,178","25,952","27,324","25,453","25,157",-1.20%
Pop. 2021,Change 2020-21,54055,Mercer,4,"64,980","62,978","62,264","59,664","59,097",-1.00%
Pop. 2021,Change 2020-21,54057,Mineral,3,"26,697","27,086","28,212","26,938","26,857",-0.30%
Pop. 2021,Change 2020-21,54059,Mingo,7,"33,739","28,247","26,839","23,568","23,005",-2.40%
Pop. 2021,Change 2020-21,54061,Monongalia,3,"75,509","81,886","96,189","105,822","106,387",0.50%
Pop. 2021,Change 2020-21,54063,Monroe,8,"12,406","13,184","13,502","12,376","12,332",-0.40%
Pop. 2021,Change 2020-21,54065,Morgan,8,"12,128","14,929","17,541","17,063","17,221",0.90%
Pop. 2021,Change 2020-21,54067,Nicholas,6,"26,775","26,561","26,233","24,604","24,300",-1.20%
Pop. 2021,Change 2020-21,54069,Ohio,3,"50,871","47,432","44,443","42,425","41,776",-1.50%
Pop. 2021,Change 2020-21,54071,Pendleton,8,"8,054","8,186","7,695","6,143","6,142",0.00%
Pop. 2021,Change 2020-21,54073,Pleasants,6,"7,546","7,513","7,605","7,653","7,601",-0.70%
Pop. 2021,Change 2020-21,54075,Pocahontas,9,"9,008","9,114","8,719","7,869","7,841",-0.40%
Pop. 2021,Change 2020-21,54077,Preston,3,"29,037","29,315","33,520","34,216","34,358",0.40%
Pop. 2021,Change 2020-21,54079,Putnam,2,"42,835","51,563","55,486","57,440","57,260",-0.30%
Pop. 2021,Change 2020-21,54081,Raleigh,3,"76,819","79,237","78,859","74,591","73,771",-1.10%
Pop. 2021,Change 2020-21,54083,Randolph,7,"27,803","28,274","29,405","27,932","27,806",-0.50%
Pop. 2021,Change 2020-21,54085,Ritchie,8,"10,233","10,351","10,449","8,444","8,383",-0.70%
Pop. 2021,Change 2020-21,54087,Roane,6,"15,120","15,447","14,926","14,028","13,898",-0.90%
Pop. 2021,Change 2020-21,54089,Summers,6,"14,204","14,381","13,927","11,959","11,908",-0.40%
Pop. 2021,Change 2020-21,54091,Taylor,6,"15,144","16,060","16,895","16,705","16,492",-1.30%
Pop. 2021,Change 2020-21,54093,Tucker,8,"7,728","7,307","7,141","6,762","6,672",-1.30%
Pop. 2021,Change 2020-21,54095,Tyler,9,"9,796","9,583","9,208","8,313","8,155",-1.90%
Pop. 2021,Change 2020-21,54097,Upshur,7,"22,867","23,394","24,254","23,816","23,791",-0.10%
Pop. 2021,Change 2020-21,54099,Wayne,2,"41,636","42,919","42,481","38,982","38,498",-1.20%
Pop. 2021,Change 2020-21,54101,Webster,9,"10,729","9,716","9,154","8,378","8,249",-1.50%
Pop. 2021,Change 2020-21,54103,Wetzel,6,"19,258","17,690","16,583","14,442","14,170",-1.90%
Pop. 2021,Change 2020-21,54105,Wirt,3,"5,192","5,865","5,717","5,194","5,063",-2.50%
Pop. 2021,Change 2020-21,54107,Wood,3,"86,915","87,954","86,956","84,296","83,624",-0.80%
Pop. 2021,Change 2020-21,54109,Wyoming,6,"28,990","25,702","23,796","21,382","21,051",-1.50%
