Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),5000,Arkansas,,"448,665","434,898","462,432","142,855","136,047","149,663"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5001,Arkansas,6,"2,940","2,288","3,592",857,553,"1,161"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5003,Ashley,7,"3,279","2,498","4,060","1,042",693,"1,391"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5005,Baxter,7,"6,013","4,792","7,234","1,748","1,332","2,164"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5007,Benton,2,"25,970","21,852","30,088","9,151","7,127","11,175"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5009,Boone,7,"5,255","4,069","6,441","1,636","1,069","2,203"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5011,Bradley,7,"2,156","1,612","2,700",728,478,978
All people in poverty (2020),Children ages 0-17 in poverty (2020),5013,Calhoun,9,798,610,986,204,142,266
All people in poverty (2020),Children ages 0-17 in poverty (2020),5015,Carroll,6,"3,935","2,981","4,889","1,241",806,"1,676"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5017,Chicot,7,"2,467","1,836","3,098",782,500,"1,064"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5019,Clark,7,"3,830","2,997","4,663",902,590,"1,214"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5021,Clay,7,"2,577","2,055","3,099",728,503,953
All people in poverty (2020),Children ages 0-17 in poverty (2020),5023,Cleburne,6,"3,563","2,769","4,357",948,629,"1,267"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5025,Cleveland,3,"1,086",805,"1,367",324,212,436
All people in poverty (2020),Children ages 0-17 in poverty (2020),5027,Columbia,7,"3,857","2,865","4,849","1,201",786,"1,616"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5029,Conway,6,"3,273","2,504","4,042","1,054",706,"1,402"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5031,Craighead,3,"18,130","15,184","21,076","6,420","4,980","7,860"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5033,Crawford,2,"9,012","7,063","10,961","3,055","2,140","3,970"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5035,Crittenden,1,"10,671","8,646","12,696","4,427","3,300","5,554"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5037,Cross,6,"3,357","2,665","4,049","1,231",902,"1,560"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5039,Dallas,6,"1,244",926,"1,562",405,269,541
All people in poverty (2020),Children ages 0-17 in poverty (2020),5041,Desha,6,"2,507","1,901","3,113",945,636,"1,254"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5043,Drew,6,"3,152","2,450","3,854",907,612,"1,202"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5045,Faulkner,2,"14,653","11,991","17,315","3,775","2,544","5,006"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5047,Franklin,6,"2,692","2,084","3,300",774,502,"1,046"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5049,Fulton,9,"2,077","1,542","2,612",702,455,949
All people in poverty (2020),Children ages 0-17 in poverty (2020),5051,Garland,3,"15,359","12,200","18,518","4,358","2,969","5,747"
All people in poverty (2020),Children ages 0-17 in poverty (2020),5053,Grant,2,"1,809","1,361","2,257",606,397,815
