Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),12000,Florida,,"2,642,642","2,588,357","2,696,927","714,847","688,232","741,462"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12001,Alachua,2,"44,315","37,624","51,006","7,189","5,215","9,163"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12003,Baker,1,"3,416","2,494","4,338","1,183",773,"1,593"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12005,Bay,3,"20,719","16,629","24,809","6,824","4,829","8,819"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12007,Bradford,6,"4,242","3,230","5,254","1,177",806,"1,548"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12009,Brevard,2,"59,282","49,424","69,140","14,490","10,389","18,591"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12011,Broward,1,"214,119","192,629","235,609","56,676","47,044","66,308"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12013,Calhoun,6,"2,512","1,865","3,159",787,546,"1,028"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12015,Charlotte,3,"18,781","14,356","23,206","3,505","2,367","4,643"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12017,Citrus,3,"18,933","14,795","23,071","5,029","3,533","6,525"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12019,Clay,1,"19,482","15,548","23,416","6,467","4,817","8,117"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12021,Collier,2,"39,254","33,102","45,406","9,469","6,856","12,082"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12023,Columbia,4,"10,444","8,023","12,865","3,482","2,366","4,598"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12027,DeSoto,6,"7,387","5,560","9,214","1,863","1,254","2,472"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12029,Dixie,6,"3,538","2,662","4,414",944,662,"1,226"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12031,Duval,1,"143,438","129,229","157,647","44,840","37,978","51,702"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12033,Escambia,2,"41,047","34,205","47,889","13,381","9,391","17,371"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12035,Flagler,2,"11,058","8,852","13,264","3,101","2,143","4,059"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12037,Franklin,6,"1,998","1,499","2,497",563,391,735
All people in poverty (2020),Children ages 0-17 in poverty (2020),12039,Gadsden,2,"9,356","7,595","11,117","3,325","2,500","4,150"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12041,Gilchrist,2,"2,555","1,911","3,199",828,573,"1,083"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12043,Glades,6,"2,302","1,738","2,866",459,311,607
All people in poverty (2020),Children ages 0-17 in poverty (2020),12045,Gulf,3,"1,977","1,466","2,488",615,432,798
All people in poverty (2020),Children ages 0-17 in poverty (2020),12047,Hamilton,6,"2,846","2,084","3,608",915,621,"1,209"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12049,Hardee,6,"5,373","4,199","6,547","1,888","1,372","2,404"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12051,Hendry,4,"9,651","7,887","11,415","3,500","2,619","4,381"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12053,Hernando,1,"24,571","20,143","28,999","7,131","5,449","8,813"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12055,Highlands,3,"16,905","13,204","20,606","4,615","3,256","5,974"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12057,Hillsborough,1,"175,650","157,152","194,148","46,039","36,470","55,608"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12059,Holmes,6,"3,651","2,821","4,481","1,201",852,"1,550"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12061,Indian River,3,"13,959","10,298","17,620","3,873","2,598","5,148"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12063,Jackson,6,"7,738","6,057","9,419","2,480","1,869","3,091"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12065,Jefferson,2,"2,281","1,804","2,758",639,468,810
All people in poverty (2020),Children ages 0-17 in poverty (2020),12067,Lafayette,9,"1,494","1,127","1,861",448,314,582
All people in poverty (2020),Children ages 0-17 in poverty (2020),12069,Lake,1,"34,282","28,142","40,422","9,745","6,602","12,888"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12071,Lee,2,"81,863","70,805","92,921","19,579","14,782","24,376"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12073,Leon,2,"49,598","43,677","55,519","11,832","9,466","14,198"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12075,Levy,6,"7,055","5,505","8,605","2,172","1,503","2,841"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12077,Liberty,8,"1,342",995,"1,689",331,225,437
All people in poverty (2020),Children ages 0-17 in poverty (2020),12079,Madison,6,"3,969","3,181","4,757",990,679,"1,301"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12081,Manatee,2,"44,512","37,350","51,674","11,448","8,504","14,392"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12083,Marion,2,"55,608","46,673","64,543","14,650","10,795","18,505"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12085,Martin,2,"17,627","14,528","20,726","4,391","3,420","5,362"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12086,Miami-Dade,1,"399,797","365,993","433,601","106,575","91,810","121,340"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12087,Monroe,4,"7,404","5,823","8,985","1,714","1,207","2,221"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12089,Nassau,1,"7,348","5,552","9,144","2,042","1,424","2,660"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12091,Okaloosa,3,"19,813","15,885","23,741","6,557","4,782","8,332"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12093,Okeechobee,4,"6,933","5,282","8,584","2,103","1,429","2,777"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12095,Orange,1,"174,206","155,530","192,882","49,796","41,598","57,994"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12097,Osceola,1,"45,150","37,333","52,967","15,979","11,552","20,406"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12099,Palm Beach,1,"178,480","164,498","192,462","45,103","38,052","52,154"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12101,Pasco,1,"64,340","55,473","73,207","18,363","14,488","22,238"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12103,Pinellas,1,"106,309","93,822","118,796","23,715","18,721","28,709"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12105,Polk,2,"104,836","91,519","118,153","35,274","29,145","41,403"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12107,Putnam,4,"17,792","14,831","20,753","5,099","3,551","6,647"
All people in poverty (2020),Children ages 0-17 in poverty (2020),12109,St. Johns,1,"22,314","19,143","25,485","5,477","4,531","6,423"
