Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),13000,Georgia,,"1,465,328","1,428,552","1,502,104","479,569","461,410","497,728"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13001,Appling,7,"3,550","2,734","4,366","1,311",906,"1,716"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13003,Atkinson,9,"1,801","1,362","2,240",725,504,946
All people in poverty (2020),Children ages 0-17 in poverty (2020),13005,Bacon,7,"2,261","1,746","2,776",792,528,"1,056"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13007,Baker,3,701,525,877,214,144,284
All people in poverty (2020),Children ages 0-17 in poverty (2020),13009,Baldwin,4,"8,910","7,121","10,699","2,515","1,705","3,325"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13011,Banks,8,"2,245","1,657","2,833",697,467,927
All people in poverty (2020),Children ages 0-17 in poverty (2020),13013,Barrow,1,"8,629","6,912","10,346","2,816","1,943","3,689"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13015,Bartow,1,"10,991","8,376","13,606","3,860","2,575","5,145"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13017,Ben Hill,7,"3,636","2,803","4,469","1,310",886,"1,734"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13019,Berrien,6,"3,610","2,782","4,438","1,201",824,"1,578"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13021,Bibb,3,"40,946","36,558","45,334","13,448","10,778","16,118"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13023,Bleckley,6,"2,134","1,663","2,605",688,495,881
All people in poverty (2020),Children ages 0-17 in poverty (2020),13025,Brantley,3,"3,386","2,591","4,181","1,157",790,"1,524"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13027,Brooks,3,"3,140","2,334","3,946","1,055",708,"1,402"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13029,Bryan,2,"3,249","2,487","4,011","1,165",802,"1,528"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13031,Bulloch,4,"15,342","12,499","18,185","3,640","2,624","4,656"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13033,Burke,2,"4,455","3,285","5,625","1,787","1,207","2,367"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13035,Butts,1,"4,651","3,932","5,370","1,881","1,616","2,146"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13037,Calhoun,8,"1,555","1,176","1,934",371,256,486
All people in poverty (2020),Children ages 0-17 in poverty (2020),13039,Camden,4,"5,021","3,735","6,307","1,692","1,130","2,254"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13043,Candler,7,"2,143","1,586","2,700",866,586,"1,146"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13045,Carroll,1,"19,693","16,690","22,696","6,003","4,727","7,279"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13047,Catoosa,2,"6,796","5,040","8,552","2,121","1,420","2,822"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13049,Charlton,6,"2,781","2,169","3,393",724,523,925
All people in poverty (2020),Children ages 0-17 in poverty (2020),13051,Chatham,2,"43,011","36,110","49,912","14,434","11,185","17,683"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13053,Chattahoochee,2,"1,222",916,"1,528",343,229,457
All people in poverty (2020),Children ages 0-17 in poverty (2020),13055,Chattooga,6,"4,431","3,437","5,425","1,442","1,049","1,835"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13057,Cherokee,1,"17,630","14,284","20,976","5,412","4,068","6,756"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13059,Clarke,3,"28,845","24,935","32,755","4,924","3,263","6,585"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13061,Clay,9,675,489,861,247,166,328
All people in poverty (2020),Children ages 0-17 in poverty (2020),13063,Clayton,1,"48,136","39,375","56,897","19,630","14,235","25,025"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13065,Clinch,6,"1,326",989,"1,663",483,323,643
All people in poverty (2020),Children ages 0-17 in poverty (2020),13067,Cobb,1,"69,097","58,477","79,717","18,288","13,408","23,168"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13069,Coffee,7,"9,184","7,422","10,946","3,366","2,528","4,204"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13071,Colquitt,6,"9,078","7,225","10,931","3,280","2,367","4,193"
All people in poverty (2020),Children ages 0-17 in poverty (2020),13073,Columbia,2,"10,629","8,384","12,874","3,398","2,504","4,292"
