Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),22000,Louisiana,,"802,040","780,192","823,888","258,205","248,346","268,064"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22001,Acadia,2,"12,580","10,378","14,782","5,123","4,059","6,187"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22003,Allen,6,"4,474","3,506","5,442","1,340",980,"1,700"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22005,Ascension,2,"12,284","9,273","15,295","4,318","2,986","5,650"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22007,Assumption,6,"3,382","2,470","4,294","1,149",789,"1,509"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22009,Avoyelles,6,"7,892","6,127","9,657","2,852","1,996","3,708"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22011,Beauregard,6,"5,288","4,118","6,458","1,768","1,269","2,267"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22013,Bienville,6,"2,882","2,275","3,489","1,074",821,"1,327"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22015,Bossier,2,"22,118","19,648","24,588","7,554","6,303","8,805"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22017,Caddo,2,"48,267","42,387","54,147","13,954","11,024","16,884"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22019,Calcasieu,3,"33,070","27,812","38,328","11,551","9,043","14,059"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22021,Caldwell,8,"1,974","1,536","2,412",629,446,812
All people in poverty (2020),Children ages 0-17 in poverty (2020),22023,Cameron,3,910,712,"1,108",266,181,351
All people in poverty (2020),Children ages 0-17 in poverty (2020),22025,Catahoula,9,"2,369","1,904","2,834",792,618,966
All people in poverty (2020),Children ages 0-17 in poverty (2020),22027,Claiborne,6,"4,001","3,222","4,780","1,024",752,"1,296"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22029,Concordia,7,"4,977","3,977","5,977","1,688","1,219","2,157"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22031,De Soto,2,"5,429","4,407","6,451","1,630","1,233","2,027"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22033,East Baton Rouge,2,"70,357","59,831","80,883","20,300","15,729","24,871"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22035,East Carroll,7,"2,069","1,549","2,589",765,534,996
All people in poverty (2020),Children ages 0-17 in poverty (2020),22037,East Feliciana,2,"3,268","2,504","4,032",736,505,967
All people in poverty (2020),Children ages 0-17 in poverty (2020),22039,Evangeline,6,"7,791","6,445","9,137","2,789","2,183","3,395"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22041,Franklin,7,"4,589","3,562","5,616","1,797","1,306","2,288"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22043,Grant,3,"3,493","2,607","4,379","1,013",693,"1,333"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22045,Iberia,2,"15,248","12,665","17,831","5,825","4,399","7,251"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22047,Iberville,2,"6,695","5,268","8,122","2,005","1,481","2,529"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22049,Jackson,6,"3,034","2,420","3,648",880,626,"1,134"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22051,Jefferson,1,"68,914","59,679","78,149","23,630","19,496","27,764"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22053,Jefferson Davis,6,"5,370","4,215","6,525","1,798","1,264","2,332"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22055,Lafayette,2,"39,122","33,636","44,608","10,994","8,507","13,481"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22057,Lafourche,3,"13,907","11,042","16,772","4,108","2,919","5,297"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22059,La Salle,6,"2,375","1,840","2,910",681,477,885
All people in poverty (2020),Children ages 0-17 in poverty (2020),22061,Lincoln,4,"9,058","7,118","10,998","2,408","1,731","3,085"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22063,Livingston,2,"16,672","13,345","19,999","5,716","4,357","7,075"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22065,Madison,7,"3,042","2,257","3,827","1,173",800,"1,546"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22067,Morehouse,6,"5,457","4,409","6,505","2,299","1,808","2,790"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22069,Natchitoches,6,"7,705","6,029","9,381","2,652","1,927","3,377"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22071,Orleans,1,"79,419","69,665","89,173","22,496","17,766","27,226"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22073,Ouachita,3,"34,803","30,017","39,589","12,129","9,671","14,587"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22075,Plaquemines,1,"3,797","3,025","4,569","1,165",832,"1,498"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22077,Pointe Coupee,2,"3,704","2,811","4,597","1,184",824,"1,544"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22079,Rapides,3,"23,284","19,749","26,819","7,007","5,171","8,843"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22081,Red River,8,"1,919","1,495","2,343",703,527,879
All people in poverty (2020),Children ages 0-17 in poverty (2020),22083,Richland,6,"4,281","3,400","5,162","1,596","1,120","2,072"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22085,Sabine,6,"5,146","4,361","5,931","1,401","1,026","1,776"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22087,St. Bernard,1,"10,053","8,339","11,767","3,808","2,991","4,625"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22089,St. Charles,1,"5,888","4,515","7,261","1,965","1,360","2,570"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22091,St. Helena,2,"2,256","1,789","2,723",713,503,923
All people in poverty (2020),Children ages 0-17 in poverty (2020),22093,St. James,1,"2,668","1,942","3,394",967,659,"1,275"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22095,St. John the Baptist,1,"7,089","5,481","8,697","2,487","1,647","3,327"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22097,St. Landry,4,"18,143","14,847","21,439","6,275","4,541","8,009"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22099,St. Martin,2,"8,847","6,872","10,822","3,034","2,105","3,963"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22101,St. Mary,4,"9,368","7,287","11,449","3,269","2,267","4,271"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22103,St. Tammany,1,"26,239","21,366","31,112","7,833","5,783","9,883"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22105,Tangipahoa,3,"26,792","21,978","31,606","9,508","7,286","11,730"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22107,Tensas,9,"1,280",980,"1,580",469,336,602
All people in poverty (2020),Children ages 0-17 in poverty (2020),22109,Terrebonne,3,"16,981","13,634","20,328","5,285","3,654","6,916"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22111,Union,3,"5,784","4,994","6,574","1,732","1,369","2,095"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22113,Vermilion,2,"9,052","7,040","11,064","3,136","2,084","4,188"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22115,Vernon,5,"7,145","5,822","8,468","2,402","1,809","2,995"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22117,Washington,6,"9,898","7,967","11,829","3,784","2,899","4,669"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22119,Webster,2,"7,231","5,875","8,587","2,345","1,726","2,964"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22121,West Baton Rouge,2,"3,823","2,974","4,672","1,288",923,"1,653"
All people in poverty (2020),Children ages 0-17 in poverty (2020),22123,West Carroll,9,"2,122","1,645","2,599",695,486,904
All people in poverty (2020),Children ages 0-17 in poverty (2020),22125,West Feliciana,2,"2,217","1,652","2,782",468,328,608
All people in poverty (2020),Children ages 0-17 in poverty (2020),22127,Winn,6,"2,744","2,091","3,397",783,552,"1,014"
