Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),24000,Maryland,,"533,561","514,876","552,246","146,629","136,345","156,913"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24001,Allegany,3,"9,197","7,048","11,346","2,186","1,485","2,887"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24003,Anne Arundel,1,"29,711","22,375","37,047","8,048","5,127","10,969"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24005,Baltimore,1,"71,471","60,961","81,981","19,540","15,026","24,054"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24009,Calvert,1,"4,911","3,642","6,180","1,110",670,"1,550"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24011,Caroline,6,"4,072","3,171","4,973","1,374",968,"1,780"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24013,Carroll,1,"8,614","6,637","10,591","2,011","1,382","2,640"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24015,Cecil,1,"8,994","6,872","11,116","2,791","1,933","3,649"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24017,Charles,1,"11,956","9,350","14,562","3,578","2,484","4,672"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24019,Dorchester,6,"4,657","3,628","5,686","1,530","1,057","2,003"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24021,Frederick,1,"16,024","12,918","19,130","4,329","3,196","5,462"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24023,Garrett,6,"3,633","2,846","4,420",838,571,"1,105"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24025,Harford,1,"15,611","12,249","18,973","4,023","2,657","5,389"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24027,Howard,1,"17,817","14,212","21,422","4,502","3,084","5,920"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24029,Kent,6,"2,134","1,584","2,684",490,331,649
All people in poverty (2020),Children ages 0-17 in poverty (2020),24031,Montgomery,1,"70,020","60,073","79,967","17,976","13,749","22,203"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24033,Prince George's,1,"84,663","73,121","96,205","24,950","19,435","30,465"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24035,Queen Anne's,1,"3,497","2,736","4,258",841,573,"1,109"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24037,St. Mary's,3,"8,170","6,151","10,189","2,470","1,667","3,273"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24039,Somerset,2,"4,461","3,225","5,697","1,108",714,"1,502"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24041,Talbot,6,"3,497","2,682","4,312",957,672,"1,242"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24043,Washington,2,"17,632","14,684","20,580","5,383","4,124","6,642"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24045,Wicomico,2,"14,105","11,747","16,463","4,256","3,029","5,483"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24047,Worcester,2,"6,036","4,933","7,139","1,631","1,225","2,037"
All people in poverty (2020),Children ages 0-17 in poverty (2020),24510,Baltimore,1,"112,678","100,697","124,659","30,709","24,577","36,841"
