Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),28000,Mississippi,,"536,535","521,304","551,766","175,995","168,681","183,309"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28001,Adams,5,"7,589","6,067","9,111","2,363","1,747","2,979"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28003,Alcorn,7,"6,127","4,971","7,283","1,807","1,208","2,406"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28005,Amite,8,"2,611","2,116","3,106",608,405,811
All people in poverty (2020),Children ages 0-17 in poverty (2020),28007,Attala,6,"3,309","2,506","4,112","1,226",808,"1,644"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28009,Benton,1,"1,635","1,236","2,034",516,345,687
All people in poverty (2020),Children ages 0-17 in poverty (2020),28011,Bolivar,7,"8,059","6,594","9,524","2,999","2,307","3,691"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28013,Calhoun,9,"2,401","1,824","2,978",816,543,"1,089"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28015,Carroll,9,"1,457","1,091","1,823",381,253,509
All people in poverty (2020),Children ages 0-17 in poverty (2020),28017,Chickasaw,7,"4,068","3,381","4,755","1,295",960,"1,630"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28019,Choctaw,9,"1,490","1,116","1,864",458,304,612
All people in poverty (2020),Children ages 0-17 in poverty (2020),28021,Claiborne,8,"2,589","1,973","3,205",778,520,"1,036"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28023,Clarke,9,"2,914","2,293","3,535","1,067",856,"1,278"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28025,Clay,7,"4,081","3,135","5,027","1,427",994,"1,860"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28027,Coahoma,7,"8,260","6,971","9,549","2,991","2,327","3,655"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28029,Copiah,2,"6,110","4,767","7,453","1,916","1,330","2,502"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28031,Covington,8,"3,693","2,862","4,524","1,376",955,"1,797"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28033,DeSoto,1,"17,653","14,485","20,821","6,055","4,534","7,576"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28035,Forrest,3,"17,991","15,479","20,503","5,585","4,476","6,694"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28037,Franklin,9,"1,616","1,297","1,935",454,311,597
All people in poverty (2020),Children ages 0-17 in poverty (2020),28039,George,6,"4,224","3,460","4,988","1,525","1,138","1,912"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28041,Greene,8,"2,325","1,737","2,913",583,388,778
All people in poverty (2020),Children ages 0-17 in poverty (2020),28043,Grenada,7,"4,351","3,520","5,182","1,459","1,027","1,891"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28045,Hancock,2,"7,428","5,758","9,098","1,837","1,234","2,440"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28047,Harrison,2,"34,186","27,867","40,505","10,695","7,509","13,881"
All people in poverty (2020),Children ages 0-17 in poverty (2020),28049,Hinds,2,"56,977","51,314","62,640","20,754","18,146","23,362"
