Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),45000,South Carolina,,"703,004","681,646","724,362","205,775","196,758","214,792"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45001,Abbeville,6,"3,628","2,821","4,435",967,662,"1,272"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45003,Aiken,2,"22,201","17,948","26,454","6,600","4,642","8,558"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45005,Allendale,6,"2,342","1,748","2,936",714,480,948
All people in poverty (2020),Children ages 0-17 in poverty (2020),45007,Anderson,2,"28,177","23,695","32,659","8,474","6,508","10,440"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45009,Bamberg,7,"2,766","2,002","3,530",848,571,"1,125"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45011,Barnwell,6,"4,418","3,501","5,335","1,629","1,178","2,080"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45013,Beaufort,3,"18,245","14,611","21,879","5,113","3,570","6,656"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45015,Berkeley,2,"25,655","21,414","29,896","8,512","6,418","10,606"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45017,Calhoun,2,"2,240","1,685","2,795",604,409,799
All people in poverty (2020),Children ages 0-17 in poverty (2020),45019,Charleston,2,"48,326","41,000","55,652","11,930","9,077","14,783"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45021,Cherokee,4,"8,181","6,283","10,079","2,659","1,799","3,519"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45023,Chester,1,"5,859","4,677","7,041","1,970","1,428","2,512"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45025,Chesterfield,6,"8,879","7,114","10,644","2,416","1,685","3,147"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45027,Clarendon,6,"5,901","4,380","7,422","1,622","1,080","2,164"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45029,Colleton,6,"7,437","5,864","9,010","2,426","1,670","3,182"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45031,Darlington,3,"12,327","9,671","14,983","3,949","2,807","5,091"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45033,Dillon,6,"6,636","5,189","8,083","2,397","1,638","3,156"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45035,Dorchester,2,"19,791","16,842","22,740","6,994","5,750","8,238"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45037,Edgefield,2,"4,161","3,238","5,084","1,002",707,"1,297"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45039,Fairfield,2,"3,820","2,872","4,768","1,039",693,"1,385"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45041,Florence,3,"23,016","19,080","26,952","6,598","4,593","8,603"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45043,Georgetown,4,"9,475","7,262","11,688","2,906","2,033","3,779"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45045,Greenville,2,"63,371","56,124","70,618","18,887","15,752","22,022"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45047,Greenwood,4,"11,250","8,988","13,512","3,756","2,751","4,761"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45049,Hampton,6,"3,486","2,626","4,346","1,165",800,"1,530"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45051,Horry,2,"46,156","39,215","53,097","12,160","9,262","15,058"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45053,Jasper,3,"5,584","4,441","6,727","1,884","1,366","2,402"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45055,Kershaw,2,"9,620","7,865","11,375","2,947","2,196","3,698"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45057,Lancaster,1,"11,249","9,257","13,241","3,017","2,217","3,817"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45059,Laurens,2,"12,132","10,085","14,179","3,475","2,582","4,368"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45061,Lee,6,"3,470","2,646","4,294",998,675,"1,321"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45063,Lexington,2,"31,262","26,579","35,945","7,959","5,975","9,943"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45065,McCormick,8,"1,443","1,089","1,797",315,221,409
All people in poverty (2020),Children ages 0-17 in poverty (2020),45067,Marion,6,"6,516","4,919","8,113","2,159","1,434","2,884"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45069,Marlboro,6,"6,001","4,836","7,166","1,712","1,229","2,195"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45071,Newberry,6,"6,100","4,818","7,382","1,913","1,388","2,438"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45073,Oconee,4,"8,833","6,831","10,835","2,814","2,012","3,616"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45075,Orangeburg,4,"15,695","12,193","19,197","5,422","3,681","7,163"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45077,Pickens,2,"18,343","15,598","21,088","3,385","2,410","4,360"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45079,Richland,2,"62,651","54,285","71,017","18,821","15,332","22,310"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45081,Saluda,2,"3,495","2,880","4,110","1,073",827,"1,319"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45083,Spartanburg,2,"45,129","39,203","51,055","13,167","10,314","16,020"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45085,Sumter,3,"21,301","18,107","24,495","6,875","5,369","8,381"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45087,Union,2,"3,949","2,975","4,923","1,330",924,"1,736"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45089,Williamsburg,6,"7,341","5,789","8,893","2,034","1,384","2,684"
All people in poverty (2020),Children ages 0-17 in poverty (2020),45091,York,1,"25,145","20,140","30,150","7,140","5,063","9,217"
