Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),47000,Tennessee,,"911,097","887,430","934,764","272,337","261,026","283,648"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47001,Anderson,2,"10,155","7,926","12,384","2,804","1,883","3,725"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47003,Bedford,4,"6,417","4,890","7,944","2,483","1,801","3,165"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47005,Benton,7,"2,675","2,069","3,281",753,499,"1,007"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47007,Bledsoe,8,"2,588","1,963","3,213",531,354,708
All people in poverty (2020),Children ages 0-17 in poverty (2020),47009,Blount,2,"12,219","9,435","15,003","3,321","2,261","4,381"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47011,Bradley,3,"14,675","11,888","17,462","3,914","2,771","5,057"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47013,Campbell,2,"7,807","6,199","9,415","1,974","1,340","2,608"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47015,Cannon,1,"1,954","1,513","2,395",567,393,741
All people in poverty (2020),Children ages 0-17 in poverty (2020),47017,Carroll,6,"4,417","3,519","5,315","1,352",948,"1,756"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47019,Carter,3,"8,877","6,863","10,891","2,055","1,332","2,778"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47021,Cheatham,1,"3,523","2,659","4,387","1,083",751,"1,415"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47023,Chester,3,"2,463","1,894","3,032",757,514,"1,000"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47025,Claiborne,6,"5,779","4,556","7,002","1,300",845,"1,755"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47027,Clay,9,"1,586","1,238","1,934",455,317,593
All people in poverty (2020),Children ages 0-17 in poverty (2020),47029,Cocke,6,"7,044","5,486","8,602","2,144","1,511","2,777"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47031,Coffee,4,"7,811","6,080","9,542","2,691","1,890","3,492"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47033,Crockett,3,"2,115","1,606","2,624",669,458,880
All people in poverty (2020),Children ages 0-17 in poverty (2020),47035,Cumberland,4,"7,274","5,575","8,973","2,094","1,350","2,838"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47037,Davidson,1,"85,618","75,143","96,093","23,746","18,532","28,960"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47039,Decatur,9,"1,936","1,480","2,392",566,392,740
All people in poverty (2020),Children ages 0-17 in poverty (2020),47041,DeKalb,6,"3,591","2,873","4,309",965,669,"1,261"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47043,Dickson,1,"5,916","4,576","7,256","1,868","1,303","2,433"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47045,Dyer,5,"6,022","4,753","7,291","1,895","1,285","2,505"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47047,Fayette,1,"4,210","3,170","5,250","1,173",802,"1,544"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47049,Fentress,9,"3,568","2,754","4,382",912,598,"1,226"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47051,Franklin,6,"5,596","4,502","6,690","1,609","1,207","2,011"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47053,Gibson,4,"6,397","4,977","7,817","2,166","1,499","2,833"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47055,Giles,6,"3,606","2,717","4,495","1,145",759,"1,531"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47057,Grainger,2,"3,321","2,521","4,121",904,592,"1,216"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47059,Greene,4,"11,156","9,070","13,242","2,714","1,886","3,542"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47061,Grundy,8,"2,407","1,766","3,048",723,480,966
All people in poverty (2020),Children ages 0-17 in poverty (2020),47063,Hamblen,3,"9,561","7,636","11,486","3,087","2,239","3,935"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47065,Hamilton,2,"48,007","41,381","54,633","13,888","11,221","16,555"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47067,Hancock,8,"1,808","1,448","2,168",515,384,646
All people in poverty (2020),Children ages 0-17 in poverty (2020),47069,Hardeman,6,"4,612","3,528","5,696","1,294",905,"1,683"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47071,Hardin,6,"3,736","2,847","4,625","1,029",643,"1,415"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47073,Hawkins,2,"8,674","6,858","10,490","2,506","1,824","3,188"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47075,Haywood,6,"3,133","2,446","3,820","1,064",752,"1,376"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47077,Henderson,6,"4,034","3,150","4,918","1,174",798,"1,550"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47079,Henry,7,"5,583","4,575","6,591","1,700","1,242","2,158"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47081,Hickman,1,"3,439","2,542","4,336","1,017",676,"1,358"
All people in poverty (2020),Children ages 0-17 in poverty (2020),47083,Houston,8,"1,266",952,"1,580",394,259,529
All people in poverty (2020),Children ages 0-17 in poverty (2020),47085,Humphreys,6,"2,528","1,976","3,080",818,590,"1,046"
