Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),51000,Virginia,,"769,479","747,641","791,317","223,617","212,309","234,925"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51001,Accomack,8,"5,617","4,582","6,652","1,557","1,093","2,021"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51003,Albemarle,3,"6,602","4,942","8,262","1,506",992,"2,020"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51005,Alleghany,6,"1,681","1,266","2,096",471,310,632
All people in poverty (2020),Children ages 0-17 in poverty (2020),51007,Amelia,1,"1,155",843,"1,467",315,208,422
All people in poverty (2020),Children ages 0-17 in poverty (2020),51009,Amherst,2,"3,435","2,634","4,236",976,645,"1,307"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51011,Appomattox,2,"2,010","1,582","2,438",609,454,764
All people in poverty (2020),Children ages 0-17 in poverty (2020),51013,Arlington,1,"14,273","11,686","16,860","2,847","1,885","3,809"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51015,Augusta,3,"6,074","4,754","7,394","1,621","1,196","2,046"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51017,Bath,8,455,354,556,94,63,125
All people in poverty (2020),Children ages 0-17 in poverty (2020),51019,Bedford,2,"5,417","3,973","6,861","1,340",842,"1,838"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51021,Bland,8,674,485,863,131,87,175
All people in poverty (2020),Children ages 0-17 in poverty (2020),51023,Botetourt,2,"2,193","1,671","2,715",466,308,624
All people in poverty (2020),Children ages 0-17 in poverty (2020),51025,Brunswick,6,"2,785","2,097","3,473",634,434,834
All people in poverty (2020),Children ages 0-17 in poverty (2020),51027,Buchanan,9,"4,642","3,521","5,763",995,680,"1,310"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51029,Buckingham,3,"2,519","1,876","3,162",663,456,870
All people in poverty (2020),Children ages 0-17 in poverty (2020),51031,Campbell,2,"4,874","3,535","6,213","1,395",892,"1,898"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51033,Caroline,1,"2,950","2,298","3,602",950,672,"1,228"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51035,Carroll,7,"3,945","2,956","4,934",995,662,"1,328"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51036,Charles City,1,676,499,853,155,102,208
All people in poverty (2020),Children ages 0-17 in poverty (2020),51037,Charlotte,8,"2,001","1,526","2,476",623,416,830
All people in poverty (2020),Children ages 0-17 in poverty (2020),51041,Chesterfield,1,"23,305","18,912","27,698","7,183","5,294","9,072"
All people in poverty (2020),Children ages 0-17 in poverty (2020),51043,Clarke,1,894,659,"1,129",189,126,252
All people in poverty (2020),Children ages 0-17 in poverty (2020),51045,Craig,2,525,389,661,138,94,182
All people in poverty (2020),Children ages 0-17 in poverty (2020),51047,Culpeper,1,"4,415","3,287","5,543","1,506","1,027","1,985"
