Textbox93,Textbox96,fips,county,ruc_code,total_est,total_Bmin,total_Bmax,under18,under18_Bmin,under18_Bmax
All people in poverty (2020),Children ages 0-17 in poverty (2020),54000,West Virginia,,"274,176","264,703","283,649","70,402","66,709","74,095"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54001,Barbour,6,"3,221","2,576","3,866",825,590,"1,060"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54003,Berkeley,2,"12,137","9,626","14,648","3,728","2,691","4,765"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54005,Boone,3,"3,700","2,676","4,724",986,653,"1,319"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54007,Braxton,8,"2,356","1,735","2,977",575,369,781
All people in poverty (2020),Children ages 0-17 in poverty (2020),54009,Brooke,3,"2,502","1,862","3,142",622,414,830
All people in poverty (2020),Children ages 0-17 in poverty (2020),54011,Cabell,2,"17,499","14,839","20,159","3,657","2,612","4,702"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54013,Calhoun,8,"1,380","1,031","1,729",314,219,409
All people in poverty (2020),Children ages 0-17 in poverty (2020),54015,Clay,3,"1,920","1,470","2,370",591,433,749
All people in poverty (2020),Children ages 0-17 in poverty (2020),54017,Doddridge,9,"1,229",890,"1,568",233,152,314
All people in poverty (2020),Children ages 0-17 in poverty (2020),54019,Fayette,3,"8,352","6,661","10,043","2,359","1,735","2,983"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54021,Gilmer,7,"1,384","1,004","1,764",223,147,299
All people in poverty (2020),Children ages 0-17 in poverty (2020),54023,Grant,7,"1,508","1,119","1,897",413,271,555
All people in poverty (2020),Children ages 0-17 in poverty (2020),54025,Greenbrier,6,"5,987","4,740","7,234","1,603","1,169","2,037"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54027,Hampshire,3,"3,118","2,262","3,974",903,595,"1,211"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54029,Hancock,3,"3,380","2,547","4,213",927,630,"1,224"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54031,Hardy,6,"1,824","1,375","2,273",519,346,692
All people in poverty (2020),Children ages 0-17 in poverty (2020),54033,Harrison,5,"8,940","7,071","10,809","2,454","1,738","3,170"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54035,Jackson,6,"4,000","3,051","4,949","1,119",741,"1,497"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54037,Jefferson,1,"4,392","3,326","5,458","1,100",729,"1,471"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54039,Kanawha,3,"27,150","23,269","31,031","6,904","5,176","8,632"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54041,Lewis,7,"2,152","1,573","2,731",622,412,832
All people in poverty (2020),Children ages 0-17 in poverty (2020),54043,Lincoln,2,"4,093","3,060","5,126","1,135",767,"1,503"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54045,Logan,6,"6,875","5,423","8,327","1,870","1,370","2,370"
All people in poverty (2020),Children ages 0-17 in poverty (2020),54047,McDowell,7,"5,325","4,142","6,508","1,284",847,"1,721"
