FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
1000,Alabama,7.3,6.7,6.1,5.9,4.5,3.9,3.2,6.5,3.4,"$53,958 ",100.00%
1001,"Autauga County, AL",6.3,5.8,5.2,5.1,4,3.6,2.9,5.4,2.8,"$67,565 ",125.20%
1003,"Baldwin County, AL",6.7,6.1,5.6,5.4,4.2,3.6,2.9,6.2,3,"$71,135 ",131.80%
1005,"Barbour County, AL",10.4,10.5,8.9,8.4,6,5.1,4,7.8,5.7,"$38,866 ",72.00%
1007,"Bibb County, AL",8,7.2,6.7,6.5,4.5,4,3.2,7.3,3.5,"$50,907 ",94.30%
1009,"Blount County, AL",6.4,6.1,5.4,5.4,4.1,3.5,2.8,4.6,2.4,"$55,203 ",102.30%
1011,"Bullock County, AL",9.5,8.8,8,6.9,5,4.6,3.9,6,4,"$33,124 ",61.40%
1013,"Butler County, AL",10.4,8.5,7.6,6.9,5.6,4.7,3.9,9.6,5.3,"$42,268 ",78.30%
1015,"Calhoun County, AL",8.9,7.9,7.1,6.6,5.1,4.6,3.7,7.8,4.1,"$50,259 ",93.10%
1017,"Chambers County, AL",8.1,6.7,6.1,5.5,4.2,3.9,3.1,7.5,3.7,"$39,318 ",72.90%
1019,"Cherokee County, AL",6.7,5.8,5.5,5.1,4.2,3.5,3,5.1,2.5,"$50,388 ",93.40%
1021,"Chilton County, AL",6.7,6.2,5.7,5.5,4.2,3.6,2.9,5.5,2.9,"$52,693 ",97.70%
1023,"Choctaw County, AL",9.4,9,9.2,8.5,6.5,5.4,4.9,7.4,4.4,"$41,649 ",77.20%
1025,"Clarke County, AL",14,12.1,11.8,10.9,8.7,7.4,6,9.9,6,"$44,178 ",81.90%
1027,"Clay County, AL",8.5,7.1,6.2,6,4.4,3.8,3.1,4.5,2.7,"$44,763 ",83.00%
1029,"Cleburne County, AL",7.8,6.6,6.1,6,4.6,4.2,3.3,5.1,2.6,"$50,134 ",92.90%
1031,"Coffee County, AL",7,6.6,6,5.9,4.5,3.9,3,4.9,2.8,"$54,203 ",100.50%
1033,"Colbert County, AL",8.3,8.3,8,7,5.3,4.6,3.9,7.3,4,"$54,185 ",100.40%
1035,"Conecuh County, AL",10.9,10.3,9.3,8.4,6.3,5.2,4.2,8,4.8,"$34,664 ",64.20%
1037,"Coosa County, AL",9.3,8.8,6.7,6,4.8,4.1,3.1,6.1,3.1,"$46,509 ",86.20%
1039,"Covington County, AL",8.2,7.7,7.2,6.8,5.3,4.5,3.6,5.5,3,"$43,544 ",80.70%
1041,"Crenshaw County, AL",7.8,6.9,6,5.9,4.6,4,3,6.3,3.3,"$45,927 ",85.10%
1043,"Cullman County, AL",6.8,6,5.3,5,3.8,3.3,2.7,4.8,2.4,"$51,844 ",96.10%
1045,"Dale County, AL",7.5,7,6.4,5.8,4.6,4.2,3.3,5.4,3.1,"$48,493 ",89.90%
1047,"Dallas County, AL",12.4,11.2,9.6,9.2,7.7,6.4,5.7,11.8,7.4,"$37,679 ",69.80%
1049,"DeKalb County, AL",7.7,6.8,6.1,6.1,4.6,3.8,2.9,5,2.5,"$47,156 ",87.40%
1051,"Elmore County, AL",6.2,5.7,5.1,4.8,3.8,3.4,2.7,5.3,2.7,"$62,524 ",115.90%
1053,"Escambia County, AL",8.7,8,7.1,6.7,5.1,4.5,3.7,6.8,4.1,"$41,212 ",76.40%
1055,"Etowah County, AL",7.7,7,6.2,5.9,4.7,4.1,3.5,8.5,4.1,"$47,872 ",88.70%
1057,"Fayette County, AL",8.4,7.8,7.1,6.8,4.8,4,3.3,5.6,3.1,"$45,937 ",85.10%
1059,"Franklin County, AL",8.2,7.7,6.5,5.9,4.4,3.7,2.9,5,2.5,"$40,448 ",75.00%
1061,"Geneva County, AL",7.1,6.7,6,5.8,4.4,3.9,3.1,4.6,2.8,"$39,882 ",73.90%
1063,"Greene County, AL",13,12.4,11.1,10,7.7,6.6,5.9,11.8,6.9,"$33,609 ",62.30%
1065,"Hale County, AL",11.8,9.8,7.8,7.7,6.1,5,4.1,10.3,5.7,"$41,836 ",77.50%
1067,"Henry County, AL",7.8,7.5,6.8,6.5,5,4.4,3.8,5.4,3.2,"$51,126 ",94.80%
1069,"Houston County, AL",7,6.7,6.3,5.8,4.5,4,3.2,6,3.4,"$54,391 ",100.80%
1071,"Jackson County, AL",8,7.2,6.7,6.3,4.9,4.1,3.5,5.9,2.9,"$46,606 ",86.40%
1073,"Jefferson County, AL",6.8,6.3,5.8,5.7,4.4,3.7,3,6.9,3.6,"$57,802 ",107.10%
