FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
5000,Arkansas,7.1,5.9,5,4,3.7,3.6,3.5,6.1,4,"$51,146 ",100.00%
5001,"Arkansas County, AR",7.1,5.2,4.1,3.4,3.3,3.3,2.9,4,3.4,"$51,186 ",100.10%
5003,"Ashley County, AR",10.4,8.9,7.5,6.1,5.6,5.2,5.3,9.4,7.4,"$44,677 ",87.40%
5005,"Baxter County, AR",7.8,6.5,5.4,4.3,4.3,4.1,3.9,6,3.7,"$44,833 ",87.70%
5007,"Benton County, AR",5.5,4.5,3.7,2.9,3,2.9,2.6,4.5,2.8,"$78,678 ",153.80%
5009,"Boone County, AR",6.8,5.8,4.8,3.7,3.5,3.4,3.1,5.3,3,"$48,153 ",94.10%
5011,"Bradley County, AR",9.3,7.8,5.7,5,4.6,4.3,4,5.9,4.7,"$41,578 ",81.30%
5013,"Calhoun County, AR",7.9,6.4,5.3,4.6,3.9,3.8,4.3,5.3,3.3,"$50,865 ",99.50%
5015,"Carroll County, AR",5.8,5.1,4.5,3.6,3.4,3.2,3,5.7,3.4,"$45,397 ",88.80%
5017,"Chicot County, AR",11.3,10.2,9,6.6,6.6,6.7,6.8,10.5,8.6,"$35,992 ",70.40%
5019,"Clark County, AR",8.6,6.7,5.4,4.3,3.9,3.6,3.7,6,4.7,"$46,464 ",90.80%
5021,"Clay County, AR",9.5,7.7,6.5,5.7,4.6,4.3,4.8,6.1,4,"$43,723 ",85.50%
5023,"Cleburne County, AR",8.3,8.1,6.8,5.9,5,4.5,4.4,7.6,4.6,"$49,964 ",97.70%
5025,"Cleveland County, AR",7.4,6.7,5.5,4.5,4.4,3.8,3.8,6.1,4,"$57,697 ",112.80%
5027,"Columbia County, AR",8.6,7,6.4,5.7,5.1,4.7,4.3,6.9,5.3,"$44,925 ",87.80%
5029,"Conway County, AR",9,7,6,5.7,4.8,4.3,4.2,6.1,4.2,"$47,049 ",92.00%
5031,"Craighead County, AR",6.4,5.3,4.4,3.3,3,3,2.7,5.3,3.3,"$51,797 ",101.30%
5033,"Crawford County, AR",7.5,5.9,5.1,3.9,3.5,3.5,3.2,5.5,3.6,"$54,534 ",106.60%
5035,"Crittenden County, AR",8.2,7.2,6.1,4.5,4.4,4.3,4.2,8.4,5.4,"$47,545 ",93.00%
5037,"Cross County, AR",7.4,6.2,5.3,4.4,4,4.1,4.1,6.1,4.4,"$40,587 ",79.40%
5039,"Dallas County, AR",10.2,8.8,6.9,4.9,4.4,4.1,4.5,5.4,4.1,"$34,649 ",67.70%
5041,"Desha County, AR",9.4,7.9,7.2,5.5,4.8,4.4,4.3,7.1,5.9,"$37,421 ",73.20%
5043,"Drew County, AR",9.4,8.1,6.7,5.7,5.1,4.8,5.1,6.9,5,"$46,787 ",91.50%
5045,"Faulkner County, AR",6.3,5.4,4.6,3.8,3.4,3.2,2.9,5.5,3.5,"$57,367 ",112.20%
5047,"Franklin County, AR",6.7,5.5,4.9,4.1,3.5,3.5,3.3,5.7,3.7,"$47,256 ",92.40%
5049,"Fulton County, AR",6.7,5.7,5.1,4.3,4.2,3.9,3.9,5.2,3.6,"$39,839 ",77.90%
5051,"Garland County, AR",7.4,6.2,5.4,4.3,4.1,4,3.6,8,5,"$46,459 ",90.80%
5053,"Grant County, AR",6.4,5.3,4.5,3.6,3.2,3.1,3.1,5.2,3.2,"$62,077 ",121.40%
5055,"Greene County, AR",7.7,6.2,5.1,4.3,3.7,3.4,3.4,6,3.4,"$53,821 ",105.20%
5057,"Hempstead County, AR",7.1,5.8,4.8,3.8,3.5,3.4,3.7,5.2,3.5,"$42,790 ",83.70%
5059,"Hot Spring County, AR",7.1,5.6,5,3.9,3.7,3.7,3.5,5.8,3.9,"$49,582 ",96.90%
5061,"Howard County, AR",6.2,5.7,4.2,3.3,3,3.4,3.2,5,3.2,"$40,566 ",79.30%
5063,"Independence County, AR",8.8,7.6,6.4,5,4.3,4,3.9,5.8,3.9,"$50,834 ",99.40%
5065,"Izard County, AR",8.4,7.4,6.5,5.6,5.6,5.4,5.3,8.5,5.4,"$41,787 ",81.70%
5067,"Jackson County, AR",10.6,9,7.4,6.2,5.9,6,6.4,7.2,5.2,"$40,789 ",79.80%
5069,"Jefferson County, AR",10.1,8.6,7,5.6,5.2,5.2,5.3,8.1,6.6,"$40,588 ",79.40%
5071,"Johnson County, AR",7.4,6.4,5.7,4.8,4.3,4.5,4.5,6.3,4.7,"$39,439 ",77.10%
5073,"Lafayette County, AR",9.3,7.5,7.4,5.8,5,5.1,4.5,7.7,5.8,"$40,007 ",78.20%
5075,"Lawrence County, AR",8.6,7.1,5.9,4.3,3.8,3.9,4,6.2,4.3,"$41,188 ",80.50%
5077,"Lee County, AR",9.1,7.4,6.6,4.7,4.9,4.7,4.4,7.7,5.6,"$32,502 ",63.50%
5079,"Lincoln County, AR",8.1,6.9,6.1,4.8,4.2,4.2,4.2,6,4.6,"$47,903 ",93.70%
5081,"Little River County, AR",7.4,6.4,5.4,4.7,4.9,5.2,4.2,6.5,4.5,"$47,125 ",92.10%
5083,"Logan County, AR",7.6,5.8,5.7,4.6,3.9,4,4.2,6.7,4.2,"$43,577 ",85.20%
5085,"Lonoke County, AR",5.9,5,4.1,3.3,3.3,3.1,3.2,5.6,3.3,"$59,623 ",116.60%
5087,"Madison County, AR",5.7,4.7,3.8,3.2,2.9,2.9,2.5,4,3.1,"$45,144 ",88.30%
5089,"Marion County, AR",7.5,6.1,5.1,4,4,4.1,3.9,6.5,4.3,"$39,888 ",78.00%
5091,"Miller County, AR",6.3,5.7,4.9,4.2,4.4,4.8,4,6.9,4.8,"$43,634 ",85.30%
5093,"Mississippi County, AR",11.1,9,8.9,6.8,6,5.6,5,9.1,7.2,"$47,892 ",93.60%
5095,"Monroe County, AR",8.5,6.6,6,4.8,4.3,4.2,4.2,6.6,5.3,"$35,833 ",70.10%
5097,"Montgomery County, AR",8.2,7.7,6.6,5.1,4.8,4.7,4.5,7,4.8,"$42,751 ",83.60%
5099,"Nevada County, AR",7.5,5.9,4.9,3.7,3.6,3.4,3.9,5.9,4,"$41,854 ",81.80%
5101,"Newton County, AR",6.8,5.7,4.8,3.9,3.6,3.3,3.4,5.1,3,"$40,698 ",79.60%
5103,"Ouachita County, AR",9.4,7.7,6.2,5,4.6,4.5,5,6.1,3.9,"$46,374 ",90.70%
5105,"Perry County, AR",9.1,7.5,6,4.8,4.2,4.1,4,5.6,4.1,"$46,317 ",90.60%
5107,"Phillips County, AR",11.1,9.4,7.5,5.9,5.8,6,5.8,9.2,7.7,"$35,167 ",68.80%
5109,"Pike County, AR",8.5,7.1,5.8,4.3,4,4,3.7,5.9,4.4,"$43,133 ",84.30%
5111,"Poinsett County, AR",8.2,6.8,5.5,4.3,4.2,3.8,3.4,5.6,3.9,"$36,150 ",70.70%
5113,"Polk County, AR",7,6.1,5.7,4.9,4.5,4.1,4.1,6.7,4.4,"$42,915 ",83.90%
5115,"Pope County, AR",7.1,6.1,5.2,4.6,4.5,4.4,4.2,5.9,4,"$46,350 ",90.60%
5117,"Prairie County, AR",6.9,5.6,4.6,3.8,4.1,3.8,4.2,5.4,3.7,"$48,478 ",94.80%
5119,"Pulaski County, AR",6.4,5.4,4.5,3.6,3.4,3.4,3.3,7.4,4.9,"$56,171 ",109.80%
5121,"Randolph County, AR",9.3,7.7,7,4.6,4.2,3.9,3.8,5.9,3.9,"$46,495 ",90.90%
5123,"St. Francis County, AR",10.2,8.5,7.1,5.2,5.1,5,5,7.9,6.2,"$37,759 ",73.80%
5125,"Saline County, AR",5.6,4.7,4,3.1,3,3,2.7,5.1,3.1,"$70,550 ",137.90%
5127,"Scott County, AR",6.1,4.9,4.7,3.7,3.5,3.6,3.3,4.5,3.3,"$41,230 ",80.60%
5129,"Searcy County, AR",7.8,6.2,5.6,4.6,4.7,4.3,4.4,6.5,4.2,"$33,814 ",66.10%
5131,"Sebastian County, AR",7.3,5.5,4.7,3.7,3.6,3.5,3.2,6,3.7,"$48,627 ",95.10%
5133,"Sevier County, AR",8.1,6.8,6,4.9,4.6,4.5,4.7,5.9,4.4,"$45,838 ",89.60%
5135,"Sharp County, AR",9.5,8.3,6.8,5.5,5,4.7,4.8,7.2,4.9,"$40,437 ",79.10%
5137,"Stone County, AR",8.2,7.5,6.2,5.1,4.8,4.4,4.6,7.1,5,"$36,148 ",70.70%
5139,"Union County, AR",8.4,7.2,6,5.5,5.3,5.4,5.1,8.4,6.1,"$47,857 ",93.60%
5141,"Van Buren County, AR",9.5,7.9,6.6,6.9,5.5,5.2,4.9,7.2,4.9,"$42,345 ",82.80%
5143,"Washington County, AR",5.2,4.3,3.5,2.8,2.6,2.6,2.4,4.7,2.9,"$57,712 ",112.80%
5145,"White County, AR",7.6,6.9,6.1,5.2,4.6,4.3,4.4,6.3,4,"$43,765 ",85.60%
5147,"Woodruff County, AR",9.3,7.4,6.3,5.5,4.9,4.6,5.1,5.8,5,"$37,634 ",73.60%
5149,"Yell County, AR",6.4,5.5,5,4.5,4.1,4.1,3.9,5.1,4,"$48,728 ",95.30%
