FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
12000,Florida,7.5,6.4,5.5,4.9,4.3,3.7,3.2,8.2,4.6,"$61,724 ",100.00%
12001,"Alachua County, FL",6,5.4,4.7,4.3,3.9,3.4,3,5.8,3.7,"$51,995 ",84.20%
12003,"Baker County, FL",7.7,6.6,5.6,4.9,4.2,3.5,3.2,5.4,3.7,"$61,514 ",99.70%
12005,"Bay County, FL",7.6,6.5,5.5,4.8,4.2,4.2,3.8,6.4,3.9,"$61,332 ",99.40%
12007,"Bradford County, FL",6.6,5.8,4.9,4.3,3.7,3.5,3.3,6.5,4.2,"$48,260 ",78.20%
12009,"Brevard County, FL",8.7,7.2,6,5.2,4.4,3.6,3.3,7.2,4,"$65,871 ",106.70%
12011,"Broward County, FL",7.1,6.1,5.2,4.5,4,3.5,3.1,9.6,4.9,"$63,901 ",103.50%
12013,"Calhoun County, FL",8.2,7.1,6.2,5.8,4.9,4.4,4.1,5.6,4.5,"$43,994 ",71.30%
12015,"Charlotte County, FL",8.4,7.1,6.1,5.4,4.8,4.2,3.8,7.9,4.4,"$58,368 ",94.60%
12017,"Citrus County, FL",10.1,8.8,7.6,6.8,6,5.4,5,9.1,5.7,"$48,574 ",78.70%
12019,"Clay County, FL",6.6,5.9,5.1,4.5,4,3.4,3.1,5.8,3.5,"$72,520 ",117.50%
12021,"Collier County, FL",7.4,6.1,5.3,4.7,4.2,3.6,3.2,7.5,3.7,"$81,895 ",132.70%
12023,"Columbia County, FL",7.9,6.8,5.6,4.9,4.4,3.9,3.3,6.4,4.5,"$46,670 ",75.60%
12027,"DeSoto County, FL",8.6,7.4,5.9,5.3,4.5,4.1,3.6,5.6,3.8,"$45,807 ",74.20%
12029,"Dixie County, FL",8.9,7.6,6.3,5.5,4.8,4.3,3.9,6,4.3,"$41,450 ",67.20%
12031,"Duval County, FL",7.8,6.9,5.9,5,4.3,3.7,3.4,7.4,4.5,"$55,202 ",89.40%
12033,"Escambia County, FL",7.6,6.6,5.6,5,4.3,3.7,3.3,7.3,4.5,"$57,089 ",92.50%
12035,"Flagler County, FL",8.7,7.5,6.3,5.6,4.9,4.2,3.9,8.1,4.6,"$67,054 ",108.60%
12037,"Franklin County, FL",5.8,5.8,4.8,4.4,3.7,3.6,3.7,5.8,3.8,"$47,206 ",76.50%
12039,"Gadsden County, FL",9.5,8.5,7.3,6.3,5.6,4.7,4.2,7.5,5.4,"$42,698 ",69.20%
