FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
13000,Georgia,8.1,7.1,6.1,5.4,4.8,4,3.6,6.5,3.9,"$62,800 ",100.00%
13001,"Appling County, GA",10.7,8.9,7.4,6.5,5.5,4.4,4.1,4.7,3.6,"$44,871 ",71.50%
13003,"Atkinson County, GA",9.3,7.6,5.8,5.3,4.5,3.6,3.3,3.9,2.9,"$39,633 ",63.10%
13005,"Bacon County, GA",8.4,7,5.8,5.3,4.5,3.9,3.8,4.6,3.2,"$41,756 ",66.50%
13007,"Baker County, GA",10.5,9.1,7.4,7.8,6.2,5.3,4.8,6,4.9,"$43,696 ",69.60%
13009,"Baldwin County, GA",10.1,8.8,7.8,6.9,5.9,5,4.4,6.9,4.8,"$49,350 ",78.60%
13011,"Banks County, GA",7.8,6.7,5.7,4.9,3.9,3.2,2.8,4.3,2.6,"$62,836 ",100.10%
13013,"Barrow County, GA",7.3,6.3,5.4,4.8,4.1,3.3,3,5,2.9,"$64,460 ",102.60%
13015,"Bartow County, GA",8.6,7.2,6,5.2,4.7,3.9,3.5,6.2,3.5,"$64,980 ",103.50%
13017,"Ben Hill County, GA",12.4,10,9.2,8.3,7.8,5.9,5.7,6.8,5.2,"$39,305 ",62.60%
13019,"Berrien County, GA",9.5,8.6,7.3,6.2,5.2,4.2,4.2,5.7,3.7,"$45,094 ",71.80%
13021,"Bibb County, GA",9.2,8.1,6.8,6,5.4,4.6,4.1,7.5,5,"$44,467 ",70.80%
13023,"Bleckley County, GA",13.9,11.3,8.7,8,6.8,5.8,5.3,6.5,5,"$51,448 ",81.90%
13025,"Brantley County, GA",10.6,9.3,7.6,6.8,5.7,4.5,4.3,5.3,3.6,"$39,256 ",62.50%
13027,"Brooks County, GA",8.3,7.2,6.2,5.3,4.5,4,3.5,5.2,3.7,"$42,973 ",68.40%
13029,"Bryan County, GA",7.4,6.5,5.3,4.9,4.2,3.4,3.1,5.1,2.9,"$81,890 ",130.40%
13031,"Bulloch County, GA",8.6,7.4,6.2,5.8,5.1,4.3,4,6.5,4.1,"$48,629 ",77.40%
13033,"Burke County, GA",11.9,10.1,8.3,7.8,7.2,6.2,5.4,7.1,5.8,"$44,870 ",71.40%
13035,"Butts County, GA",9.2,7.5,6.8,5.7,4.8,4.1,3.5,6.1,3.6,"$52,720 ",83.90%
13037,"Calhoun County, GA",8.1,7,6.3,5.7,5.3,4.3,3.7,5.1,4,"$37,984 ",60.50%
13039,"Camden County, GA",7.7,6.6,5.6,5.8,5.1,4.3,3.8,4.8,3.2,"$67,525 ",107.50%
13043,"Candler County, GA",8.1,6.9,5.8,4.9,4.1,3.5,3.1,4.4,3,"$42,583 ",67.80%
13045,"Carroll County, GA",9.6,8.2,6.8,6.1,5.1,4.1,3.6,6.3,3.7,"$64,554 ",102.80%
13047,"Catoosa County, GA",6.7,6.2,5.3,4.9,4.2,3.5,3.1,4.4,2.7,"$61,906 ",98.60%
13049,"Charlton County, GA",8.4,7.4,6.5,5.7,5.1,4.4,3.9,3.8,3.2,"$46,061 ",73.30%
13051,"Chatham County, GA",8.2,7.3,6,5.3,4.5,3.8,3.4,7.6,4.3,"$56,357 ",89.70%
13053,"Chattahoochee County, GA",10.9,9.7,8.9,8.4,6.9,5.5,4.7,6.3,4.5,"$51,811 ",82.50%
13055,"Chattooga County, GA",8.9,7.6,6.3,6.4,4.8,4.1,5.2,8.3,4.8,"$44,399 ",70.70%
13057,"Cherokee County, GA",6.1,5.5,4.8,4.3,3.8,3.2,2.9,4.8,2.6,"$90,675 ",144.40%
