FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
21000,Kentucky,7.9,6.4,5.2,5,4.8,4.2,4.1,6.4,4.7,"$54,074 ",100.00%
21001,"Adair County, KY",10.1,8.6,7.1,6.5,5.9,4.8,5.1,7,5,"$42,429 ",78.50%
21003,"Allen County, KY",7.4,5.9,4.8,4.2,4,3.7,4,5.4,4,"$49,980 ",92.40%
21005,"Anderson County, KY",6.4,5.2,4.1,4,4,3.5,3.5,5.9,4,"$65,443 ",121.00%
21007,"Ballard County, KY",9.1,8,6.8,8.8,7.5,6.8,5.4,6.3,5,"$48,623 ",89.90%
21009,"Barren County, KY",7.6,6.3,5.1,4.6,4.5,4.3,4.3,7.3,5.3,"$45,298 ",83.80%
21011,"Bath County, KY",10.2,8.9,7.6,7.3,7.8,6.6,5.9,8,5.8,"$41,778 ",77.30%
21013,"Bell County, KY",13.2,10.1,8.5,9.1,7.8,6.1,6.1,7.5,5.7,"$30,202 ",55.90%
21015,"Boone County, KY",6.6,5.2,4,3.8,3.8,3.3,3.2,5.2,3.8,"$82,393 ",152.40%
21017,"Bourbon County, KY",6.9,5.6,4.7,4.7,4.5,3.9,3.6,5.7,3.9,"$52,368 ",96.80%
21019,"Boyd County, KY",9.4,7.5,6.8,8,7,5.8,5.4,8.1,6.2,"$54,694 ",101.10%
21021,"Boyle County, KY",8.7,6.9,5.5,4.9,5,4.3,4.4,7.1,5,"$53,374 ",98.70%
21023,"Bracken County, KY",9.7,7.9,6.2,5.9,5.7,4.8,4.6,6,4.7,"$55,112 ",101.90%
21025,"Breathitt County, KY",14.8,11.4,9.7,9.7,8.6,7.1,7.1,9.9,8.6,"$33,852 ",62.60%
21027,"Breckinridge County, KY",9.1,7.2,6.1,6.2,5.9,5.3,5.1,7,5.2,"$50,292 ",93.00%
21029,"Bullitt County, KY",7.3,5.8,4.5,4.1,4.1,3.9,3.9,6.2,4.6,"$71,835 ",132.80%
21031,"Butler County, KY",9.1,7.5,5.8,5.4,5.4,4.8,4.6,6.8,4.6,"$44,933 ",83.10%
21033,"Caldwell County, KY",8.1,6.5,5.5,5.4,5.2,4.6,4.7,5.9,4.2,"$47,670 ",88.20%
21035,"Calloway County, KY",7.2,5.7,4.6,4.5,4.3,3.8,3.9,6,4.5,"$47,438 ",87.70%
