FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
22000,Louisiana,6.4,6.3,6.3,6.1,5.1,4.8,4.6,8.7,5.5,"$51,730 ",100.00%
22001,"Acadia Parish, LA",5.7,5.6,6.8,7.4,5.9,5.3,5.1,7.8,4.9,"$45,183 ",87.30%
22003,"Allen Parish, LA",7.2,7.1,6.9,6.4,5.3,5.6,5.4,9.7,5.5,"$49,671 ",96.00%
22005,"Ascension Parish, LA",5.4,5.2,5,4.9,4.3,4.1,4,7.1,4.2,"$88,680 ",171.40%
22007,"Assumption Parish, LA",8,7.6,7.8,8.4,7.3,6.6,5.8,10.7,7.2,"$52,046 ",100.60%
22009,"Avoyelles Parish, LA",7.2,7.1,7.5,7.1,6.1,5.6,5.6,8.5,5.2,"$40,448 ",78.20%
22011,"Beauregard Parish, LA",7.1,6.7,6.3,6.1,5.3,5.3,5,7.2,4.1,"$53,708 ",103.80%
22013,"Bienville Parish, LA",8.3,7.8,8.3,7.6,6,5.8,5.7,8.2,5.7,"$39,695 ",76.70%
22015,"Bossier Parish, LA",5.8,5.6,5.6,5.3,4.5,4.2,4.1,6.7,3.9,"$53,225 ",102.90%
22017,"Caddo Parish, LA",7.6,7.3,7.1,6.6,5.8,5.4,5.2,9.5,6.2,"$43,216 ",83.50%
22019,"Calcasieu Parish, LA",6.2,5.8,5.3,4.8,4,3.8,3.9,9.6,5.6,"$57,252 ",110.70%
22021,"Caldwell Parish, LA",7.9,7.6,8.3,7.6,5.7,5.7,5.9,7.9,4.6,"$42,490 ",82.10%
22023,"Cameron Parish, LA",5.1,4.8,4.6,4.4,3.6,3.5,3.6,6.2,3.5,"$60,887 ",117.70%
22025,"Catahoula Parish, LA",8.1,7.9,9.6,9.3,7,6.7,6.2,7.6,5.1,"$39,222 ",75.80%
22027,"Claiborne Parish, LA",7.2,7.3,7.3,6.7,5.3,5.1,5.4,7.1,4.9,"$37,407 ",72.30%
22029,"Concordia Parish, LA",8.2,8.4,8.6,8.3,7.8,6.9,6.2,8.8,5.9,"$37,546 ",72.60%
22031,"De Soto Parish, LA",8.5,7.9,7.9,7.4,6.1,5.7,5.8,7.7,4.8,"$43,733 ",84.50%
22033,"East Baton Rouge Parish, LA",6,5.6,5.4,5.2,4.4,4.3,4.3,8.3,5.3,"$57,099 ",110.40%
22035,"East Carroll Parish, LA",16.3,14.4,14,11.6,11.1,10.2,10.2,12.7,9.9,"$32,813 ",63.40%
22037,"East Feliciana Parish, LA",6.6,6.3,5.9,5.8,4.8,4.6,4.5,7.2,4.5,"$52,158 ",100.80%
22039,"Evangeline Parish, LA",6.5,6.6,7.5,7.4,5.9,5.7,5.7,8.3,5.4,"$38,415 ",74.30%
22041,"Franklin Parish, LA",9.7,9.3,9.6,9.1,7.5,7.1,6.9,8.7,5.8,"$42,706 ",82.60%
22043,"Grant Parish, LA",7,7,7.3,7,6.3,5.7,5.6,7,4,"$56,380 ",109.00%
22045,"Iberia Parish, LA",6.2,6.2,8.1,9.4,7.3,5.8,5.2,10.1,6.9,"$50,449 ",97.50%
22047,"Iberville Parish, LA",8,7.7,7.3,6.9,6.2,6.1,5.7,10.5,7.2,"$36,990 ",71.50%
22049,"Jackson Parish, LA",6.2,5.8,6,5.6,4.5,4.6,4.6,5.8,3.8,"$41,940 ",81.10%
22051,"Jefferson Parish, LA",6,5.9,5.7,5.3,4.5,4.3,4,9.7,6,"$58,586 ",113.30%
