FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
24000,Maryland,6.5,5.7,5,4.3,4,3.6,3.4,6.7,5.8,"$88,589 ",100.00%
24001,"Allegany County, MD",8.4,7.5,6.8,6,5.5,5.1,5,7.8,6.4,"$53,023 ",59.90%
24003,"Anne Arundel County, MD",5.6,5,4.3,3.7,3.4,3.1,2.9,5.8,4.7,"$105,979 ",119.60%
24005,"Baltimore County, MD",6.8,6,5.2,4.5,4.2,3.7,3.5,6.8,5.7,"$79,974 ",90.30%
24009,"Calvert County, MD",5.9,5.2,4.5,3.7,3.5,3.3,3,5.2,4.6,"$111,665 ",126.00%
24011,"Caroline County, MD",6.9,6.2,5.4,4.6,4.1,3.5,3.4,5.6,4.7,"$60,617 ",68.40%
24013,"Carroll County, MD",5.4,4.7,4.1,3.5,3.3,3,2.8,5.1,4.2,"$104,817 ",118.30%
24015,"Cecil County, MD",7.6,6.5,5.9,5,4.6,4.1,3.8,5.9,5.2,"$84,248 ",95.10%
24017,"Charles County, MD",6.4,5.7,4.9,4.1,3.8,3.6,3.5,6.6,5.7,"$102,681 ",115.90%
24019,"Dorchester County, MD",9.7,8.3,7,6,5.5,4.8,4.4,6.6,5.6,"$54,846 ",61.90%
24021,"Frederick County, MD",5.7,5,4.4,3.8,3.5,3.2,3,5.8,4.8,"$99,254 ",112.00%
24023,"Garrett County, MD",8,7,6.2,5.5,5,4.4,4.2,6.7,5.2,"$56,929 ",64.30%
24025,"Harford County, MD",6.5,5.6,4.8,4.1,3.7,3.3,3.2,5.8,4.8,"$102,537 ",115.70%
24027,"Howard County, MD",4.8,4.3,3.7,3.2,3,2.8,2.6,5.1,4.3,"$124,042 ",140.00%
24029,"Kent County, MD",7.1,6.3,5.2,4.7,4.3,4,3.8,6.6,5.5,"$64,437 ",72.70%
24031,"Montgomery County, MD",4.9,4.3,3.8,3.3,3.2,2.9,2.8,6.2,5.5,"$115,394 ",130.30%
24033,"Prince George's County, MD",6.9,6,5.1,4.3,4,3.8,3.6,8,7.5,"$85,246 ",96.20%
24035,"Queen Anne's County, MD",5.8,5,4.4,3.8,3.5,3.1,3,5.4,4.4,"$93,427 ",105.50%
24037,"St. Mary's County, MD",5.9,5.3,4.8,4.1,3.8,3.5,3.2,4.8,4.5,"$105,197 ",118.70%
24039,"Somerset County, MD",10.6,9.3,8.1,7,6.6,6.5,6,8.4,7.6,"$51,787 ",58.50%
24041,"Talbot County, MD",6.4,5.4,4.8,4,3.8,3.5,3.3,6.1,5.3,"$69,311 ",78.20%
24043,"Washington County, MD",7.3,6.4,5.5,4.9,4.5,4.1,3.7,6.8,5.4,"$63,237 ",71.40%
24045,"Wicomico County, MD",8.6,7.6,6.7,6,5.5,4.9,4.5,7.6,6.1,"$59,387 ",67.00%
24047,"Worcester County, MD",12.5,11.4,10.4,9,8.2,7.5,7.2,11.6,8.2,"$62,481 ",70.50%
24510,"Baltimore city, MD",9.6,8.4,7.4,6.4,5.9,5.3,4.9,8.7,7.6,"$51,485 ",58.10%
