FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
28000,Mississippi,8.5,7.6,6.5,5.9,5.2,4.9,5.4,7.9,5.6,"$47,368 ",100.00%
28001,"Adams County, MS",9.3,8.4,8.1,8.4,7.5,6.5,7.1,10.7,8.2,"$36,519 ",77.10%
28003,"Alcorn County, MS",7.7,6.7,5.7,5.3,4.5,4.3,4.7,6.1,4.8,"$46,368 ",97.90%
28005,"Amite County, MS",9.1,8.1,7.7,7.5,7,6.3,7,8.2,7.3,"$42,649 ",90.00%
28007,"Attala County, MS",9.3,8.8,7.7,6.8,6.2,5.8,6.3,8.2,6,"$40,985 ",86.50%
28009,"Benton County, MS",10.4,9.5,8.1,6.9,5.7,5.7,6.2,8.1,6.4,"$38,972 ",82.30%
28011,"Bolivar County, MS",10.6,9.7,8,7.4,6.6,6.3,7.1,8.5,6.9,"$36,034 ",76.10%
28013,"Calhoun County, MS",8.4,7.5,6.3,5.5,4.8,4.8,5.6,7.9,5.2,"$42,107 ",88.90%
28015,"Carroll County, MS",10.5,9.6,8.3,7.4,6,5.8,6.2,7.6,5.8,"$46,814 ",98.80%
28017,"Chickasaw County, MS",10.6,9.8,7.8,6.7,5.4,5.1,5.7,10.6,6.3,"$40,471 ",85.40%
28019,"Choctaw County, MS",8.5,8.2,6.4,5.8,5.1,5,5.6,6.2,4.8,"$43,449 ",91.70%
28021,"Claiborne County, MS",16.9,14.8,12.7,11.6,10,9.4,10.6,14.1,11.7,"$34,551 ",72.90%
28023,"Clarke County, MS",9.9,9.1,8,6.9,6.2,5.7,6.2,8.3,6.3,"$38,314 ",80.90%
28025,"Clay County, MS",15.4,13.4,9.7,8.3,7,6.2,7.5,11.4,7.2,"$36,536 ",77.10%
28027,"Coahoma County, MS",12.8,11.9,10.2,8.9,7.6,7.2,7.7,12.2,8.8,"$30,047 ",63.40%
28029,"Copiah County, MS",10.5,9,7.3,6.7,5.9,5.7,6.6,8.1,6.5,"$41,476 ",87.60%
28031,"Covington County, MS",7.8,6.7,5.9,5.5,5,4.6,4.8,6.7,5.1,"$42,221 ",89.10%
28033,"DeSoto County, MS",5.9,5.4,4.9,4.3,3.9,3.9,4.4,5.9,4.4,"$66,532 ",140.50%
28035,"Forrest County, MS",8.4,7.5,6.4,5.8,5,4.6,5.2,7.9,5.7,"$42,082 ",88.80%
