FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
37000,North Carolina,7.8,6.1,5.7,5.1,4.5,4,3.8,7.1,4.8,"$59,616 ",100.00%
37001,"Alamance County, NC",7.1,5.5,5.3,4.7,4.3,3.8,3.8,7,4.8,"$53,220 ",89.30%
37003,"Alexander County, NC",7.6,5.5,4.9,4.3,3.6,3.2,3.3,7.3,4.2,"$53,523 ",89.80%
37005,"Alleghany County, NC",8.5,6.6,6.1,5.5,5.1,4.6,4.6,7.1,4.6,"$39,916 ",67.00%
37007,"Anson County, NC",9.2,6.9,6.5,5.8,5.2,4.5,4.1,7.4,6.3,"$40,818 ",68.50%
37009,"Ashe County, NC",8.9,6.7,5.9,4.8,4.1,3.7,3.6,6.1,4,"$44,543 ",74.70%
37011,"Avery County, NC",8.7,6.4,5.9,5,4.3,3.7,3.6,6.1,3.9,"$50,800 ",85.20%
37013,"Beaufort County, NC",9.2,7.1,6.5,5.7,5.1,4.7,4.5,6.1,4.8,"$50,253 ",84.30%
37015,"Bertie County, NC",9.8,7.7,7.1,6.6,5.9,5,4.7,6.2,5.9,"$41,889 ",70.30%
37017,"Bladen County, NC",11.2,9.1,7.9,6.9,5.8,5.4,4.7,7,5.8,"$43,664 ",73.20%
37019,"Brunswick County, NC",9.5,7.7,7.2,6.5,5.7,5.4,5.2,8.5,6,"$64,371 ",108.00%
37021,"Buncombe County, NC",5.8,4.6,4.3,3.9,3.4,3,3,8.1,4.2,"$66,156 ",111.00%
37023,"Burke County, NC",8.1,6,5.6,4.9,4.2,3.7,3.7,7,4.5,"$48,729 ",81.70%
37025,"Cabarrus County, NC",7.4,5.7,5.1,4.6,4.2,3.7,3.5,6.7,4.4,"$79,736 ",133.70%
37027,"Caldwell County, NC",9.3,7.1,6.2,5.2,4.5,3.9,4,7.7,4.9,"$50,235 ",84.30%
37029,"Camden County, NC",6.9,5.9,5.7,5.1,4.4,3.8,3.8,5.4,3.9,"$72,135 ",121.00%
37031,"Carteret County, NC",7.6,6,5.8,5.2,4.4,4.4,4.1,6.1,4.1,"$63,475 ",106.50%
37033,"Caswell County, NC",8.8,7,6.2,5.4,4.7,4.5,4.4,7.5,5.3,"$48,070 ",80.60%
37035,"Catawba County, NC",8.3,6.2,5.4,4.7,4.2,3.6,3.5,7.8,4.7,"$52,737 ",88.50%
37037,"Chatham County, NC",6.1,4.7,4.7,4.2,3.9,3.4,3.3,5.2,3.6,"$74,747 ",125.40%
37039,"Cherokee County, NC",9,6.9,6.4,5.7,5,4.5,4.4,7.7,5,"$44,449 ",74.60%
37041,"Chowan County, NC",9.6,7.7,7.1,6.4,5.3,4.5,4.5,5.9,4.9,"$45,365 ",76.10%
37043,"Clay County, NC",8.5,6.4,6,5.5,5,4.4,4.4,7.2,4.9,"$44,052 ",73.90%
37045,"Cleveland County, NC",9.2,7.1,6.3,5.5,4.6,4,3.9,7.6,5.3,"$49,041 ",82.30%
37047,"Columbus County, NC",10,8.3,7.4,6.4,5.5,5.1,4.9,7.8,6.3,"$40,712 ",68.30%
37049,"Craven County, NC",8.4,6.7,6,5.2,4.6,4.3,4,6.3,4.7,"$53,960 ",90.50%
37051,"Cumberland County, NC",9.4,7.8,7.2,6.4,5.7,5.2,5,9.1,6.9,"$49,160 ",82.50%
37053,"Currituck County, NC",7.7,6.1,5.7,5.1,4.3,3.6,3.5,6,4.1,"$73,433 ",123.20%
37055,"Dare County, NC",10.9,8.2,7.4,6.8,5.9,5.2,4.6,9.7,6,"$72,962 ",122.40%
37057,"Davidson County, NC",8,6.1,5.5,4.8,4.3,3.7,3.6,6.8,4.5,"$56,067 ",94.00%
37059,"Davie County, NC",7.3,5.7,5,4.5,4,3.5,3.3,6.5,4.3,"$65,418 ",109.70%
37061,"Duplin County, NC",7.8,6.2,5.7,5.3,4.9,4.4,3.9,5.4,4.4,"$49,755 ",83.50%
37063,"Durham County, NC",6.1,5,5,4.5,4.1,3.6,3.4,6.2,4.1,"$65,619 ",110.10%
37065,"Edgecombe County, NC",12.6,10,9.5,8.7,7.7,6.9,5.8,10.2,8.5,"$45,156 ",75.70%
37067,"Forsyth County, NC",7.3,5.8,5.4,4.9,4.4,3.9,3.7,7.2,4.9,"$56,158 ",94.20%
37069,"Franklin County, NC",8,6.3,5.8,5.2,4.7,4.1,4,6.5,4.7,"$54,868 ",92.00%
37071,"Gaston County, NC",8.7,6.6,5.9,5.3,4.6,4,3.8,7.8,5.2,"$60,622 ",101.70%
37073,"Gates County, NC",6.8,5.8,5.4,5.1,4.4,4.1,4,5.6,4.3,"$57,680 ",96.80%
37075,"Graham County, NC",14.9,13,11.9,8.8,6.8,5.9,5.3,9.6,6.9,"$42,057 ",70.50%
37077,"Granville County, NC",6.7,5.3,4.9,4.3,3.8,3.5,3.3,5.6,4,"$53,112 ",89.10%
37079,"Greene County, NC",7.6,6,5.5,5.3,4.4,3.9,3.7,5.5,4.1,"$47,605 ",79.90%
37081,"Guilford County, NC",8,6.4,5.8,5.2,4.8,4.2,4.1,8.2,5.6,"$55,577 ",93.20%
37083,"Halifax County, NC",11.5,9.4,8.7,7.9,7.3,6.1,5.6,8.9,7.5,"$41,098 ",68.90%
37085,"Harnett County, NC",9,7.2,6.6,5.8,5.1,4.8,4.5,7.2,5.3,"$55,586 ",93.20%
37087,"Haywood County, NC",7.6,5.6,5.2,4.5,4,3.4,3.4,7.3,4.2,"$50,492 ",84.70%
37089,"Henderson County, NC",6,4.9,4.7,4.3,3.8,3.3,3.3,6.7,4.1,"$60,550 ",101.60%
37091,"Hertford County, NC",9.1,7.2,7,6.6,5.8,5.1,5,6.7,6.5,"$46,632 ",78.20%
37093,"Hoke County, NC",9.6,8.1,7.8,6.6,5.8,5.1,4.9,8.3,6.4,"$53,728 ",90.10%
37095,"Hyde County, NC",11.3,8.9,9,9.5,8.4,8.3,8.5,10.1,6.5,"$45,548 ",76.40%
37097,"Iredell County, NC",8.1,6.1,5.4,4.8,4.3,3.7,3.6,7.1,4.6,"$61,892 ",103.80%
37099,"Jackson County, NC",8.6,6.5,6,5.4,4.8,4.2,4.1,7.4,4.5,"$49,488 ",83.00%
37101,"Johnston County, NC",6.9,5.5,5.2,4.7,4.2,3.7,3.6,6.1,4.2,"$63,882 ",107.20%
37103,"Jones County, NC",8.2,6.5,5.7,5.3,4.4,4.3,3.8,5.5,4.2,"$44,972 ",75.40%
