FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
45000,South Carolina,7.4,6.3,5.9,4.9,4.2,3.4,2.8,6,4,"$57,216 ",100.00%
45001,"Abbeville County, SC",9.3,7.5,6.8,5.4,4.5,3.9,3.3,6.5,4.5,"$47,219 ",82.50%
45003,"Aiken County, SC",7.4,6.3,5.8,4.9,4,3.3,2.8,4.9,3.4,"$57,128 ",99.80%
45005,"Allendale County, SC",13.7,11.9,11.2,8.4,6.8,5.6,5.2,9.3,7.8,"$32,701 ",57.20%
45007,"Anderson County, SC",6.9,5.8,5.3,4.5,3.9,3.2,2.7,5.8,3.7,"$52,667 ",92.00%
45009,"Bamberg County, SC",13.2,11.3,10.4,8.8,7.4,6.4,5.4,8.8,7.5,"$39,969 ",69.90%
45011,"Barnwell County, SC",11.8,9.4,8.9,7.2,5.9,4.7,4.2,7.2,6.5,"$41,717 ",72.90%
45013,"Beaufort County, SC",6.2,5.5,5.4,4.7,4,3.2,2.6,5.3,3.5,"$76,515 ",133.70%
45015,"Berkeley County, SC",6.8,5.8,5.4,4.5,3.8,3,2.5,5.4,3.6,"$70,371 ",123.00%
45017,"Calhoun County, SC",9.3,7.8,7.1,6,5.1,4.2,3.5,6,4.5,"$50,977 ",89.10%
45019,"Charleston County, SC",5.7,5,4.8,4,3.4,2.7,2.3,6.2,3.6,"$72,451 ",126.60%
45021,"Cherokee County, SC",10.2,8.1,7.1,5.8,4.9,3.6,3,7.8,5.1,"$45,085 ",78.80%
45023,"Chester County, SC",11.9,9.4,8.3,7,6,4.8,4.1,8.8,5.9,"$45,366 ",79.30%
45025,"Chesterfield County, SC",8.9,6.7,6,4.9,4.3,3.2,2.8,5.9,4.5,"$44,792 ",78.30%
45027,"Clarendon County, SC",10.1,8.2,7.6,6.5,5.9,4.6,3.8,6.6,4.9,"$52,983 ",92.60%
45029,"Colleton County, SC",9.7,7.4,6.9,5.5,4.7,3.9,3.1,5.9,4.4,"$44,399 ",77.60%
45031,"Darlington County, SC",9.1,7.8,7.3,6.1,5.2,4,3.3,6.3,4.5,"$42,082 ",73.50%
45033,"Dillon County, SC",11.5,9.4,8.5,6.6,5.6,4.7,4,6,5.8,"$40,930 ",71.50%
45035,"Dorchester County, SC",6.4,5.7,5.4,4.5,3.8,3,2.4,5.7,3.6,"$62,928 ",110.00%
45037,"Edgefield County, SC",7.8,6.5,6.3,5.5,4.5,3.4,2.8,5,3.4,"$55,005 ",96.10%
45039,"Fairfield County, SC",10.5,8.5,8,7.1,7.2,6.2,4.4,7.8,5.8,"$45,648 ",79.80%
45041,"Florence County, SC",8,7,6.5,5.2,4.5,3.6,2.9,5.4,4.1,"$47,429 ",82.90%
45043,"Georgetown County, SC",9.9,8.3,8.3,6.7,5.5,4.5,3.7,7.3,4.8,"$57,991 ",101.40%
45045,"Greenville County, SC",5.9,5.2,4.9,4.1,3.6,2.9,2.4,5.5,3.4,"$62,475 ",109.20%
45047,"Greenwood County, SC",8.4,6.7,6.3,5.1,4.4,3.6,3,6.2,4.5,"$43,711 ",76.40%
45049,"Hampton County, SC",9.1,7.5,8.3,5.7,4.4,3.4,2.6,4.8,3.6,"$43,614 ",76.20%
45051,"Horry County, SC",8.4,7.2,7,5.7,4.9,4.2,3.6,8.4,5.1,"$55,055 ",96.20%
45053,"Jasper County, SC",6.7,5.5,5.1,4.3,3.6,3,2.5,5,3.4,"$48,988 ",85.60%
45055,"Kershaw County, SC",7.6,6.3,5.9,5.1,4.4,3.5,2.9,5.2,3.7,"$60,397 ",105.60%
45057,"Lancaster County, SC",9.1,7,6.2,5.2,4.6,3.7,3.3,6.6,4.4,"$63,019 ",110.10%
45059,"Laurens County, SC",8.3,6.9,6.5,5.1,4.3,3.5,2.9,6.7,4.3,"$43,766 ",76.50%
45061,"Lee County, SC",10.8,8.8,8.4,6.9,5.9,4.5,3.9,7.4,5.6,"$40,400 ",70.60%
45063,"Lexington County, SC",5.6,4.9,4.8,4,3.5,2.8,2.3,4.2,3,"$62,839 ",109.80%
45065,"McCormick County, SC",9.6,7.7,7.1,5.5,4.5,3.4,3,6.5,4.8,"$50,698 ",88.60%
45067,"Marion County, SC",12.8,10.3,9.9,8.5,7.3,5.5,4.2,7.6,6.6,"$38,498 ",67.30%
45069,"Marlboro County, SC",13.5,10.3,10,8.2,6.4,5,4.7,9.5,7.8,"$38,877 ",67.90%
45071,"Newberry County, SC",7.1,5.6,5.2,4.3,4.1,3,2.6,4.6,3.3,"$52,202 ",91.20%
45073,"Oconee County, SC",7.5,6.1,5.7,5,4.3,3.3,2.7,5.2,3.6,"$58,061 ",101.50%
45075,"Orangeburg County, SC",12.1,11,10.8,8.7,7.1,5.7,4.6,8.8,7.1,"$41,335 ",72.20%
45077,"Pickens County, SC",7.2,6.1,5.7,4.9,4.1,3.3,2.8,5.2,3.5,"$54,588 ",95.40%
45079,"Richland County, SC",6.7,5.8,5.6,4.7,4.2,3.4,2.7,5.7,4.1,"$56,993 ",99.60%
