FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
47000,Tennessee,7.8,6.6,5.6,4.7,3.7,3.5,3.4,7.4,4.3,"$56,962 ",100.00%
47001,"Anderson County, TN",7.9,6.8,5.8,4.9,3.9,3.8,3.6,6.7,3.8,"$53,002 ",93.00%
47003,"Bedford County, TN",9.2,7.5,6.4,5,3.9,3.8,3.7,7.9,4.1,"$58,593 ",102.90%
47005,"Benton County, TN",9.7,8.8,7.6,7.1,5.4,4.9,4.5,7.9,4.8,"$44,759 ",78.60%
47007,"Bledsoe County, TN",10.5,9,7.9,7,5.9,5.9,5.5,8.4,5.2,"$45,780 ",80.40%
47009,"Blount County, TN",6.9,6,5.1,4.4,3.5,3.2,3.2,6.3,3.4,"$67,576 ",118.60%
47011,"Bradley County, TN",7.1,6.1,5.2,4.5,3.6,3.6,3.5,6.5,4.1,"$49,802 ",87.40%
47013,"Campbell County, TN",11,9.4,7.9,6.9,5.2,4.8,4.6,7.5,4.8,"$42,331 ",74.30%
47015,"Cannon County, TN",7.9,6.4,5.7,4.6,3.5,3.2,3.1,6.5,3.4,"$50,628 ",88.90%
47017,"Carroll County, TN",11.8,10.1,8.2,6.7,5.1,4.9,4.8,7.4,4.6,"$47,390 ",83.20%
47019,"Carter County, TN",9.2,7.7,6.4,5.7,4.6,4.1,4.1,6.8,4.2,"$44,786 ",78.60%
47021,"Cheatham County, TN",6.6,5.5,4.8,4,3.1,2.8,2.6,5.6,3.1,"$78,330 ",137.50%
47023,"Chester County, TN",8.1,6.8,5.8,5,4,3.7,3.4,5.5,3.3,"$42,839 ",75.20%
47025,"Claiborne County, TN",10.7,8.7,7.2,6.2,4.7,4.2,4.2,7.4,4.1,"$43,365 ",76.10%
47027,"Clay County, TN",10.7,9.1,8.8,6.6,5.1,4.9,6,7.7,5.3,"$37,683 ",66.20%
47029,"Cocke County, TN",10.9,9.1,7.7,6.3,5.3,4.7,4.6,10.3,5.5,"$41,576 ",73.00%
47031,"Coffee County, TN",7.8,6.4,5.5,4.7,3.7,3.5,3.3,7.9,4.1,"$55,177 ",96.90%
47033,"Crockett County, TN",9.1,7.7,6.4,5.3,4.1,3.9,3.5,5.7,3.6,"$50,046 ",87.90%
47035,"Cumberland County, TN",9.3,8,7,5.9,4.7,4.4,4.5,7.5,4.8,"$52,529 ",92.20%
47037,"Davidson County, TN",5.9,5,4.3,3.6,2.8,2.7,2.5,8.2,4.2,"$64,418 ",113.10%
47039,"Decatur County, TN",10.6,9.6,7.8,6.9,5.2,5,5.4,8.6,5.7,"$47,232 ",82.90%
47041,"DeKalb County, TN",10.1,8.2,6.8,5.6,4.8,4.5,4.4,9,4.5,"$51,002 ",89.50%
47043,"Dickson County, TN",7.7,6.3,5.4,4.4,3.4,3,3,5.9,3.4,"$60,309 ",105.90%
47045,"Dyer County, TN",10.4,8.3,7.1,6.2,4.8,4.6,4.9,7.9,4.6,"$50,906 ",89.40%
47047,"Fayette County, TN",8.6,7.2,6.1,5.1,4,3.7,3.6,6.2,4.1,"$73,132 ",128.40%
47049,"Fentress County, TN",9.7,8.5,7.2,6.2,4.5,4.1,4.2,6.2,4,"$43,931 ",77.10%
47051,"Franklin County, TN",7.2,6.2,5.1,4.9,3.8,3.4,3.4,8,3.8,"$49,491 ",86.90%
