FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
51000,Virginia,5.6,5.1,4.4,4,3.7,3,2.8,6.2,3.9,"$79,154 ",100.00%
51001,"Accomack County, VA",7,6.6,5.4,4.8,4.5,3.8,3.5,6.5,4.3,"$44,127 ",55.70%
51003,"Albemarle County, VA",4.7,4.4,3.8,3.5,3.3,2.7,2.4,5.3,3.2,"$79,708 ",100.70%
51005,"Alleghany County, VA",6.4,5.8,5,5,4.5,3.7,3.3,6.5,4.1,"$52,281 ",66.00%
51007,"Amelia County, VA",5.8,5.2,4.4,4.2,3.9,3.2,3.1,5.8,3.6,"$70,511 ",89.10%
51009,"Amherst County, VA",6,5.3,4.7,4.3,4,3.3,3.2,5.5,3.7,"$61,111 ",77.20%
51011,"Appomattox County, VA",6.3,5.6,4.8,4.6,4.3,3.6,3.4,5.7,3.9,"$55,152 ",69.70%
51013,"Arlington County, VA",3.4,3.2,2.8,2.6,2.5,2,1.9,4.4,3,"$125,004 ",157.90%
51015,"Augusta County, VA",5.1,4.6,4,3.6,3.4,2.7,2.4,4.6,3.1,"$67,698 ",85.50%
51017,"Bath County, VA",5.2,4.4,4,3.6,3,2.4,2.4,9.9,4.6,"$56,165 ",71.00%
51019,"Bedford County, VA",5.6,5,4.4,4,3.8,3,2.8,5.1,3.4,"$70,004 ",88.40%
51021,"Bland County, VA",6.6,5.9,5.6,5.1,4,3.1,2.7,5.6,3.4,"$56,637 ",71.60%
51023,"Botetourt County, VA",5.1,4.8,4.1,3.6,3.5,2.7,2.5,4.5,3,"$70,803 ",89.40%
51025,"Brunswick County, VA",9.2,7.9,6.7,5.9,5.2,4.9,4.6,7.9,6.3,"$45,556 ",57.60%
51027,"Buchanan County, VA",10.8,10.3,10.7,10.6,7,5.4,5.5,9.4,6.7,"$35,891 ",45.30%
51029,"Buckingham County, VA",7.7,6.7,5.8,5.3,5.3,4.4,4.1,7.3,5.3,"$49,339 ",62.30%
51031,"Campbell County, VA",5.8,5.3,4.7,4.4,4.1,3.3,3.1,5.8,3.8,"$59,223 ",74.80%
51033,"Caroline County, VA",6.9,6.1,5,4.4,4.2,3.4,3.2,6.7,4.3,"$67,663 ",85.50%
51035,"Carroll County, VA",8.1,6.6,5.3,5.1,4.4,3.6,3.5,8.2,4.1,"$48,555 ",61.30%
51036,"Charles City County, VA",6.6,5.8,5.3,4.5,4.7,4,3.4,6.6,4.4,"$61,850 ",78.10%
51037,"Charlotte County, VA",7.6,6.6,5.6,4.9,4.5,3.6,3.5,5.5,3.7,"$45,084 ",57.00%
51041,"Chesterfield County, VA",5.5,5,4.2,3.8,3.6,2.9,2.7,5.8,3.6,"$83,598 ",105.60%
51043,"Clarke County, VA",4.6,4.3,3.9,3.5,3.4,2.9,2.4,4.6,3.1,"$88,407 ",111.70%
51045,"Craig County, VA",6.9,6.2,5.4,4.7,4.3,3.5,3.1,5.1,3.3,"$57,314 ",72.40%
51047,"Culpeper County, VA",5.2,4.9,4.3,3.8,3.6,2.8,2.6,4.9,3.2,"$80,151 ",101.30%
51049,"Cumberland County, VA",6.5,6,5.1,4.5,4.1,3.2,3,6,4.3,"$51,035 ",64.50%
51051,"Dickenson County, VA",10.9,10,10,9.8,6.7,5.1,4.9,7.9,5.3,"$38,394 ",48.50%
51053,"Dinwiddie County, VA",7.2,6.3,5.3,4.8,4.4,3.5,3.3,6.3,4.5,"$63,567 ",80.30%
51057,"Essex County, VA",6.5,6.2,5.3,4.7,4.8,3.8,3.5,6.9,4.8,"$56,134 ",70.90%
51059,"Fairfax County, VA",4.3,4.1,3.5,3.2,3,2.4,2.3,5.8,3.5,"$132,509 ",167.40%
51061,"Fauquier County, VA",4.8,4.5,3.9,3.4,3.2,2.6,2.4,4.7,3,"$106,977 ",135.20%
51063,"Floyd County, VA",5.3,4.6,3.9,4,3.6,2.7,2.5,5,3.1,"$54,262 ",68.60%
51065,"Fluvanna County, VA",4.7,4.3,3.7,3.3,3,2.5,2.3,5.2,3.3,"$79,598 ",100.60%
