FIPS ,Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,Median Household Income (2020),% of State Median HH Income
54000,West Virginia,6.7,6.5,6.6,6.1,5.2,5.2,4.9,8.2,5,"$49,202 ",100.00%
54001,"Barbour County, WV",7.1,6.6,7.2,6.8,5.8,5.9,6,8.1,5.3,"$43,773 ",89.00%
54003,"Berkeley County, WV",5.6,5.4,4.8,4,3.6,4,3.6,6.1,3.6,"$67,163 ",136.50%
54005,"Boone County, WV",9.5,9.1,9.5,9.1,6.4,6,5.5,10.3,6.1,"$49,076 ",99.70%
54007,"Braxton County, WV",10.2,9.3,8.7,8.8,7.5,7,7.4,10.1,6.7,"$47,959 ",97.50%
54009,"Brooke County, WV",7.6,7.1,7.1,7.1,6.1,6,5.2,8.7,6.1,"$50,381 ",102.40%
54011,"Cabell County, WV",5.7,5.4,5.3,4.8,4.6,4.7,4.2,7.8,4.6,"$44,161 ",89.80%
54013,"Calhoun County, WV",10,9.6,12.2,12.9,10.8,10.3,13,15.7,10.3,"$41,726 ",84.80%
54015,"Clay County, WV",11.9,10.7,10.9,10.4,8.6,8.3,8.6,12.3,7.7,"$36,537 ",74.30%
54017,"Doddridge County, WV",5.3,4.9,5.4,5.2,4.3,3.9,4.5,6,4.1,"$50,445 ",102.50%
54019,"Fayette County, WV",8.5,8.2,8.4,7.9,6.4,6.3,5.7,9.8,6.2,"$41,964 ",85.30%
54021,"Gilmer County, WV",6.6,6.4,7.6,8.2,7.2,6.2,6.8,9.9,6.9,"$41,579 ",84.50%
54023,"Grant County, WV",8.1,7.6,7.4,5.9,5.6,5.6,5.5,6.3,4.5,"$45,624 ",92.70%
54025,"Greenbrier County, WV",7.4,6.8,6.4,5.4,4.9,5,4.7,7.9,4.5,"$40,016 ",81.30%
54027,"Hampshire County, WV",6.9,6.2,5.4,4.4,3.9,4.2,3.9,5.4,3.4,"$53,333 ",108.40%
54029,"Hancock County, WV",8,7.9,7.6,7,6.1,5.8,5.2,9.8,6.3,"$52,305 ",106.30%
54031,"Hardy County, WV",9.4,8.3,7.3,5.7,4.9,5.4,5.2,7,4.9,"$47,469 ",96.50%
54033,"Harrison County, WV",5.5,5.3,6.2,5.8,4.8,4.5,4.5,7.8,4.7,"$52,075 ",105.80%
54035,"Jackson County, WV",6.8,6.5,7,6.5,5.7,3.9,5.1,8.5,5.7,"$52,123 ",105.90%
54037,"Jefferson County, WV",4.7,4.6,4,3.4,3.1,3.3,3.1,5.8,3.1,"$85,779 ",174.30%
